ticker,company_name,market,simple_sector,sector,feature_summary,segment_summary,flags,headline_positive_count,headline_negative_count,headline_score_raw,shikiho_score_overall,score_growth,score_profitability,score_safety,score_undervalued,score_momentum,forecast_per,actual_pbr,forecast_yield,ytd_return_text_pct,ma200_gap_pct,equity_ratio_pct,sales_growth_pct,op_growth_pct,np_growth_pct,eps_growth_pct,div_growth_pct,annual_return_pct,quarter_return_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,persistence_20d_pct,year_end_close,sector_33,sector_adjusted_per_score,fundamental_score,price_score,valuation_score,promising_score,selected,selection_reason,source_quarter,learning_date,training_cutoff_date,ocr_style_label,image_file,realized_return_pct
7235.T,東京ラヂエーター製造,,輸送用機器,輸送用機器,,,,0,0,0.0,3.0,4.588311601915914,2.917376263970197,2.917376263970197,4.534883720930232,4.429856306546035,7.9,7.9,7.9,61.490683229813655,,,,,,,,61.490683229813655,41.30434782608696,0.7878366364536977,-27.979797979797983,75.0,100.0,1300.0,輸送用機器,0.9069767441860463,0.5834752527940393,0.9176623203831826,0.9069767441860463,0.885971261309207,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,2787.png,21.598770176787085
8057.T,内田洋行,,卸売業,卸売業,,,,0,0,0.0,3.0,4.610065194252262,3.5188930282064925,3.5188930282064925,4.256055363321799,4.3892762107504,8.0,8.0,8.0,77.23935389133626,,,,,,,,77.23935389133626,24.176954732510293,0.8609316828196556,-20.544554455445542,83.33333333333334,100.0,2414.0,卸売業,0.8512110726643599,0.7037786056412985,0.9220130388504524,0.8512110726643599,0.8778552421500799,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,3243.png,-7.099567099567095
5352.T,黒崎播磨,,ガラス・土石製品,ガラス・土石製品,,,,0,0,0.0,3.0,4.330029270888771,2.9309805747738156,2.9309805747738156,4.215686274509804,4.3860564129856305,8.9,8.9,8.9,63.81709741550696,,,,,,,,63.81709741550696,24.471299093655595,0.7700330375287775,-25.92190889370932,66.66666666666666,95.0,4120.0,ガラス・土石製品,0.8431372549019608,0.5861961149547631,0.8660058541777541,0.8431372549019608,0.8772112825971261,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,1875.png,0.848484848484854
6822.T,大井電気,,電気機器,電気機器,,,,0,0,0.0,3.0,4.631186801490154,2.946979776476849,2.946979776476849,4.9451754385964914,4.384539648749336,6.0,6.0,6.0,120.55555555555556,,,,,,,,120.55555555555556,25.632911392405067,0.9080939258615108,-22.745762711864405,75.0,95.0,3970.0,電気機器,0.9890350877192984,0.5893959552953698,0.9262373602980308,0.9890350877192984,0.8769079297498672,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,2551.png,-2.187902187902191
146A.T,コロンビア・ワークス,,不動産業,不動産業,,,,0,0,0.0,3.0,4.575505588078766,1.8851117615753061,1.8851117615753061,3.712121212121212,4.3670569451836085,8.1,8.1,8.1,101.3440860215054,,,,,,,,101.3440860215054,45.436893203883486,0.7970069914707162,-24.541284403669728,66.66666666666666,95.0,3745.0,不動産業,0.7424242424242424,0.3770223523150612,0.9151011176157532,0.7424242424242424,0.8734113890367217,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,42.png,-5.608755129958965
8515.T,アイフル,,その他金融業,その他金融業,,,,0,0,0.0,3.0,4.250498935604044,2.899081958488558,2.899081958488558,3.881578947368421,4.364715274081958,9.6,9.6,9.6,54.96894409937889,,,,,,,,54.96894409937889,18.24644549763033,0.8440125884723928,-18.69918699186992,100.0,85.0,499.0,その他金融業,0.7763157894736842,0.5798163916977116,0.8500997871208089,0.7763157894736842,0.8729430548163917,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,中間型,3405.png,16.216216216216207
6231.T,木村工機,,機械,機械,,,,0,0,0.0,3.0,4.598922299095264,2.8382118147951036,2.8382118147951036,2.3148148148148144,4.346008515167643,14.4,14.4,14.4,93.3115823817292,,,,,,,,93.3115823817292,23.4375,0.9580363066588486,-19.00237529691211,75.0,95.0,11850.0,機械,0.4629629629629629,0.5676423629590207,0.9197844598190528,0.4629629629629629,0.8692017030335286,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,2212.png,9.106984969053933
8393.T,宮崎銀行,,銀行業,銀行業,,,,0,0,0.0,3.0,4.184705960617349,2.9187400212879187,2.9187400212879187,4.65625,4.318573709419905,7.1,7.1,7.1,46.86998394863564,,,,,,,,46.86998394863564,26.03305785123966,0.8133093569337577,-27.525035765379112,75.0,75.0,4575.0,銀行業,0.93125,0.5837480042575838,0.8369411921234698,0.93125,0.863714741883981,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,3391.png,48.29931972789117
3922.T,ＰＲ ＴＩＭＥＳ,,情報・通信業,情報・通信業,,,,0,0,0.0,3.0,4.5945981905268765,2.5957623736029807,2.5957623736029807,2.9609634551495017,4.303725385843534,18.8,18.8,18.8,79.19580419580419,,,,,,,,79.19580419580419,33.46354166666667,0.8313352631433022,-17.714285714285715,75.0,95.0,3075.0,情報・通信業,0.5921926910299004,0.5191524747205961,0.9189196381053752,0.5921926910299004,0.8607450771687069,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,1163.png,-7.1524064171123
6745.T,ホーチキ,,電気機器,電気機器,,,,0,0,0.0,3.0,4.482271154869611,2.9730242150079826,2.9730242150079826,3.552631578947368,4.2980042575838215,12.2,12.2,12.2,53.72549019607844,,,,,,,,53.72549019607844,25.039872408293466,0.8145366290756694,-20.46142208774584,83.33333333333334,100.0,3920.0,電気機器,0.7105263157894737,0.5946048430015966,0.8964542309739223,0.7105263157894737,0.8596008515167644,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,2513.png,16.996047430830032
7989.T,立川ブラインド工業,,金属製品,金属製品,,,,0,0,0.0,3.0,4.355741085683875,1.9021420968600313,1.9021420968600313,2.988505747126437,4.2976583288983505,11.4,11.4,11.4,39.78494623655915,,,,,,,,39.78494623655915,20.817843866171003,0.8822223598714131,-12.117263843648209,83.33333333333334,100.0,1950.0,金属製品,0.5977011494252874,0.3804284193720063,0.871148217136775,0.5977011494252874,0.8595316657796701,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,3201.png,4.1117554032683135
8343.T,秋田銀行,,銀行業,銀行業,,,,0,0,0.0,3.0,4.14821713677488,2.7614755188930284,2.7614755188930284,3.15625,4.295662586482171,9.7,9.7,9.7,60.474485228290064,,,,,,,,60.474485228290064,20.54472091459314,0.8564269442161216,-25.99925289503176,75.0,65.0,3585.0,銀行業,0.63125,0.5522951037786057,0.8296434273549761,0.63125,0.8591325172964343,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,3367.png,14.999999999999991
