date,phase_name,post_major_crash_mode,post_major_phase,post_major_active,stock_post_major_active,stock_gate_reason,sector_mode,sector_top_share,sector_hhi,sector_count
2025-05-21,uptrend,True,uptrend,False,False,phase_uptrend,dispersed,0.225,0.12125000000000001,13
2025-05-22,uptrend,True,uptrend,False,False,phase_uptrend,dispersed,0.225,0.12125000000000001,13
2025-05-23,uptrend,True,uptrend,False,False,phase_uptrend,dispersed,0.225,0.12125000000000001,13
2025-05-26,uptrend,True,uptrend,False,False,phase_uptrend,dispersed,0.225,0.12125000000000001,13
2025-05-27,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.225,0.12125000000000001,13
2025-05-28,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.225,0.12125000000000001,13
2025-05-29,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.225,0.12125000000000001,13
2025-05-30,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.2153846153846154,0.10911242603550297,16
2025-06-02,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.2153846153846154,0.10911242603550297,16
2025-06-03,normal,False,normal,False,False,not_post_major,dispersed,0.2153846153846154,0.10911242603550297,16
2025-06-04,normal,False,normal,False,False,not_post_major,dispersed,0.2153846153846154,0.10911242603550297,16
2025-06-05,normal,False,normal,False,False,not_post_major,dispersed,0.2153846153846154,0.10911242603550297,16
2025-06-06,normal,False,normal,False,False,not_post_major,dispersed,0.2153846153846154,0.10911242603550297,16
2025-06-09,normal,False,normal,False,False,not_post_major,dispersed,0.2153846153846154,0.10911242603550297,16
2025-06-10,normal,False,normal,False,False,not_post_major,dispersed,0.2153846153846154,0.10911242603550297,16
2025-06-11,normal,False,normal,False,False,not_post_major,dispersed,0.2153846153846154,0.10911242603550297,16
2025-06-12,normal,False,normal,False,False,not_post_major,dispersed,0.2153846153846154,0.10911242603550297,16
2025-06-13,stable,False,stable,False,False,not_post_major,dispersed,0.1702127659574468,0.10479855138071527,19
2025-06-16,stable,False,stable,False,False,not_post_major,dispersed,0.1702127659574468,0.10479855138071527,19
2025-06-17,stable,False,stable,False,False,not_post_major,dispersed,0.1702127659574468,0.10479855138071527,19
2025-06-18,stable,False,stable,False,False,not_post_major,dispersed,0.1702127659574468,0.10479855138071527,19
2025-06-19,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.1702127659574468,0.10479855138071527,19
2025-06-20,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.1702127659574468,0.10479855138071527,19
2025-06-23,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.1702127659574468,0.10479855138071527,19
2025-06-24,stable,False,stable,False,False,not_post_major,dispersed,0.1702127659574468,0.10479855138071527,19
2025-06-25,stable,False,stable,False,False,not_post_major,dispersed,0.1702127659574468,0.10479855138071527,19
2025-06-26,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.1702127659574468,0.10479855138071527,19
2025-06-27,stable,False,stable,False,False,not_post_major,dispersed,0.17582417582417584,0.11121845187779253,17
2025-06-30,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.1978021978021978,0.11266755222799177,17
