date,ticker,name,dataset,signal,exit_variant,action,price,shares,reason
2024-08-19,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp5_sl4,BUY,2769.5,1100,entry
2024-08-20,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp5_sl4,SELL,2770.5,1100,sell_signal
2024-09-20,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp5_sl4,BUY,2763.0,1100,entry
2024-09-25,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp5_sl4,SELL,2751.5,1100,sell_signal
2024-08-14,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp6_sl3,BUY,2670.0,1100,entry
2024-08-28,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp6_sl3,SELL,2794.0,1100,sell_signal
2024-09-24,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp6_sl3,BUY,2774.5,1100,entry
2024-09-25,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp6_sl3,SELL,2751.5,1100,sell_signal
2024-08-14,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp6_sl4,BUY,2670.0,1100,entry
2024-08-28,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp6_sl4,SELL,2794.0,1100,sell_signal
2024-09-24,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp6_sl4,BUY,2774.5,1100,entry
2024-09-25,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp6_sl4,SELL,2751.5,1100,sell_signal
2024-08-14,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp5_sl4,BUY,2670.0,1100,entry
2024-08-28,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp5_sl4,SELL,2794.0,1100,sell_signal
2024-09-24,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp5_sl4,BUY,2774.5,1100,entry
2024-09-25,1306.T,TOPIX ETF,q2_2024,crash_low_reclaim,tp5_sl4,SELL,2751.5,1100,sell_signal
2025-04-15,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp6_sl3,BUY,2678.346,1100,entry
2025-05-01,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp6_sl3,SELL,2845.0,1100,take_profit
2025-05-01,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp6_sl3,BUY,2842.674,1100,entry
2025-06-27,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp6_sl3,SELL,3021.0,1100,take_profit
2025-04-15,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp6_sl4,BUY,2678.346,1100,entry
2025-05-01,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp6_sl4,SELL,2845.0,1100,take_profit
2025-05-01,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp6_sl4,BUY,2842.674,1100,entry
2025-06-27,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp6_sl4,SELL,3021.0,1100,take_profit
2025-04-15,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp5_sl4,BUY,2678.346,1100,entry
2025-04-28,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp5_sl4,SELL,2814.0,1100,take_profit
2025-04-28,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp5_sl4,BUY,2813.0,1100,entry
2025-05-29,1306.T,TOPIX ETF,2025_2q,prev_high_break,tp5_sl4,SELL,2984.5,1100,take_profit
2025-04-15,1306.T,TOPIX ETF,2025_2q,crash_low_reclaim,tp6_sl3,BUY,2673.0,1100,entry
2025-04-28,1306.T,TOPIX ETF,2025_2q,crash_low_reclaim,tp6_sl3,SELL,2814.0,1100,sell_signal
2025-04-15,1306.T,TOPIX ETF,2025_2q,crash_low_reclaim,tp6_sl4,BUY,2673.0,1100,entry
2025-04-28,1306.T,TOPIX ETF,2025_2q,crash_low_reclaim,tp6_sl4,SELL,2814.0,1100,sell_signal
2025-04-15,1306.T,TOPIX ETF,2025_2q,crash_low_reclaim,tp5_sl4,BUY,2673.0,1100,entry
2025-04-28,1306.T,TOPIX ETF,2025_2q,crash_low_reclaim,tp5_sl4,SELL,2814.0,1100,take_profit
