group,symbol
group5,TYO:4933
group5,TYO:5032
group5,TYO:5599
group5,TYO:5932
group5,TYO:6080
group5,TYO:6227
group5,TYO:6254
group5,TYO:6479
group5,TYO:6594
group5,TYO:6920
group5,TYO:7095
group5,TYO:7212
group5,TYO:7679
group5,TYO:7818
group5,TYO:8008
group5,TYO:8035
group5,TYO:8113
group5,TYO:8331
group5,TYO:8338
group5,TYO:8346
group5,TYO:8361
group5,TYO:9048
group5,TYO:9272
group5,TYO:9341
group5,TYO:9416
group5,TYO:9552
group5,TYO:9989
group5,TYO:135A
group5,TYO:1963
