date,ticker,sector,action,price,shares,cash_after,table_name,phase,reason,signal_score
2025-08-28,1867.T,建設業,SELL,2479.0,100,302884.9753417992,normal,uptrend,sell_signal,
2025-08-28,4754.T,サービス業,SELL,1471.0,1800,2950684.975341799,high_vol,uptrend,sell_signal,
2025-08-28,6332.T,機械,BUY,2980.0399999999995,400,1758668.9753417994,uptrend,uptrend,entry,0.9290693081251845
2025-09-03,1909.T,機械,BUY,6688.849999999999,200,420898.97534179944,uptrend,uptrend,entry,0.8362927860340769
2025-09-05,6332.T,機械,SELL,3375.0,400,1770898.9753417994,uptrend,uptrend,take_profit,
2025-09-05,1909.T,機械,SELL,7460.0,200,3262898.9753417997,uptrend,uptrend,take_profit,
2025-09-09,6648.T,電気機器,BUY,1457.54,100,3117144.9753417997,normal,stable,entry,0.8695830670457658
2025-09-09,4016.T,情報・通信業,BUY,1215.9699999999998,200,2873950.9753417997,normal,stable,entry,0.7652053173938494
2025-09-09,1867.T,建設業,BUY,2475.5849999999996,200,2378833.9753417997,normal,stable,entry,0.6223402791787265
2025-09-09,3467.T,不動産業,BUY,2253.2999999999997,1000,125533.97534180013,normal,stable,entry,0.5536820398888693
2025-09-11,6648.T,電気機器,SELL,1462.0,100,271733.97534180013,normal,uptrend,sell_signal,
2025-09-11,4016.T,情報・通信業,SELL,1203.0,200,512333.97534180013,normal,uptrend,sell_signal,
2025-09-11,1867.T,建設業,SELL,2508.0,200,1013933.9753418001,normal,uptrend,sell_signal,
2025-09-11,3467.T,不動産業,SELL,2231.0,1000,3244933.9753418,normal,uptrend,sell_signal,
2025-09-16,6648.T,電気機器,BUY,1512.0,100,3093733.9753418,normal,stable,entry,0.8638088664116911
2025-09-16,4016.T,情報・通信業,BUY,1225.1049999999998,200,2848712.9753418,normal,stable,entry,0.801016642575283
2025-09-16,9409.T,情報・通信業,BUY,3364.7249999999995,100,2512240.4753418,normal,stable,entry,0.7491064341723314
2025-09-16,3467.T,不動産業,BUY,2379.0,200,2036440.4753418001,normal,stable,entry,0.6358058207652413
2025-09-18,6648.T,電気機器,SELL,1512.0,100,2187640.4753418,normal,uptrend,sell_signal,
2025-09-18,4016.T,情報・通信業,SELL,1216.0,200,2430840.4753418,normal,uptrend,sell_signal,
2025-09-18,9409.T,情報・通信業,SELL,3300.0,100,2760840.4753418,normal,uptrend,sell_signal,
2025-09-18,3467.T,不動産業,SELL,2333.0,200,3227440.4753418,normal,uptrend,sell_signal,
