group_name,code4,n_tickers,fast_ma,slow_ma,train_return_pct,train_sharpe,train_max_dd_pct,train_win_rate_pct,train_num_trades,test_return_pct,test_sharpe,test_max_dd_pct,test_win_rate_pct,test_num_trades
小売/百貨店,41011,8,20,25,160.38,0.384,-38.89,48.15,162.0,-53.45,-0.581,-58.52,45.71,35
小売/総合スーパー,41012,9,20,25,-42.84,-0.052,-78.84,40.37,161.0,8.0,0.191,-19.13,62.96,27
小売/衣料小売り,41013,28,10,100,154.74,0.266,-56.41,36.59,41.0,40.94,0.592,-10.45,42.86,14
小売/食品,41014,3,25,75,6.16,0.117,-63.97,40.74,27.0,-23.48,-0.443,-27.09,57.14,7
小売/コンビニ・食品小売り,4102,31,20,25,15.51,0.128,-50.94,36.81,163.0,34.49,0.462,-13.5,46.43,28
小売/ドラッグストア,4103,10,20,25,63.65,0.212,-53.85,48.61,144.0,7.74,0.185,-26.51,45.0,20
小売/ヘルスケア製品・サービス,4104,7,10,25,52.2,0.195,-74.54,42.02,119.0,-5.57,0.04,-30.67,37.5,24
小売/他個人サービス・製品,4105,4,25,75,-22.37,0.058,-59.37,38.1,42.0,-12.59,-0.237,-24.15,44.44,9
小売/他消費財小売り,4106,85,5,25,111.67,0.254,-44.43,38.64,132.0,-64.86,-0.906,-67.6,26.47,34
小売/外食・娯楽サービス,4107,83,5,25,-99.57,-0.294,-99.61,37.23,137.0,12.21,0.266,-20.11,43.48,23
小売/娯楽用品,4108,3,20,25,107.49,0.289,-46.19,42.62,122.0,43.47,0.409,-20.74,43.75,32
小売/家電・コンピュータ小売り,4109,10,5,50,40.46,0.17,-68.92,34.15,82.0,26.37,0.341,-30.76,38.1,21
銀行業,5050,4,20,100,-68.8,-0.123,-73.49,34.15,41.0,145.12,0.724,-0.39,80.0,5
銀行/地方銀行,5051,65,25,75,-78.32,-0.455,-82.86,29.79,47.0,54.1,0.568,-8.7,50.0,6
銀行/大手銀行,5052,9,25,100,151.62,0.214,-50.41,38.71,31.0,21.85,0.277,-23.77,42.86,7
証券、商品先物取引業,5100,2,5,75,373.7,0.318,-42.66,37.29,59.0,-77.74,0.207,-93.07,44.44,9
証券先物/証券・先物,5101,32,20,25,-92.38,-0.046,-98.19,31.72,145.0,19.06,0.379,-16.72,52.17,23
証券先物/金融サービス,5102,3,20,100,1401.96,0.407,-62.82,50.0,20.0,28.8,0.324,-28.13,33.33,6
保険業,5150,4,5,75,387.24,0.322,-37.92,40.28,72.0,3.51,0.293,-4.37,27.27,11
保険/損害保険,5151,4,20,25,140897.48,0.22,-43.65,43.31,157.0,45.58,0.508,-17.65,56.67,30
保険/生命保険,5152,5,25,50,-20.62,0.044,-67.93,37.25,51.0,38.13,0.616,-8.85,63.64,11
保険/金融サービス,5153,3,20,25,-4.51,0.136,-56.13,39.29,28.0,86.44,0.553,-42.45,52.17,23
その他金融業,5200,10,20,75,-16.19,0.05,-66.01,36.96,46.0,37.56,0.546,-0.27,33.33,6
その他金融/リース・消費者金融,5201,13,20,100,-56.72,-0.071,-81.03,42.42,33.0,-11.41,-0.82,-11.41,0.0,4
その他金融/証券・先物,5202,3,20,25,205.85,0.284,-61.15,44.74,152.0,-24.96,-0.154,-44.53,44.83,29
