Date,phase_name,ret5,dd20,vol10,major_crash,post_major_crash_mode
2021-09-29,normal,-0.0099002927883171,-0.0367071043528945,0.0127165822284701,False,False
2021-09-30,normal,-0.0063004052684569,-0.0396946690304476,0.0121999292702176,False,False
2021-10-01,normal,-0.0488528377697702,-0.06191793704819,0.0136348223609116,False,False
2021-10-04,normal,-0.0593639658588749,-0.0725530406720562,0.0137489754293352,False,False
2021-10-05,crash,-0.0782482392475101,-0.0928585333932026,0.0138289255929691,False,False
2021-10-06,normal,-0.068216903700456,-0.1024199630505866,0.0131339709509472,False,False
2021-10-07,crash,-0.0602475025799479,-0.0975506669355733,0.0138047670757801,False,False
2021-10-08,normal,-0.0250992003957969,-0.0854630467339201,0.0123383357816613,False,False
2021-10-11,high_vol,0.0018741008518114,-0.0708149115355696,0.0143102534680848,False,False
2021-10-12,high_vol,0.0146822113840543,-0.0795396906252405,0.0142764642022038,False,False
2021-10-13,normal,0.022209781053001,-0.0824849069523955,0.0133322654863909,False,False
2021-10-14,high_vol,0.0315308945354408,-0.0642632349925067,0.0146848942673845,False,False
2021-10-15,high_vol,0.0363540093183949,-0.0469317225778184,0.0141890121862976,False,False
2021-10-18,normal,0.0185015802122365,-0.0483471274958174,0.0135558612673242,False,False
2021-10-19,normal,0.0348880232504722,-0.0341597238682744,0.0106287378308097,False,False
2021-10-20,normal,0.0396325662801382,-0.0328363247237704,0.0092821592143014,False,False
2021-10-21,normal,0.0055217252940811,-0.0509187118734201,0.0121728270016102,False,False
2021-10-22,normal,-0.0090744297960262,-0.0474605841240061,0.0116915448793165,False,False
2021-10-25,normal,-0.0146440665374877,-0.0524633193280682,0.0110381834211198,False,False
2021-10-26,normal,-0.003748342229816,-0.0148346536939113,0.0116681064763659,False,False
2021-10-27,normal,-0.0053771179374213,-0.0120335453570156,0.0115276322049157,False,False
2021-10-28,normal,0.0038841964779012,-0.0148847287393778,0.0114548538423107,False,False
2021-10-29,normal,0.0030494810749301,-0.0124031617397393,0.0098050873539045,False,False
2021-11-01,normal,0.036596325582634,0.0,0.0129088476931863,False,False
2021-11-02,normal,0.0142544659450365,-0.00425605783664,0.0129561636848186,False,False
2021-11-04,overheated_range,0.0239234022622314,0.0,0.0132113381498875,False,False
2021-11-05,uptrend,0.0274628036567916,-0.0061353481680452,0.0115244416485579,False,False
2021-11-08,normal,0.0212635562750822,-0.0096433778483074,0.0117156333598763,False,False
2021-11-09,normal,-0.0121974622685294,-0.0170806839615575,0.0117537208548548,False,False
2021-11-10,uptrend,-0.0140280644651852,-0.0230778453641584,0.0106830669011386,False,False
