trend_r2_min,annual_return_min,quarter_return_min,positive_month_ratio_min,persistence_20d_min,sector_per_score_min,ocr_per_max,selected_count,mean_realized_return_pct,median_realized_return_pct,win_rate_pct,objective_score
0.6,25.0,14.0,55.0,55.0,0.4,20.0,44,14.440672926173619,10.660614535613888,79.54545454545455,95.78858763272295
0.6,25.0,14.0,55.0,55.0,0.45,20.0,44,14.440672926173619,10.660614535613888,79.54545454545455,95.78858763272295
0.6,25.0,14.0,55.0,60.0,0.4,20.0,44,14.440672926173619,10.660614535613888,79.54545454545455,95.78858763272295
0.6,25.0,14.0,55.0,60.0,0.45,20.0,44,14.440672926173619,10.660614535613888,79.54545454545455,95.78858763272295
0.6,20.0,14.0,50.0,55.0,0.45,25.0,51,13.412502981788649,10.776035383996785,76.47058823529412,95.7844300920612
0.6,20.0,14.0,50.0,60.0,0.45,25.0,51,13.412502981788649,10.776035383996785,76.47058823529412,95.7844300920612
0.6,25.0,14.0,50.0,55.0,0.45,25.0,51,13.412502981788649,10.776035383996785,76.47058823529412,95.7844300920612
0.6,25.0,14.0,50.0,60.0,0.45,25.0,51,13.412502981788649,10.776035383996785,76.47058823529412,95.7844300920612
0.7,20.0,10.0,50.0,60.0,0.4,20.0,39,15.336603012047531,11.13025499655409,79.48717948717949,95.77705511246768
0.7,25.0,10.0,50.0,60.0,0.4,20.0,39,15.336603012047531,11.13025499655409,79.48717948717949,95.77705511246768
0.65,30.0,10.0,50.0,65.0,0.35,20.0,48,13.789746524046391,11.074681238615668,83.33333333333334,95.53816641257868
0.6,25.0,10.0,50.0,65.0,0.35,20.0,63,12.03552542512677,10.545193687230991,82.53968253968253,95.5290215186411
0.6,30.0,10.0,60.0,55.0,0.35,20.0,47,13.92750596915933,10.776035383996785,80.85106382978722,95.48217036958016
0.6,20.0,10.0,50.0,65.0,0.35,20.0,64,11.930002032616514,10.486965325654896,82.8125,95.44001626093211
0.7,20.0,10.0,50.0,55.0,0.45,20.0,39,15.281645912253198,11.038251366120221,79.48717948717949,95.43384813425429
0.7,25.0,10.0,50.0,55.0,0.45,20.0,39,15.281645912253198,11.038251366120221,79.48717948717949,95.43384813425429
0.65,20.0,10.0,55.0,65.0,0.35,20.0,45,14.211668601167041,11.038251366120221,84.44444444444444,95.33477119772655
0.65,25.0,10.0,55.0,65.0,0.35,20.0,45,14.211668601167041,11.038251366120221,84.44444444444444,95.33477119772655
0.65,20.0,14.0,50.0,55.0,0.45,20.0,39,15.25928502601489,11.65845648604269,79.48717948717949,95.29420444445364
0.65,20.0,14.0,50.0,60.0,0.45,20.0,39,15.25928502601489,11.65845648604269,79.48717948717949,95.29420444445364
0.65,25.0,14.0,50.0,55.0,0.45,20.0,39,15.25928502601489,11.65845648604269,79.48717948717949,95.29420444445364
0.65,25.0,14.0,50.0,60.0,0.45,20.0,39,15.25928502601489,11.65845648604269,79.48717948717949,95.29420444445364
0.6,20.0,10.0,60.0,55.0,0.35,20.0,51,13.343223679717093,10.4287369640788,82.35294117647058,95.2896769147378
