quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score
2025-2Q,2564,7988.T,ニフコ,化学,0.3894576151564017,-5.363276089828273,-5.087440381558029,7.482477046802767,9.222065063649222,0.0344910740367049,25.915245737211634,25.0,89.30441286462228,10.0,3582.0,6276,-8.645753634276964,2025-03-31,2025-03-31,10.7,10.7,25.3,10.7,10.7,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.3>
10.7
<26.3>
10.7
实PER
高值平均
20.4
安值平均
13.9
PBR
1.41
株倡(2/26)
2
十样
36939
最低購人额
36万9300P
7988
化",3145.png,0.6926829268292682,0.5532101429727543,0.3597169580864719,0.4770760548988356
2025-2Q,1753,3923.T,ラクス,情報・通信業,0.506436895178402,-1.7922906948195427,12.17049915872126,16.722440477811055,17.775995723068693,0.0437679982779917,29.879172639770637,41.66666666666667,81.4000814000814,50.0,1000.0,2521,-5.145838273654258,2025-03-31,2025-03-31,44.6,19.0,25.3,19.0,19.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
44.6
<26.3>
35.2
实PER
高值平均
406.9
安值平均
155.3
PBR
19-58
株倡(2/26)
2
2020m
最低購人额
20万2000F
F
速亏特
3923
情",1086.png,0.1089193825042881,0.5496155921230105,0.5955889158810558,0.476975633095072
2025-2Q,2996,5915.T,駒井ハルテック,金属製品,0.3175531261796537,-24.35406698564593,-2.4074074074074026,8.594998928014734,10.698270339525951,0.6638162825217293,33.83152173913043,25.0,71.57084653689452,60.0,1581.0,6276,-26.53345724907064,2025-03-31,2025-03-31,7.7,7.7,25.3,7.7,7.7,medium,medium,low,low,low,"信E格
株伍指标
予想PER
（倍）
<25.3>
7.7
<26.3>
18.2
实PER
高值平均
19.0
安值平均
12.8
PBR
0-24
株倡(2/26)
2
15999
最低購人额
15万99009
5915
金",1952.png,0.8546511627906976,0.529086862692204,0.3947713125981665,0.4765080266312578
2025-2Q,2961,1780.T,ヤマウラ,建設業,0.3233616234276804,-14.245014245014245,-2.981466559226431,8.293292943415187,10.592160133444528,0.2980679829646295,33.65200764818356,33.33333333333333,76.15433270082227,25.0,1204.0,6276,-23.263224984066287,2025-03-31,2025-03-31,8.3,8.3,25.3,8.3,8.3,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
8.3
(26.3>
7.9
实PER
高值平均
17.7
安值平均
13.8
PBR
1.08
株倡(2/26)
1279m
最低購人额
12万79009
1780
建",92.png,0.8496503496503497,0.5438831939573779,0.366688948913179,0.4764732195954883
2025-2Q,3156,4241.T,アテクト,化学,0.2889331031809105,-44.13702239789197,6.000000000000005,30.46130392682517,35.21505376344085,0.8637002813803706,57.02179176755449,25.0,50.77844311377245,15.0,424.0,4850,-46.933667083854814,2025-03-31,2025-03-31,8.0,8.0,25.3,8.0,8.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
8'96
(26.3>
31.7
实PER
高值平均
26.2
安值平均
14.9
PBR
1.10
株倡(2/26)
351-5
431月
最低購人额
4万3100m
速之特
4241
花
结文色",1273.png,0.8463414634146341,0.5355341246290801,0.4395386181042531,0.4762456666265351
2025-2Q,2478,4323.T,日本システム技術,情報・通信業,0.4021631047342501,-0.4412575841147292,-17.429094236047572,19.685135518162067,26.88053097345133,0.2755294857387371,28.951406649616374,41.66666666666667,78.64923747276688,0.0,1805.0,5727,-7.317073170731703,2025-03-31,2025-03-31,19.6,19.6,25.3,19.6,19.6,medium,medium,low,low,low,"2295
株伍指标
海正格
予想PER
（倍）
<25.3>
19.6
<26.3>
18.7
实PER
高值平均
17.4
安值平均
0'8
PBR
3-31
株倡(2/26)
6
1843m
最低購人额
18万4300m
4323
13
情",1316.png,0.5094339622641509,0.6351092527650392,0.3473935303624027,0.4761327444424435
2025-2Q,1948,4829.T,日本エンタープライズ,情報・通信業,0.4806864203325312,-6.818181818181824,0.0,11.094508927326263,13.513513513513509,0.3197016315052772,28.76712328767124,41.66666666666667,79.35483870967742,60.0,123.0,4584,-5.384615384615388,2025-03-31,2025-03-31,24.9,2.0,25.5,2.0,2.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.5>
24.9
<26.5>
22.6
实PER
高值平均
72.4
安值平均
51.0
PBR
66°0
株倡(2/26)
3
1229
最低購人额
1万2200m
4829
62速大特
情",1608.png,0.3945111492281303,0.4919881305637982,0.5039976184552467,0.475106671266027
2025-2Q,1922,1438.T,岐阜造園,建設業,0.4853275268227682,3.2399780340472306,-5.527638190954775,5.511535990388361,5.966968566862008,0.0076137269593427,25.7645968489342,41.66666666666667,82.09606986899564,5.0,1880.0,843,7.244723331431824,2025-03-31,2025-03-31,18.2,18.2,25.9,18.2,18.2,medium,medium,low,low,low,"0
株伍指标
布正校
予想PER
（倍）
<25.9>
18.2
<26.9>
17.2
实PER
高值平均
19.2
安值平均
11.8
PBR
1.59
株倡(2/26)
7
万补
1907A
最低購人额
19万700P
1438
建",33.png,0.1118881118881118,0.69097653088751,0.4089047194300364,0.4750432043867358
2025-2Q,3437,4014.T,カラダノート,情報・通信業,0.2303102719421592,-22.22222222222222,-4.109589041095896,17.082205416549755,26.491646778042966,0.2855803373575742,42.602739726027394,33.33333333333333,57.2987721691678,35.0,420.0,1311,-31.596091205211728,2025-03-31,2025-03-31,13.8,13.8,25.7,13.8,13.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.7>
13.8
<26.7>
9.2
实PER
高宿平均
安值平均
PBR
8-57
株倡(2/26)
6
438m
最低購人额
4万3800F
4014
情",1152.png,0.7289879931389366,0.7428176422983543,0.3078943826610614,0.4737190336218682
2025-2Q,2756,3645.T,メディカルネット,情報・通信業,0.3575092061211771,-24.761904761904763,-0.6289308176100628,9.241402842970798,9.868421052631572,0.7894172718439472,29.88235294117647,33.33333333333333,72.97921478060047,0.0,316.0,3742,-22.54901960784313,2025-03-31,2025-03-31,22.1,16.6,25.5,16.6,16.6,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.5>
22.1
<26.5>
16.6
实PER
高值平均
241.2
安值平均
171.3
PBR
1.51
株（2/26）
2
311月
最低購人额
3万1100m
3645
特
情",935.png,0.4408233276157804,0.6990760722956568,0.3674563452612442,0.4736511879845178
2025-2Q,2944,2477.T,手間いらず,情報・通信業,0.326391542611803,-9.045383411580598,-7.599364069952308,12.994263340999822,14.050154586052898,0.0174513859064159,26.43037974683544,41.66666666666667,73.47661188369153,0.0,2906.0,4918,-9.470404984423675,2025-03-31,2025-03-31,19.1,19.1,25.6,19.1,19.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.6>
19.1
<26.6>
17.4
实PER
高值平均
42.2
安值平均
24.7
PBR
2.90
株倡(2/26)
2
3105m
最低購人额
31万5009
2477
情",389.png,0.5291595197255574,0.7551052063663339,0.2697165926804367,0.4734750711559103
2025-2Q,3042,4371.T,コアコンセプト・テクノロジー,情報・通信業,0.3111179750507747,-57.193396226415096,17.09677419354838,24.321390747546324,33.48365276211951,0.8581420283732141,70.96307023895727,25.0,38.754448398576514,75.0,1089.0,1091,-59.54680534918276,2025-03-31,2025-03-31,11.9,11.9,25.12,11.9,11.9,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.12>
11.9
<26.12>
10.2
实PER
高值平均
60.3
安值平均
20.3
PBR
4.49
株倡(2/26)
1127A
最低購人额
11万27009
4371
情",1342.png,0.8121783876500858,0.4558672781224709,0.5335227754961334,0.473444511055425
