quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score,future_return_2024Q3_pct,selected_rank
2024Q2_PRE_ALIGNED,488,8032.T,日本紙パルプ商事,卸売業,0.7629884346339187,20.15810276679841,16.47509578544062,8.482898073743678,14.233576642335777,0.7207172715850577,12.667946257197691,75.0,95.44740973312402,45.0,608.0,6276,20.15810276679841,2024-06-30,2024-06-30,7.3,7.3,25.3,7.3,7.3,medium,medium,low,low,low,"6260布E校
株伍指标
予想PER
（倍）
<25.3>
7.3
(26.3>
6.6
实PER
高值平均
6.1
安值平均
4.9
PBR
0-57
株幅(5/27)
5920m
最低購人额
24
8.4
59万2000P
海加速&特
8032
卸
外T铺A鱼",7113.png,0.896551724137931,0.5819776931447225,0.7522138249206103,0.7257803384335235,9.41558441558441,26
2024Q2_PRE_ALIGNED,702,8135.T,ゼット,卸売業,0.7133565884242707,20.0,9.26517571884984,8.201789991471898,9.797297297297302,0.5509720250912784,11.85897435897436,58.333333333333336,97.9942693409742,100.0,342.0,6470,20.0,2024-06-30,2024-06-30,7.4,7.4,25.3,7.4,7.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
7.4
(26.3>
7.0
实PER
高值平均
9.9
安值平均
5.6
PBR
0.47
株佰(5/27)
5
3229
最低購人额
21
6.2
3万2200F
8135
卸",7175.png,0.8879310344827587,0.5818960826985854,0.7348502309520109,0.7037286388635977,-1.1730205278592365,27
2024Q2_PRE_ALIGNED,203,3817.T,ＳＲＡホールディングス,情報・通信業,0.8445946007565159,33.734939759036145,11.698113207547166,6.999385878780462,13.595933926302406,0.8602096280945689,11.627906976744184,66.66666666666666,99.32885906040268,55.00000000000001,4440.0,6271,33.734939759036145,2024-06-30,2024-06-30,11.1,11.1,25.3,11.1,11.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
11.1
(26.3>
10.4
实PER
高值平均
23.4
安值平均
17.9
PBR
1.75
株倡(5/27)
3
4055F
!.
最低購人额
21
16.6
40万55009
特
3817
情",4930.png,0.8853615520282186,0.646164309031556,0.8220930414603274,0.7860849340084237,-4.260089686098656,28
2024Q2_PRE_ALIGNED,413,9698.T,クレオ,情報・通信業,0.7852403336960465,31.67220376522701,8.287795992714031,6.76811821955558,9.93560257589696,0.7063645087512666,11.725293132328307,58.333333333333336,99.16597164303586,65.0,1189.0,6535,31.67220376522701,2024-06-30,2024-06-30,11.2,11.2,25.3,11.2,11.2,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
11.2
(26.3>
10.1
实PER
高值平均
16.0
安值平均
10.9
PBR
1.21
株佰(5/27)
3
1115F
最低購人额
241
10.1
11万15009
9698
功笼速时特
情",7739.png,0.8818342151675485,0.6469464091403699,0.7787910383957718,0.7562730916109642,-7.77683854606932,29
2024Q2_PRE_ALIGNED,171,3583.T,オーベクス,繊維製品,0.8528119488056377,34.047350620067654,21.823770491803284,8.872434095623127,17.988394584139257,0.7870054257132368,10.821643286573146,83.33333333333334,97.45901639344262,65.0,1189.0,6276,34.047350620067654,2024-06-30,2024-06-30,6.5,6.5,25.3,6.5,6.5,medium,medium,low,low,low,"有正格
株伍指标
予想PER
（倍）
<25.3>
6.5
<26.3>
5.9
实PER
高值平均
6.0
安值平均
4.6
PBR
0.48
株倡(5/27)
1081月
最低購人额
21
7.2
10万8100m
3583
绒",4810.png,0.8723404255319149,0.5693552774755168,0.8429679165463791,0.7679305945533818,-1.0970464135021119,30
2024Q2_PRE_ALIGNED,407,6785.T,鈴木,電気機器,0.7866314316803981,39.96043521266073,9.01386748844375,9.385012659459765,13.02288871349644,0.7894111634618531,12.880000000000004,58.333333333333336,92.18241042345277,85.0,1415.0,3945,39.96043521266073,2024-06-30,2024-06-30,9.7,9.7,24.6,9.7,9.7,medium,medium,low,low,low,"1481ER
株伍指标
予想PER
（倍）
<24.6>
9.7
<25.6>
9.3
实PER
高值平均
0'8
安值平均
5.0
PBR
0-85
株倡(5/27)
1420F
最低購人额
21
14万2000m
6785",6401.png,0.8662280701754386,0.455835146898803,0.8302028047345162,0.7075258710665986,16.03974449964514,31
2024Q2_PRE_ALIGNED,643,9788.T,ナック,サービス業,0.7254794341675734,19.75051975051976,6.666666666666665,5.104337754322325,9.81132075471698,0.6978966995814664,11.64383561643836,58.333333333333336,97.95918367346938,55.00000000000001,576.0,6273,19.75051975051976,2024-06-30,2024-06-30,10.4,10.4,25.3,10.4,10.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
10.4
(26.3>
6'6
实PER
高值平均
12.9
安值平均
11.0
PBR
0-99
株佰(5/27)
529m
最低購人额
24
7.8
5万2900F
9788",7784.png,0.8575638506876228,0.6275435255712731,0.7122102051919789,0.7126084828229442,-5.344827586206902,32
2024Q2_PRE_ALIGNED,1399,2927.T,ＡＦＣ－ＨＤアムスライフサイエンス,食料品,0.5724264262397015,14.28571428571428,-1.7241379310344862,6.927865563664081,15.089820359281436,0.4055844665666518,13.043478260869568,50.0,94.21487603305783,60.0,912.0,5188,14.28571428571428,2024-06-30,2024-06-30,11.1,11.1,24.8,11.1,11.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<24.8>
11.1
<25-8>
9.9
实PER
高值平均
17.5
安值平均
9.4
PBR
0.91
株倡(5/27)
884m
最低購人额
24
8万8400P
2927
食",4480.png,0.8548387096774194,0.4949945593035908,0.5583008149941151,0.5883097386245031,-10.76086956521739,33
2024Q2_PRE_ALIGNED,491,4008.T,住友精化,化学,0.7626815793564433,23.005780346820814,4.313725490196085,4.097307419669699,5.742574257425748,0.6721296658747331,10.187110187110182,66.66666666666666,99.625468164794,80.0,5320.0,6276,23.005780346820814,2024-06-30,2024-06-30,9.6,9.6,25.3,9.6,9.6,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<25.3>
9.6
(26.3>
9.1
实PER
高值平均
9.6
安值平均
6.7
PBR
0.71
株福(5/27)
2
5050P
最低購人额
21
6.8
50万5000m
4008
化",5052.png,0.848780487804878,0.6123435799782372,0.7212675323665919,0.7217585717616752,-3.3771106941838602,34
2024Q2_PRE_ALIGNED,518,2179.T,成学社,サービス業,0.7568049018083838,15.625,8.823529411764696,3.3814691360330107,5.950840879689512,0.6527514449947631,6.857855361596011,75.0,99.3894993894994,100.0,814.0,4308,15.625,2024-06-30,2024-06-30,10.6,10.6,25.3,10.6,10.6,medium,medium,low,low,low,"株伍指标
予想PER
（倍)
<25.3>
10.6
(26.3>
9.5
实PER
高值平均
11.5
安值平均
10.1
PBR
1.22
株幅(5/27)
767A
最低購人额
13.1
7万6700P
2179",4202.png,0.8487229862475442,0.6299306311207835,0.7290877562123871,0.7264194790625716,-5.535055350553508,35
