date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,macro_confirm_score,macro_corr_score,signal_basis_date,reason
2026-01-22,5105.T,ゴム/タイヤ・ゴム,ゴム製品,BUY,4424.384999999999,600,441377.5000000014,0.4609968284870733,0.0,0.0,2026-01-21,buy_breakout_up
2026-01-23,5105.T,ゴム/タイヤ・ゴム,ゴム製品,SELL,4469.25,600,3122927.5000000014,0.465760190144149,,,2026-01-22,early_take_profit_top
2026-01-23,7184.T,銀行/地方銀行,銀行業,BUY,2414.685,1200,225305.5000000014,0.7708377612436234,0.0,0.0,2026-01-22,buy_breakout_up
2026-01-26,7184.T,銀行/地方銀行,銀行業,SELL,2285.0,1200,2967305.5000000014,0.7820240784191975,,,2026-01-23,stop_loss
2026-01-27,7184.T,銀行/地方銀行,銀行業,BUY,2319.2749999999996,1200,184175.50000000186,0.7283432207958643,0.0,0.0,2026-01-26,buy_breakout_up
2026-01-28,7184.T,銀行/地方銀行,銀行業,SELL,2245.18,1200,2878391.500000002,0.7236233659638681,,,2026-01-27,early_stop_top
2026-02-02,5901.T,金属製品/飲料,金属製品,BUY,3933.1249999999995,100,2485079.000000002,0.5046439159516405,0.0,0.0,2026-01-30,buy_breakout_up
2026-02-02,1938.T,建設/設備工事,建設業,BUY,2328.0,100,2252279.000000002,0.44208259857431664,0.0,0.0,2026-01-30,buy_breakout_up
2026-02-02,3352.T,小売/他消費財小売り,小売業,BUY,1650.0,200,1922279.0000000019,0.4148972146349676,0.0,0.0,2026-01-30,buy_breakout_up
2026-02-02,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3176.95,100,1604584.0000000019,0.39953278231423134,0.0,0.0,2026-01-30,buy_breakout_up
2026-02-02,9405.T,大幅増額/情報通信,情報・通信業,BUY,842.4499999999999,600,1099114.0000000019,0.36608068921167747,0.0,0.0,2026-01-30,buy_breakout_up
2026-02-03,3352.T,小売/他消費財小売り,小売業,SELL,1674.0,200,1433914.0000000019,0.4287623697420628,,,2026-02-02,early_take_profit_top
2026-02-03,9405.T,大幅増額/情報通信,情報・通信業,SELL,844.0,600,1940314.0000000019,0.3824841034984429,,,2026-02-02,sell_signal
2026-02-03,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,3950.0,200,1150314.0000000019,0.4453063241977773,0.0,0.0,2026-02-02,buy_breakout_up
2026-02-04,5901.T,金属製品/飲料,金属製品,SELL,4008.69,100,1551183.0000000019,0.5222461656826297,,,2026-02-03,early_take_profit_top
2026-02-04,1938.T,建設/設備工事,建設業,SELL,2368.45,100,1788028.0000000019,0.4607143821569918,,,2026-02-03,early_take_profit_top
2026-02-04,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,4080.4,200,2604108.000000002,0.48608812211836044,,,2026-02-03,early_take_profit_top
2026-02-04,7722.T,精密機器/自動車部品,精密機器,BUY,1011.9549999999999,500,2098130.500000002,0.6251162967288684,0.0,0.0,2026-02-03,buy_breakout_up
2026-02-04,8387.T,銀行/地方銀行,銀行業,BUY,2146.725,200,1668785.5000000019,0.6175466037773396,0.0,0.0,2026-02-03,buy_breakout_up
2026-02-04,3289.T,225/不動産,不動産業,BUY,1477.84,300,1225433.5000000019,0.4350569528654446,0.0,0.0,2026-02-03,buy_breakout_up
2026-02-05,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3265.0,100,1551933.5000000019,0.4023339185066897,,,2026-02-04,early_take_profit_top
2026-02-05,7722.T,精密機器/自動車部品,精密機器,SELL,1058.0,500,2080933.5000000019,0.6681031731854558,,,2026-02-04,early_take_profit_top
2026-02-05,8387.T,銀行/地方銀行,銀行業,SELL,2231.0,200,2527133.500000002,0.6491943691640594,,,2026-02-04,early_take_profit_top
2026-02-05,3289.T,225/不動産,不動産業,SELL,1509.5,300,2979983.500000002,0.45168362870603185,,,2026-02-04,early_take_profit_top
2026-02-05,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1084.0,2700,53183.50000000186,0.3651726030277763,0.0,0.0,2026-02-04,buy_breakout_up
2026-02-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1116.0,2700,3066383.500000002,0.37960716421393503,,,2026-02-06,early_take_profit_top
2026-02-10,1718.T,建設/建設・土木,建設業,BUY,9581.599999999999,300,191903.50000000233,0.542462375103981,0.0,0.0,2026-02-09,buy_breakout_up
2026-02-12,1718.T,建設/建設・土木,建設業,SELL,9797.0,300,3131003.5000000023,0.5849476773787765,,,2026-02-10,early_take_profit_top
2026-02-12,1768.T,建設/建設・土木,建設業,BUY,1658.5099999999998,1800,145685.5000000028,0.7244132145758443,0.0,0.0,2026-02-10,buy_breakout_up
2026-02-17,1768.T,建設/建設・土木,建設業,SELL,1703.8700000000001,1800,3212651.500000003,0.6023206593573928,,,2026-02-16,early_take_profit_top
2026-02-17,7456.T,卸売/非鉄金属・金属製品,卸売業,BUY,7104.999999999999,100,2502151.500000003,0.7710017327698269,0.0,0.0,2026-02-16,buy_breakout_up
2026-02-17,5714.T,225/非鉄金属,非鉄金属,BUY,9623.214999999998,100,1539830.0000000028,0.7319251048131492,0.0,0.0,2026-02-16,buy_breakout_up
2026-02-18,7456.T,卸売/非鉄金属・金属製品,卸売業,SELL,7190.0,100,2258830.000000003,0.77995811730045,,,2026-02-17,sell_signal
2026-02-18,7887.T,その他製品/住宅設備・機器,その他製品,BUY,12460.0,100,1012830.0000000028,0.7561223740647731,0.0,0.0,2026-02-17,buy_breakout_up
