date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason
2026-01-14,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1099.245,100,72325.00000000001,0.4254403924578349,2026-01-13,buy_breakout_up
2026-01-15,3289.T,225/不動産,不動産業,SELL,1501.0,100,222425.0,0.46864427996733143,2026-01-14,sell_signal
2026-01-15,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,861.0,300,480725.0,0.44549050500241283,2026-01-14,sell_signal
2026-01-15,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3350.0,100,815725.0,0.4542874788945189,2026-01-14,sell_signal
2026-01-15,9405.T,大幅増額/情報通信,情報・通信業,SELL,863.0,500,1247225.0,0.4081645526103695,2026-01-14,sell_signal
2026-01-15,1879.T,建設/建設・土木,建設業,SELL,2117.0,400,2094025.0,0.4066101666781793,2026-01-14,sell_signal
2026-01-15,8154.T,卸売/電子部品・産業用電子機器,卸売業,SELL,3950.0,200,2884025.0,0.375528500628355,2026-01-14,sell_signal
2026-01-15,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1114.0,100,2995425.0,0.41187294406518543,2026-01-14,sell_signal
2026-01-19,5697.T,鉄鋼/鉄鋼,鉄鋼,BUY,850.0,100,2910425.0,0.6238609547073192,2026-01-16,buy_breakout_up
2026-01-20,5697.T,鉄鋼/鉄鋼,鉄鋼,SELL,808.0,100,2991225.0,0.5769220589336468,2026-01-19,sell_signal
2026-01-23,6343.T,機械/住宅建設,機械,BUY,180.67,700,2864756.0,0.6223464421221725,2026-01-22,buy_breakout_up
2026-01-23,9063.T,陸運/陸運,陸運業,BUY,4285.0,100,2436256.0,0.5139230058019102,2026-01-22,buy_breakout_up
2026-01-23,1879.T,建設/建設・土木,建設業,BUY,2124.395,300,1798937.5,0.4872746327869634,2026-01-22,buy_breakout_up
2026-01-27,6343.T,機械/住宅建設,機械,SELL,186.0,700,1929137.5,0.48301747765156894,2026-01-26,sell_signal
2026-01-27,9063.T,陸運/陸運,陸運業,SELL,4405.0,100,2369637.5,0.437396365217006,2026-01-26,sell_signal
2026-01-27,1879.T,建設/建設・土木,建設業,SELL,2032.0,300,2979237.5,0.3680836763329316,2026-01-26,sell_signal
2026-01-28,9531.T,225/電気ガス,電気・ガス業,BUY,6682.759999999999,100,2310961.5,0.5032836909844058,2026-01-27,buy_breakout_up
2026-01-29,9531.T,225/電気ガス,電気・ガス業,SELL,6719.0,100,2982861.5,0.4652553845226308,2026-01-28,sell_signal
