ticker,company_name,sector,promising_score,start_date,start_close,end_date,end_close,return_pct_to_2026_03_01,period_high,period_low,max_gain_from_start_pct,max_drawdown_from_start_pct,rows
3289.T,東急不動産ホールディングス,225/不動産,0.7553390137522137,2026-01-05,1426.5,2026-02-27,1570.5,10.094637223974768,1582.0,1409.5,10.900806168944976,-1.191728005608128,37
1808.T,長谷工コーポレーション,225/建設,0.7653453698112651,2026-01-05,3104.0,2026-02-27,3414.0,9.987113402061865,3497.0,3104.0,12.661082474226815,0.0,37
6357.T,三精テクノロジーズ,機械/外食・娯楽サービス,0.7711988548672646,2026-01-05,2417.0,2026-02-27,2655.0,9.846917666528764,2655.0,2407.0,9.846917666528764,-0.4137360364087739,37
1879.T,新日本建設,建設/建設・土木,0.7509276416029275,2026-01-05,2011.0,2026-02-27,2201.0,9.448035803083044,2201.0,1975.0,9.448035803083044,-1.7901541521631037,37
4619.T,日本特殊塗料,化学/タイヤ・ゴム,0.7545973339146117,2026-01-05,2326.0,2026-02-27,2545.0,9.415305245055894,2545.0,2325.0,9.415305245055894,-0.04299226139294898,37
6743.T,大同信号,電気機器/設備機器・部品,0.75906178497291,2026-01-05,824.0,2026-02-27,887.0,7.645631067961167,957.0,786.0,16.140776699029136,-4.611650485436892,37
5697.T,サンユウ,鉄鋼/鉄鋼,0.7427598309395402,2026-01-05,744.0,2026-02-27,799.0,7.392473118279574,838.0,737.0,12.634408602150549,-0.9408602150537626,37
4043.T,トクヤマ,225/化学,0.7683255490414831,2026-01-05,4168.0,2026-02-27,4476.0,7.389635316698651,4532.0,3757.0,8.733205374280239,-9.860844529750478,37
9034.T,南総通運,前号並み/陸運,0.8238117097385605,2026-01-05,1612.0,2026-02-27,1728.0,7.196029776674928,1730.0,1572.0,7.3200992555831235,-2.481389578163773,37
5644.T,メタルアート,鉄鋼/自動車部品,0.7759832991984199,2026-01-05,5220.0,2026-02-27,5590.0,7.088122605363978,5960.0,5100.0,14.176245210727977,-2.298850574712641,37
7722.T,国際計測器,精密機器/自動車部品,0.7520563734161684,2026-01-05,916.0,2026-02-27,976.0,6.550218340611358,1093.0,916.0,19.32314410480349,0.0,37
7971.T,東リ,増額/化学,0.752761246329697,2026-01-05,740.0,2026-02-27,788.0,6.486486486486487,809.0,738.0,9.32432432432433,-0.2702702702702675,37
1736.T,オーテック,建設/設備工事,0.7678852275074742,2026-01-05,2402.0,2026-02-27,2539.0,5.70358034970857,2790.0,2402.0,16.153205661948377,0.0,37
6379.T,レイズネクスト,建設/燃料・資源,0.7234761443403055,2026-01-05,2489.0,2026-02-27,2629.0,5.62474889513862,2738.0,2489.0,10.004017677782251,0.0,37
5901.T,東洋製罐グループホールディングス,金属製品/飲料,0.7734651285733178,2026-01-05,3872.0,2026-02-27,4080.0,5.371900826446274,4135.0,3794.0,6.792355371900816,-2.01446280991735,37
3388.T,明治電機工業,卸売/電子部品・産業用電子機器,0.7403730896511,2026-01-05,2395.0,2026-02-27,2502.0,4.4676409185803845,2510.0,2278.0,4.801670146137793,-4.885177453027145,37
7981.T,タカラスタンダード,その他製品/住宅設備・機器,0.7936242521443666,2026-01-05,2920.0,2026-02-27,3040.0,4.109589041095885,3090.0,2920.0,5.821917808219168,0.0,37
9791.T,ビケンテクノ,大幅強気/増額,0.7619690223028959,2026-01-05,1413.0,2026-02-27,1436.0,1.6277423920735945,1457.0,1382.0,3.113941967445144,-2.1939136588818076,37
9405.T,朝日放送グループホールディングス,大幅増額/情報通信,0.7429866434288701,2026-01-05,848.0,2026-02-27,851.0,0.35377358490567,872.0,813.0,2.8301886792452935,-4.127358490566035,37
3020.T,アプライド,増額/小売,0.7527252272366858,2026-01-05,4355.0,2026-02-27,4345.0,-0.22962112514350874,4415.0,4205.0,1.3777267508610747,-3.4443168771526977,37
9074.T,日本石油輸送,陸運/燃料・資源,0.7546448894698019,2026-01-05,5450.0,2026-02-27,5370.0,-1.4678899082568808,5720.0,5090.0,4.954128440366978,-6.605504587155964,37
1718.T,美樹工業,建設/建設・土木,0.74162694470038,2026-01-05,8520.0,2026-02-27,8370.0,-1.7605633802816878,9900.0,8200.0,16.19718309859155,-3.7558685446009377,37
9906.T,藤井産業,卸売/設備機器・部品,0.7804703912868615,2026-01-05,4345.0,2026-02-27,4185.0,-3.682393555811281,4565.0,4125.0,5.063291139240511,-5.063291139240511,37
8515.T,アイフル,その他金融/リース・消費者金融,0.8142333875007108,2026-01-05,548.0,2026-02-27,518.0,-5.474452554744524,595.0,501.0,8.576642335766426,-8.576642335766426,37
5280.T,ヨシコン,不動産/不動産(住宅),0.8274197798173388,2026-01-05,2946.0,2026-02-27,2765.0,-6.143923964697895,3150.0,2707.0,6.924643584521384,-8.11269517990496,37
