ticker,company_name,sector,promising_score,start_date,start_close,latest_date,latest_close,return_pct_to_latest,max_gain_from_start_pct,max_drawdown_from_start_pct
9405.T,朝日放送グループホールディングス,大幅増額/情報通信,0.7429866434288701,2026-01-05,848.0,2026-03-10,914.0,7.783018867924518,7.783018867924518,-4.127358490566035
9063.T,岡山県貨物運送,陸運/陸運,0.7478058195988915,2026-01-05,4175.0,2026-03-10,4485.0,7.425149700598799,15.68862275449101,-0.4790419161676662
7299.T,フジオーゼックス,輸送用機器/自動車部品,0.7511179946626105,2026-01-05,1914.0,2026-03-10,2051.0,7.157784743991646,14.785788923719956,0.0
7246.T,プレス工業,輸送用機器/建設農業機械・産業車両,0.7239263612658735,2026-01-05,816.0,2026-03-10,871.0,6.740196078431371,23.2843137254902,0.0
6343.T,フリージア・マクロス,機械/住宅建設,0.7328269946338011,2026-01-05,169.0,2026-03-10,179.0,5.9171597633136175,26.627218934911244,-2.3668639053254448
7231.T,トピー工業,輸送用機器/自動車部品,0.773967731565736,2026-01-05,3155.0,2026-03-10,3335.0,5.705229793977806,16.798732171156907,-2.2187004754358197
3352.T,バッファロー,小売/他消費財小売り,0.7325147795279611,2026-01-05,1619.0,2026-03-10,1709.0,5.55898702903026,22.91537986411365,-2.285361334156888
7483.T,ドウシシャ,卸売/他個人サービス・製品,0.8014384624085068,2026-01-05,3350.0,2026-03-10,3525.0,5.223880597014929,11.343283582089558,-6.4179104477612
9845.T,パーカーコーポレーション,化学/化学,0.799999011519894,2026-01-05,1558.0,2026-03-10,1638.0,5.134788189987161,12.58023106546855,-6.225930680359437
8154.T,加賀電子,卸売/電子部品・産業用電子機器,0.7300614631823648,2026-01-05,3915.0,2026-03-10,4045.0,3.3205619412515874,12.388250319284811,-2.8097062579821253
1736.T,オーテック,建設/設備工事,0.7678852275074742,2026-01-05,2402.0,2026-03-10,2481.0,3.2889258950874245,16.153205661948377,-3.080766028309745
8877.T,エスリード,不動産/不動産(住宅),0.7271131925057895,2026-01-05,6610.0,2026-03-10,6820.0,3.177004538577921,14.069591527987901,0.0
4619.T,日本特殊塗料,化学/タイヤ・ゴム,0.7545973339146117,2026-01-05,2326.0,2026-03-10,2399.0,3.138435081685298,9.415305245055894,-0.04299226139294898
1946.T,トーエネック,建設/設備工事,0.781045537414407,2026-01-05,2014.0,2026-03-10,2059.0,2.2343594836147007,19.01688182720953,-1.1916583912611745
5834.T,SBIリーシングサービス,証券先物/金融サービス,0.782425580849468,2026-01-05,5800.0,2026-03-06,5920.0,2.0689655172413834,21.034482758620697,-1.379310344827589
6331.T,三菱化工機,機械/産業機械,0.7707459155858882,2026-01-05,3210.0,2026-03-10,3270.0,1.869158878504673,22.118380062305288,-3.4267912772585674
5697.T,サンユウ,鉄鋼/鉄鋼,0.7427598309395402,2026-01-05,744.0,2026-03-10,756.0,1.6129032258064502,12.634408602150549,-0.9408602150537626
9034.T,南総通運,前号並み/陸運,0.8238117097385605,2026-01-05,1612.0,2026-03-10,1626.0,0.8684863523573227,7.3200992555831235,-2.481389578163773
7971.T,東リ,増額/化学,0.752761246329697,2026-01-05,740.0,2026-03-10,745.0,0.6756756756756799,9.32432432432433,-1.756756756756761
1808.T,長谷工コーポレーション,225/建設,0.7653453698112651,2026-01-05,3104.0,2026-03-10,3121.0,0.5476804123711432,12.661082474226815,-0.3543814432989678
1879.T,新日本建設,建設/建設・土木,0.7509276416029275,2026-01-05,2011.0,2026-03-10,2020.0,0.4475385380407815,9.448035803083044,-2.287419194430629
7235.T,東京ラヂエーター製造,輸送用機器/自動車部品,0.7835995554810049,2026-01-05,1612.0,2026-03-10,1618.0,0.3722084367245637,13.771712158808924,-2.109181141439209
7102.T,日本車輌製造,輸送用機器/建設農業機械・産業車両,0.7310989562892304,2026-01-05,3800.0,2026-03-10,3805.0,0.1315789473684159,16.315789473684216,-3.552631578947374
5644.T,メタルアート,鉄鋼/自動車部品,0.7759832991984199,2026-01-05,5220.0,2026-03-10,5220.0,0.0,14.176245210727977,-3.6398467432950166
6379.T,レイズネクスト,建設/燃料・資源,0.7234761443403055,2026-01-05,2489.0,2026-03-10,2476.0,-0.5222981116914438,10.004017677782251,-3.776617115307357
3289.T,東急不動産ホールディングス,225/不動産,0.7553390137522137,2026-01-05,1426.5,2026-03-10,1419.0,-0.525762355415349,10.900806168944976,-2.628811777076756
6743.T,大同信号,電気機器/設備機器・部品,0.75906178497291,2026-01-05,824.0,2026-03-10,817.0,-0.8495145631068013,16.140776699029136,-4.611650485436892
3388.T,明治電機工業,卸売/電子部品・産業用電子機器,0.7403730896511,2026-01-05,2395.0,2026-03-10,2373.0,-0.9185803757828848,4.801670146137793,-5.344467640918582
4043.T,トクヤマ,225/化学,0.7683255490414831,2026-01-05,4168.0,2026-03-06,4129.0,-0.9357005758157344,8.733205374280239,-9.860844529750478
5901.T,東洋製罐グループホールディングス,金属製品/飲料,0.7734651285733178,2026-01-05,3872.0,2026-03-10,3834.0,-0.9814049586776896,6.792355371900816,-4.23553719008265
7241.T,フタバ産業,輸送用機器/自動車部品,0.7268988748200461,2026-01-05,1065.0,2026-03-10,1043.0,-2.0657276995305174,10.140845070422543,-3.8497652582159647
