quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date
2024Q2_PRE_ALIGNED,3016,6245.T,ヒラノテクシード,機械,0.28223101715114773,-8.382642998027611,-10.500963391136796,6.867258716965818,12.306843267108158,0.24316913339074764,26.791141988710375,41.66666666666667,79.63994856408058,0.0,1858.0,6468,-8.382642998027611,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3017,5242.T,アイズ,情報・通信業,0.28172569563189803,-53.25814536340852,34.85177151120753,46.793401843916996,116.30170316301704,0.707686225700588,71.70675830469645,16.666666666666664,41.12458654906285,55.00000000000001,1865.0,786,-53.25814536340852,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3018,2154.T,オープンアップグループ,サービス業,0.28155147935126174,-8.264081255771005,-5.155131264916468,8.45566319686174,12.21086605701991,0.001621266262251564,22.19227313566936,41.66666666666667,81.90436933223413,5.0,1987.0,4608,-8.264081255771005,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3019,6289.T,技研製作所,機械,0.2814442250893828,-6.382978723404253,-6.788637457871927,10.87656695423282,22.23404255319148,0.014622823976593646,20.028341993386867,41.66666666666667,84.24717145343777,0.0,1936.0,6470,-6.382978723404253,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3020,6289.T,技研製作所,機械,0.2814442250893828,-6.382978723404253,-6.788637457871927,10.87656695423282,22.23404255319148,0.014622823976593646,20.028341993386867,41.66666666666667,84.24717145343777,0.0,1936.0,6470,-6.382978723404253,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3021,7361.T,ヒューマンクリエイションホールディングス,サービス業,0.2813497797813358,-25.41242541242541,-11.82572614107884,10.385936269336298,22.395833333333325,0.6949974956739973,33.44481605351171,50.0,70.85695231743915,0.0,1062.5,1219,-25.41242541242541,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3022,4838.T,スペースシャワーＳＫＩＹＡＫＩホールディングス,情報・通信業,0.2811988134100213,-14.0625,-11.290322580645162,10.714036900160217,20.94763092269327,0.6656793894693138,36.33540372670807,41.66666666666667,65.67164179104478,0.0,440.0,6199,-14.0625,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3023,3475.T,グッドコムアセット,不動産業,0.28115333436965645,-5.32407407407407,-12.419700214132767,20.150704687784742,33.38607594936709,0.22592537973942528,44.03254972875226,50.0,73.03571428571428,0.0,818.0,2280,-5.32407407407407,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3024,3105.T,日清紡ホールディングス,電気機器,0.2808456500336805,-5.12141280353201,-12.60675071167141,7.627498317514192,14.548889938592357,0.013466624945499994,21.588819418904002,50.0,78.94930198383541,0.0,1074.5,6535,-5.12141280353201,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3025,7082.T,ジモティー,サービス業,0.2806249546608633,-35.74902723735408,-6.312056737588656,10.309826274389582,19.08646003262642,0.9144518428446038,39.29961089494164,41.66666666666667,62.994754411063425,0.0,660.5,1485,-35.74902723735408,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3026,6233.T,ＫＬＡＳＳ,機械,0.28048653298098347,-25.88055130168453,-4.347826086956519,7.7259103168539065,19.767441860465105,0.7383315902500115,28.94333843797856,33.33333333333333,68.75,0.0,484.0,1818,-25.88055130168453,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3027,7480.T,スズデン,卸売業,0.2794629359034147,-11.843276936776492,-8.035299581978638,9.00213902063215,19.145394006659266,0.2895337959783415,27.068273092369477,41.66666666666667,79.16833266693322,0.0,1980.0,5235,-11.843276936776492,2024-06-30,2024-06-30
