quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score
2024Q2_PRE_ALIGNED,1940,9364.T,上組,倉庫・運輸関連業,0.4726345510130059,0.8216676810712142,-1.4867677668748192,6.580990418696453,13.799933971607793,0.09874274906086988,12.464346833998864,58.333333333333336,93.93252055571307,10.0,3313.0,6276,0.8216676810712142,2024-06-30,2024-06-30,13.7,13.7,25.3,13.7,13.7,medium,medium,low,low,low,"株伍指标
527
海正格
予想PER
（倍）
<25.3>
13.7
(26.3>
13.3
实PER
高值平均
14.1
安值平均
10.8
PBR
0-87
株倡(5/27)
2
3145m
最低購人额
24
6.6
31万4500F
9364
合",7601.png,0.25806451612903225,0.5668457562568008,0.40442773866891696,0.4548814980420895
2024Q2_PRE_ALIGNED,2497,6457.T,グローリー,機械,0.3673352919840407,-1.752234098475558,-1.3199577613516422,6.296227937040472,12.394474290099765,0.09792000554361169,17.894900497512435,41.66666666666667,86.74195544554455,0.0,2803.5,6273,-1.752234098475558,2024-06-30,2024-06-30,15.5,15.5,25.3,15.5,15.5,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
15.5
(26.3>
13.0
实PER
高值平均
15.2
安值平均
11.2
PBR
89-0
株幅(5/27)
3
2774m
最低購人额
24
14.1
27万7400P
6457
0
特",6211.png,0.43953488372093025,0.6314268226332971,0.3493134618374009,0.4545134232343645
2024Q2_PRE_ALIGNED,2866,8252.T,丸井グループ,小売業,0.3052716202912068,-5.752855659397715,-7.084357084357085,6.477467626972045,10.01517450682854,0.21575416806941072,15.54790590935169,25.0,86.33942161339422,0.0,2269.0,6535,-5.752855659397715,2024-06-30,2024-06-30,16.4,16.4,25.3,16.4,16.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
16.4
(26.3>
15.3
实PER
高值平均
23.9
安值平均
18.2
PBR
1.72
株倡(5/27)
7
2313.5m
最低購人额
24
9.9
23万13509
8252",7230.png,0.6003086419753086,0.6719668117519041,0.2823969598720881,0.4545023698489189
2024Q2_PRE_ALIGNED,2491,5928.T,アルメタックス,金属製品,0.36842886159904664,1.661129568106312,0.6578947368421018,2.7682264372010987,5.050505050505061,0.0035883795043033517,19.943019943019948,41.66666666666667,82.25806451612904,0.0,306.0,6454,1.661129568106312,2024-06-30,2024-06-30,17.9,17.9,25.3,17.9,17.9,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<25.3>
17.9
(26.3>
17.0
实PER
高值平均
26.0
安值平均
18.2
PBR
0-34
株佰（5/27)
8
309
最低購人额
21
0.9
3万900P
单办特
5928
金
独主色",5880.png,0.3953488372093023,0.6440900435255712,0.3753957606981857,0.45448559211062006
2024Q2_PRE_ALIGNED,2732,6333.T,帝国電機製作所,機械,0.3280569563189803,0.3183446080382124,-1.1760094080752626,8.970750413609391,17.216117216117222,0.052497665421370576,29.411764705882348,25.0,79.52681388012618,15.0,2521.0,5191,0.3183446080382124,2024-06-30,2024-06-30,14.2,14.2,25.3,14.2,14.2,medium,medium,low,low,low,"70
株伍指标
予想PER
（倍）
<25.3>
14.2
(26.3>
11.3
实PER
高值平均
15.7
安值平均
10.5
PBR
1.28
株幅(5/27)
2317A
最低購人额
24
9.9
23万17009
6333
概",6136.png,0.4906976744186046,0.6205862350380849,0.4025621904909952,0.4543659691101686
2024Q2_PRE_ALIGNED,1649,7774.T,ジャパン・ティッシュエンジニアリング,精密機器,0.5252344473806932,11.867088607594933,5.680119581464882,16.66767052679297,28.93481717011128,0.24953992846998818,29.63885429638854,50.0,87.17632552404439,50.0,707.0,4467,11.867088607594933,2024-06-30,2024-06-30,26.3,4.39,25.3,4.39,4.39,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
298.6
(26.3>
149.3
实PER
高值平均
196.3
安值平均
133.7
PBR
4.39
株倡(5/27)
657A
CIEG
最低購人额
24
2.4
6万5700P
7774
单于特
精
文佰",6948.png,0.19791666666666666,0.4114798694232862,0.5963397215251716,0.4541486951211387
2024Q2_PRE_ALIGNED,2546,2993.T,長栄,不動産業,0.36074381056013266,-2.1812893843916603,-9.506726457399106,6.1807672362269805,11.411706837186419,0.1783248665766709,13.007778738115816,50.0,86.1288945795988,0.0,2018.0,1027,-2.1812893843916603,2024-06-30,2024-06-30,8.3,8.3,25.3,8.3,8.3,medium,medium,low,low,low,"2343
株伍指标
予想PER
（倍）
<25.3>
8.3
(26.3>
0'8
实PER
高值平均
6.5
安值平均
5.3
PBR
68-0
株倡(5/27)
8
确
20829
最低購人额
21
12.7
20万8200F
2993
宋",4506.png,0.6953125,0.5628876496191513,0.2760165108480825,0.4539751973455323
2024Q2_PRE_ALIGNED,3298,6822.T,大井電気,電気機器,0.2306746463547334,-26.07802874743327,-4.4078597981943695,12.7703846094746,21.407624633431087,0.41121397455137987,31.498973305954824,33.33333333333333,73.92197125256673,0.0,1800.0,6535,-26.07802874743327,2024-06-30,2024-06-30,6.4,6.4,25.3,6.4,6.4,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<25.3>
6.4
(26.3>
4.5
实PER
高值平均
4.5
安值平均
3.0
PBR
0-36
1705
株倡(5/27)
6
万补
17629
CIB
最低購人额
24
13.3
17万62009
6822",6420.png,0.9671052631578947,0.5875136017410229,0.2624494792476294,0.45391018964713203
2024Q2_PRE_ALIGNED,1548,7265.T,エイケン工業,輸送用機器,0.5421166278045496,12.779446112779436,4.968944099378891,6.265246475129094,9.84126984126985,0.07242611332710847,36.69609079445145,58.333333333333336,84.8180677540778,90.0,3380.0,6535,12.779446112779436,2024-06-30,2024-06-30,17.5,17.5,24.1,17.5,17.5,medium,medium,low,low,low,"株伍指标
布正格
（倍）
予想PER
<24.10>
17.5
<25.10>
15.5
实PER
高值平均
17.5
安值平均
10.5
PBR
0-60
2#
株倡(5/27)
3345P
最低購人额
24
33万4500P
7265
输
好",6676.png,0.22093023255813954,0.37164717083786725,0.6002984777153517,0.45359200058478233
2024Q2_PRE_ALIGNED,2029,2160.T,ジーエヌアイグループ,医薬品,0.45691483496554225,47.87765293383271,-23.33333333333333,21.642391241900082,35.221465076661,0.40263341475412007,45.17739816031538,33.33333333333333,61.29366106080207,0.0,2369.0,4545,47.87765293383271,2024-06-30,2024-06-30,24.12,14.8,24.12,14.8,14.8,medium,medium,low,low,low,"株伍指标
海正校
予想PER
（倍）
(24.12>
14.8
(25.12>
8.7
实PER
高值平均
126.6
安值平均
58.4
PBR
3-01
株倡(5/27)
2086m
最低購人额
24
20万8600F
2160
医",4192.png,0.49324324324324326,0.4269382480957562,0.4592663609513447,0.4535695743302761
2024Q2_PRE_ALIGNED,2580,8928.T,穴吹興産,不動産業,0.3565965283175294,-8.716392020815267,-3.661327231121281,4.840284415890972,7.265774378585088,0.13311950919748738,16.7965367965368,41.66666666666667,90.65460809646856,30.0,2105.0,5372,-8.716392020815267,2024-06-30,2024-06-30,5.7,5.7,24.6,5.7,5.7,medium,medium,low,low,low,"株伍指标
布正校
（倍）
予想PER
<24.6>
5.7
<25.6>
6.2
实PER
高值平均
6.7
安值平均
4.9
PBR
0-58
株福(5/27)
2
2226
最低購人额
24
22万26009
8928
宋",7403.png,0.91015625,0.4078754080522307,0.35012402011947324,0.45317961722665123
2024Q2_PRE_ALIGNED,1431,9537.T,北陸瓦斯,電気・ガス業,0.5667574900253899,13.492063492063489,4.0756914119359555,6.956499817308775,9.806835066864794,0.23565670125588978,14.694408322496743,58.333333333333336,90.96692111959288,0.0,3575.0,6276,13.492063492063489,2024-06-30,2024-06-30,68.0,5.0,30.0,5.0,5.0,medium,medium,low,low,low,"株伍指标
30
予想PER
（倍）
<25.3>
0'68
(26.3>
53.5
实PER
高值平均
25.6
安值平均
22.1
PBR
0-35
株倡(5/27)
JH
3455P
最低購人额
24
3.7
34万5500P9
9537",7679.png,0.034482758620689655,0.4891322089227421,0.5172180164775376,0.4531389750764288
2024Q2_PRE_ALIGNED,1595,2338.T,クオンタムソリューションズ,情報・通信業,0.533900585522566,92.91338582677164,-0.8097165991902799,27.14801720936967,39.99999999999999,0.05986289834398495,68.17391304347827,41.66666666666667,42.0000014648438,15.0,490.0,5785,92.91338582677164,2024-06-30,2024-06-30,25.2,5.0,25.2,5.0,5.0,medium,medium,low,low,low,"株伍指标
布正校
予想PER
（倍）
<25.2>
<26.2>
实PER
高宿平均
安值平均
PBR
株倡(5/27)
2
456m
最低購人额
24
4万5600F
与速店特
2338
情",4266.png,0.27336860670194,0.32589091403699677,0.642891696831072,0.45307752144818764
2024Q2_PRE_ALIGNED,2189,9021.T,西日本旅客鉄道,陸運業,0.4252621793875331,-0.860642171466397,-4.526617787695253,6.865900832778754,12.012644889357226,0.09324148422125544,17.168811506434523,58.333333333333336,90.02103997595431,10.0,2995.0,6535,-0.860642171466397,2024-06-30,2024-06-30,15.8,15.8,25.3,15.8,15.8,medium,medium,low,low,low,"株伍指标
G正R
予想PER
（倍）
<25.3>
15.8
(26.3>
14.6
实PER
高值平均
16.4
安值平均
13.5
PBR
1.43
株倡(5/27)
10
百万补
32389
最低購人额
21
9.2
32万3800F
9021",7427.png,0.3333333333333333,0.6110106093579978,0.3599770047300749,0.45278017243676577
2024Q2_PRE_ALIGNED,1225,3175.T,エー・ピーホールディングス,小売業,0.605038530493808,25.032765399737865,-1.5479876160990669,3.4248805635121338,6.9945355191256775,0.24873585983852442,18.464528668610303,58.333333333333336,90.5123339658444,15.0,954.0,3308,25.032765399737865,2024-06-30,2024-06-30,59.3,5.0,25.3,5.0,5.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
59.3
(26.3>
26.3
实PER
高值平均
176.8
安值平均
131.8
PBR
130-50
株佰(5/27)
3
937A
最低購人额
24
A664
9万3700P
3175",4611.png,0.07716049382716049,0.39615750816104456,0.5571530501210277,0.45277312181238105
