image_file,image_no,ocr_metrics_text,code,ticker,company_name,sector,resolved
308.png,308,"株伍招桶
于PER
(倍)
20.12>
40.4
<21.12>
23.9
实精PER
商宿平均
27.1
安宿平均
18.9
PBR
1.01
10
株佰（2/27）
万体
1411月
最低嘴大额
14万1100月
2266
单亏特",2266.0,2266.T,六甲バター,食料品,True
3080.png,3080,"株仙指标
1579格正餐
予想PER
（倍）
<20.3>
66.5
<21.3>
55.5
实镇PER
高值平均
526.4
安值平均
432.9
PBR
4.97
株仙(2/27)
十万株
1349月
信用线
最低購人额
13万4900用
连特
7421
小壳
单統
結之色",7421.0,7421.T,カッパ・クリエイト,小売業,True
3081.png,3081,"株仙指标
作正径
予想PER
（倍）
<20.12>
80.9
<21.12>
实镇PER
高值平均
34.0
安值平均
30.1
PBR
0.31
株仙(2/27)
3095.3
千性
3180月
自用成
最低購人额
31万8000月
单=特
7422
【卸壳
赤
独力色",7422.0,7422.T,東邦レマック,卸売業,True
3082.png,3082,"株仙指标
作正径
予想PER
（倍）
<20.12>
7.3
<21.12>
6.5
实镇PER
高值平均
15.5
安值平均
8.9
PBR
0.44
株仙(2/27)
万株
3495月
信用成
最低購人额
34万9500月
了连特
7425
【卸壳
0結裂色",7425.0,7425.T,初穂商事,卸売業,True
3083.png,3083,"作正径
株仙指标
予想PER
（倍）
<20.3>
<21.3>
22.0
实镇PER
高值平均
7.1
安值平均
4.9
PBR
0.24
株仙(2/27)
万株
792月
信用线
最低購人额
7万9200月
单城特
7426
【卸壳
独鼎",7426.0,7426.T,山大,卸売業,True
3088.png,3088,"株仙指标
2681
予想PER
（倍）
<20.5>
7.5
<21.5>
21.3
实镇PER
高值平均
21.4
安值平均
18.9
PBR
0.54
1471
株仙(2/27)
7
千株
1607月
信用成
最低購人额
16万700月
13单特
7434
【卸壳
费",7434.0,7434.T,オータケ,卸売業,True
309.png,309,"株伍招桶
于PER
(倍)
20.3>
21.1
<21.3>
22.7
实精PER
商宿平均
41.5
安宿平均
28.6
PBR
2.23
株佰（2/27）
3
5140F
最低購大额
51万4000用
2267
外建固特
量後
精女色
)",2267.0,2267.T,ヤクルト本社,食料品,True
3091.png,3091,"株仙指标
作正径
予想PER
（倍）
<20.3>
10.5
<21.3>
10.1
实镇PER
高值平均
11.5
安值平均
8.3
PBR
1.03
株仙(2/27)
十万株
1084月
最低購人额
10万8400月
资速手特
7438
【卸壳
最
材結",7438.0,7438.T,コンドーテック,卸売業,True
3092.png,3092,"株仙指标
予想PER
（倍）
<20.3>
14.8
<21.3>
13.1
实颖PER
高值平均
19.3
安值平均
16.1
PBR
0.65
株仙(2/27)
1850月
最低購人额
19
18万5000月
.0
电
速豹特
7441
【卸壳
2
反
結店色",1850.0,1850.T,南海辰村建設,建設業,True
3093.png,3093,"株仙指标
予想PER
（倍）
<20.3>
60.1
<21.3>
35.5
实镇PER
高值平均
30.6
安值平均
22.8
PBR
0.46
株仙(2/27)
万株
487月
信用成
最低購人额
4万8700月
服
7442
15速升特
[卸声",7442.0,7442.T,中山福,卸売業,True
3097.png,3097,"株仙指标
予想PER
（倍）
<20.3>
7.0
<21.3>
6.8
实镇PER
高值平均
11.4
安值平均
5.8
PBR
0.46
株仙(2/27)
万株
1578月
信用成
最低購人额
15万7800用
速流特
7444
【卸壳
横
精受
色",7444.0,7444.T,ハリマ共和物産,卸売業,True
3099.png,3099,"株仙指标
作正径
予想PER
（倍）
<20.9>
13.6
<21.9>
13.0
实镇PER
高值平均
18.2
安值平均
12.6
PBR
0.56
株仙(2/27)
2
万株
3200月
信用线
最低購人额
32万月
連添特
7446
【卸壳
9
結加色",7446.0,7446.T,東北化学薬品,卸売業,True
31.png,31,"GI0)
株伍招桶
JUPER
(倍)
20.6>
17.2
<21.6>
14.5
实精PER
商宿平均
10.3
安宿平均
5.0
PBR
4.05
株佰（2/27）
+万R
1529A9
CUR
最低購大额
15万2900用
1431
5
)",1431.0,1431.T,Ｌｉｂ Ｗｏｒｋ,建設業,True
310.png,310,"株伍招桶
于PER
(倍)
20.12>
92.9
<21.12>
84.6
实精PER
高值平均
127.5
安宿平均
121.0
PBR
3.98
株佰（2/27）
3950F
最低購大额
39万5000用
店八单装特
2268
横
新独界色",2268.0,2268.T,Ｂ－Ｒ サーティワン アイスクリーム,食料品,True
3101.png,3101,"株仙指标
作正径
予想PER
（倍）
<20.8>
20.8
<21.8>
20.5
实镇PER
高值平均
27.2
安值平均
19.9
PBR
2.02
株仙(2/27)
十万株
2283月
信用成
最低購人额
22万8300用
連特
7447
【卸壳
秸工色",7447.0,7447.T,ナガイレーベン,卸売業,True
3103.png,3103,"株仙指标
予想PER
（倍）
<20.3>
48.0
<21.3>
26.1
实镇PER
高值平均
695.7
安值平均
195.0
PBR
0.94
株仙(2/27)
7
十万株
235月
信用成
最低購人额
2万3500月
单心特
7448
小壳
利復
独部色",,,,,False
3104.png,3104,"株仙指标
予想PER
（倍）
<20.2>
80.6
<21.2>
73.2
实镇PER
高值平均
229.6
安值平均
137.8
PBR
1.52
株仙(2/27)
万株
1500月
仁用成
最低購人额
15万月
1单束特
7450
小壳
用独北色",7450.0,7450.T,サンデー,小売業,True
3105.png,3105,"株仙指标
予想PER
（倍）
<20.3>
14.2
<21.3>
14.0
实辕PER
高值平均
17.3
安值平均
13.1
PBR
0.86
株仙(2/27)
7
万株
2735月
仁用成
最低購人额
27万3500用
7451
18速轿特
[卸壳
发
精合色",2735.0,2735.T,ワッツ,小売業,True
3106.png,3106,"株仙指标
作正径
予想PER
（倍）
<20.2>
16.1
<20.8>
实镇PER
高值平均
30.6
安值平均
18.5
PBR
2.04
株仙(2/27)
3
自万林
1542F
信用成
最低購人额
15万4200用
海速衣特
7453
小壳
铺停
外結料色",7453.0,7453.T,良品計画,小売業,True
3107.png,3107,"株仙指标
予想PER
（倍）
<20.3>
<21.3>
实镇PER
高值平均
安值平均
PBR
0.46
株仙(2/27)
255.3
十万株
275月
信用成
最低購人额
2万7500月
速叶特
7455
小壳
费
夕結金色",7455.0,7455.T,パリミキホールディングス,小売業,True
311.png,311,"株伍招桶
于PER
(倍)
20.3>
14.2
<21.3>
14.1
实精PER
商宿平均
24.4
安宿平均
18.2
PBR
1.72
株佰（2/27）
+6
6620P
最低購大额
66万2000用
2269
色",2269.0,2269.T,明治ホールディングス,食料品,True
3110.png,3110,"株仙指标
予想PER
（倍）
<20.3>
19.3
<21.3>
19.1
实镇PER
高值平均
24.4
安值平均
18.9
PBR
1.88
株仙(2/27)
2
十万株
4495月
最低購人额
44万9500用
店速营特
7458
【卸声
圭着
鋪結飞色",7458.0,7458.T,第一興商,卸売業,True
3111.png,3111,"株仙指标
予想PER
（倍）
<20.3>
10.9
<21.3>
10.8
实镇PER
高值平均
16.0
安值平均
12.0
PBR
0.85
株仙(2/27)
十万性
2018月
信用线
最低購人额
20万1800月
7459
加用速货特
【卸声
品横
工品精卸色",7459.0,7459.T,メディパルホールディングス,卸売業,True
3113.png,3113,"株仙指标
予想PER
（倍）
<20.3>
6.4
<21.3>
7.1
实镇PER
高值平均
12.3
安值平均
7.3
PBR
0.38
株仙(2/27)
2
1632月
十万林
信用线
最低購人额
16万3200月
7460
68速营特
[卸壳
增
精色",7460.0,7460.T,ヤギ,卸売業,True
3115.png,3115,"株仙指标
予想PER
（倍）
<20.3>
7.7
<21.3>
7.4
实镇PER
高值平均
14.3
安值平均
10.0
PBR
0.59
株仙(2/27)
万株
450用
信用成
最低購人额
4万5000月
秀
7461
足速道特
【卸壳
增
場結地色",7461.0,7461.T,キムラ,卸売業,True
3116.png,3116,"株仙指标
作正径
予想PER
（倍）
<20.3>
34.4
<21.3>
30.6
实辕PER
高值平均
227.6
安值平均
142.5
PBR
0.99
株仙(2/27)
十万株
1910月
信用成
最低購人额
19万1000月
单七特
7462
小壳
48
西增
独",7462.0,7462.T,ＣＡＰＩＴＡ,小売業,True
3123.png,3123,"株仙指标
予想PER
（倍）
<20.3>
7.7
<21.3>
7.6
实辕PER
高值平均
10.7
安值平均
7.0
PBR
0.65
株仙(2/27)
2
十万株
2370月
仁用线
最低購人额
23万7000用
連社特
7467
【卸壳
籍",7467.0,7467.T,萩原電気ホールディングス,卸売業,True
3124.png,3124,"株仙指标
予想PER
（倍）
<20.3>
12.0
<21.3>
11.3
实镇PER
高值平均
12.0
安值平均
8.4
PBR
0.71
株仙(2/27)
2865月
万株
仁用线
最低購人额
28万6500用
海速老特
7472
【卸声
尊小
外結报色",7472.0,7472.T,鳥羽洋行,卸売業,True
3125.png,3125,"株仙指标
作正径
予想PER
（倍）
<20.3>
19.3
<21.3>
12.4
实镇PER
高值平均
17.0
安值平均
8.9
PBR
0.65
株仙(2/27)
3
十万株
1990月
信用线
最低購人额
19万9000月
連菱特
7475
小壳
底
精商色",7475.0,7475.T,アルビス,小売業,True
3126.png,3126,"株仙指标
0520
予想PER
（倍）
<20.3>
26.4
<21.3>
25.5
实镇PER
高值平均
29.0
安值平均
19.9
PBR
2.83
株仙(2/27)
2
十万性
8480用
仁用线
最低購人额
84万8000月
速书特
7476
【卸声",7476.0,7476.T,アズワン,卸売業,True
3130.png,3130,"株仙指标
予想PER
（倍）
<20.3>
18.3
<21.3>
21.6
实镇PER
高值平均
25.9
安值平均
17.9
PBR
0.90
株仙(2/27)
2
万株
1315月
信用成
最低購人额
13万1500月
7481
類单仁特
[卸壳
着
1独強色",7481.0,7481.T,尾家産業,卸売業,True
3131.png,3131,"300
株仙指标
予想PER
（倍）
<20.3>
40.0
<21.3>
34.3
实辕PER
高值平均
35.8
安值平均
28.2
PBR
0.73
株仙(2/27)
十万株
tHint
1033月
信用线
最低購人额
10万3300月
店速特
7482
【卸壳
品復",7482.0,7482.T,シモジマ,卸売業,True
3134.png,3134,"株仙指标
作正径
予想PER
（倍）
<20.2>
5.7
<21.2>
5.4
实辕PER
高值平均
7.6
安值平均
4.9
PBR
0.42
株仙(2/27)
7
千样
9450月
信用成
最低購人额
94万5000用
32速财特
7485
【卸声
精界色",9450.0,9450.T,ファイバーゲート,情報・通信業,True
3136.png,3136,"株仙指标
予想PER
（倍）
<20.5>
36.7
<21.5>
60.0
实镇PER
高值平均
38.9
安值平均
30.8
PBR
0.89
株仙(2/27)
1579F
最低購人额
15万7900用
7487
他速織特
【卸壳
後
0結布色",7487.0,7487.T,小津産業,卸売業,True
3137.png,3137,"株仙指标
予想PER
（倍）
<20.4>
14.4
<21.4>
13.3
实镇PER
高值平均
14.6
安值平均
8.4
PBR
0.88
株仙(2/21)
千样
1807月
信用线
最低購人额
18万700月
发
連商特
7488
【卸壳
精社色",1807.0,1807.T,佐藤渡辺,建設業,True
3144.png,3144,"株仙指标
予想PER
（倍）
<20.3>
10.3
<21.3>
9.6
实镇PER
高值平均
11.9
安值平均
8.1
PBR
0.77
株仙(2/27)
8
1124F
万性
名用成
最低購人额
11万2400月
製製連向特
7504
【卸壳
品品精汁色
吕",7504.0,7504.T,高速,卸売業,True
