Date,Adj Close,Close,High,Low,Open,Volume,close,ret1,ret5,ret20,ret60,dd20,range20,vol10,vol20,ma20,ma60,ma20_slope_5,ma_gap_20_60,prior_surge_10d,prior_crash_10d,phase
2024-11-15,38642.91015625,38642.91015625,39101.640625,38642.91015625,38749.55859375,143900000,38642.91015625,0.0027821199478283987,-0.021707667896711857,-0.006894706646194071,0.0335473474497745,-0.022523029920369808,0.04271250130332227,0.014241873986166406,0.011794678661559681,38803.946875,38291.274739583336,-0.0027999130228977265,0.013388745579856476,False,False,normal
2024-11-18,38220.8515625,38220.8515625,38548.30078125,38150.390625,38259.58984375,106000000,38220.8515625,-0.010922018865645367,-0.033199051828313286,-0.01951935040114927,0.004149174044458359,-0.033199051828313286,0.04271250130332227,0.0118398983996599,0.01201740117825668,38765.901953125,38293.906901041664,-0.003972689375164373,0.012325591465583763,False,False,normal
2024-11-19,38414.4296875,38414.4296875,38560.1015625,38246.359375,38396.71875,109200000,38414.4296875,0.005064725590518515,-0.024422439101139948,-0.013866702605938142,0.012189906584842758,-0.028302470325170748,0.04271250130332227,0.011388025857969358,0.012091773041793858,38738.893359375,38301.6173828125,-0.004372819452053145,0.01141664520827046,False,False,normal
2024-11-20,38352.33984375,38352.33984375,38520.44921875,38180.1484375,38475.69921875,103500000,38352.33984375,-0.0016163156463625539,-0.009537822268201213,-0.001552149182048046,0.003698622952991615,-0.02987304024591597,0.04271250130332227,0.006698948275163156,0.011685508549806751,38735.9123046875,38303.9728515625,-0.002926123749714127,0.011276622787899093,False,False,stable
2024-11-21,38026.171875,38026.171875,38374.69140625,37945.2109375,38352.87109375,101900000,38026.171875,-0.00850451289488019,-0.013222216128936481,-0.0020650253351053305,-0.00881282663220262,-0.03812349748481547,0.04271250130332227,0.0069270442794469485,0.011704368545470835,38731.9779296875,38298.337890625,-0.002199608776855766,0.011322685603247784,False,False,stable
2024-11-22,38283.8515625,38283.8515625,38420.62890625,38085.12890625,38146.98046875,103300000,38283.8515625,0.00677637728949021,-0.009291706869337002,0.003685117446732944,0.00455606968931388,-0.0316054593978774,0.04271250130332227,0.007403709106287908,0.011802170119235641,38739.0060546875,38301.231770833336,-0.0016735622415341433,0.011429770365441128,False,False,stable
2024-11-25,38780.140625,38780.140625,39053.640625,38672.171875,38679.9296875,192400000,38780.140625,0.01296340473188251,0.014633087428348679,0.022846983565980583,0.012837222057344722,-0.019051769027906618,0.03963450337452623,0.00895136012704719,0.0120326868025912,38782.3169921875,38309.42376302083,0.00042344014289530385,0.012344044433869605,False,False,stable
2024-11-26,38442.0,38442.0,38596.76171875,38020.078125,38596.76171875,122800000,38442.0,-0.008719427509811917,0.0007177071929553858,-0.004235953882903765,0.0018304679822840342,-0.027605076018746066,0.03963450337452623,0.009196735029514555,0.011522296572590688,38774.1404296875,38310.594401041664,0.00090986260205006,0.012099682500181341,False,False,stable
2024-11-27,38134.96875,38134.96875,38332.44921875,37988.98828125,38327.859375,120500000,38134.96875,-0.007986869829873622,-0.005667740081454875,-0.019759337514466346,-0.005931894809469873,-0.03537146769981414,0.03963450337452623,0.008042096646655452,0.011492844560604254,38735.7048828125,38306.80169270833,-5.35476932550516e-06,0.011196528322692245,False,False,stable
2024-11-28,38349.05859375,38349.05859375,38478.3203125,37801.62109375,37935.94140625,103400000,38349.05859375,0.005614003387638844,0.00849117076026995,-0.023635277610807415,-0.007728558745334513,-0.029956039851667837,0.03963450337452623,0.008238508104621992,0.011333708248121875,38689.28828125,38301.823502604166,-0.0011021809553591888,0.010116092217371753,False,False,stable
2024-11-29,38208.03125,38208.03125,38270.05859375,37986.96875,38205.078125,102300000,38208.03125,-0.003677465599455032,-0.0019804776532533763,-0.02234367503598278,-0.012734593042004971,-0.03352334314507244,0.03963450337452623,0.008209694652572501,0.011313921458703477,38645.62734375,38293.60950520833,-0.002410457067630545,0.009192600099340087,False,False,stable
2024-12-02,38513.01953125,38513.01953125,38552.41015625,37958.55078125,38216.94921875,110500000,38513.01953125,0.007982308202545862,-0.006888089868807734,0.012071046856105827,-0.004479338267182054,-0.02580862859949029,0.03963450337452623,0.007866252168699815,0.009784429490743173,38668.5947265625,38290.721354166664,-0.0029323226265184354,0.009868536267591654,False,False,stable
2024-12-03,39248.859375,39248.859375,39427.37109375,38746.05078125,38748.6484375,142200000,39248.859375,0.019106262056469703,0.020989006165131885,0.020115996894891186,0.05941678929181915,-0.007195472964360516,0.03963450337452623,0.00974341717699943,0.010381874372537013,38707.2927734375,38327.408854166664,-0.0017240267742677506,0.009911547131095322,False,False,normal
