phase,start,end,days,start_close,end_close,return_pct,ret5_min_pct,ret5_max_pct,dd20_min_pct,vol10_mean_pct
surge,2024-10-11,2024-10-11,1,39605.8,39605.8,0.0,2.51,2.51,-0.56,2.13
normal,2024-10-15,2024-10-17,3,39910.55,38911.19,-2.5,-0.93,1.47,-2.5,1.31
uptrend,2024-10-18,2024-10-21,2,38981.75,38954.6,-0.07,-1.64,-1.01,-2.4,1.04
normal,2024-10-22,2024-10-23,2,38411.96,38104.86,-0.8,-3.75,-2.74,-4.52,0.94
stable,2024-10-24,2024-10-25,2,38143.29,37913.92,-0.6,-2.74,-1.97,-5.0,0.85
normal,2024-10-28,2024-10-29,2,38605.53,38903.68,0.77,-0.9,1.28,-3.27,1.06
stable,2024-10-30,2024-10-30,1,39277.39,39277.39,0.0,3.08,3.08,-1.59,0.96
uptrend,2024-10-31,2024-10-31,1,39081.25,39081.25,0.0,2.46,2.46,-2.08,0.95
normal,2024-11-01,2024-11-19,12,38053.67,38414.43,0.95,-3.32,3.89,-4.65,1.37
stable,2024-11-20,2024-12-02,9,38352.34,38513.02,0.42,-1.32,1.46,-3.81,0.79
normal,2024-12-03,2024-12-03,1,39248.86,39248.86,0.0,2.1,2.1,-0.72,0.97
stable,2024-12-04,2024-12-11,6,39276.39,39372.23,0.24,0.24,2.99,-1.12,0.87
uptrend,2024-12-12,2024-12-12,1,39849.14,39849.14,0.0,1.15,1.15,0.0,0.77
stable,2024-12-13,2024-12-13,1,39470.44,39470.44,0.0,0.97,0.97,-0.95,0.86
uptrend,2024-12-16,2024-12-16,1,39457.49,39457.49,0.0,0.76,0.76,-0.98,0.84
stable,2024-12-17,2024-12-25,7,39364.68,39130.43,-0.6,-2.6,0.12,-2.88,0.69
uptrend,2024-12-26,2024-12-30,3,39568.06,39894.54,0.83,1.87,4.08,-0.96,0.85
normal,2025-01-06,2025-01-23,13,39307.05,39958.87,1.66,-4.09,3.59,-4.56,1.18
uptrend,2025-01-24,2025-01-24,1,39931.98,39931.98,0.0,3.85,3.85,-0.87,1.01
normal,2025-01-27,2025-01-27,1,39565.8,39565.8,0.0,1.71,1.71,-1.78,1.0
stable,2025-01-28,2025-01-31,4,39016.87,39572.49,1.42,-1.11,-0.03,-3.14,0.93
normal,2025-02-03,2025-02-17,10,38520.09,39174.25,1.7,-2.64,1.62,-3.9,1.14
stable,2025-02-18,2025-02-21,4,39270.4,38776.94,-1.26,-1.99,1.21,-3.21,0.67
downtrend,2025-02-25,2025-02-26,2,38237.79,38142.37,-0.25,-2.87,-2.39,-3.61,0.81
stable,2025-02-27,2025-02-27,1,38256.17,38256.17,0.0,-2.32,-2.32,-3.33,0.8
downtrend,2025-02-28,2025-02-28,1,37155.5,37155.5,0.0,-3.94,-3.94,-6.11,1.01
normal,2025-03-03,2025-03-06,4,37785.47,37704.93,-0.21,-2.56,-1.44,-5.4,1.27
high_vol,2025-03-07,2025-03-12,4,36887.17,36819.09,-0.18,-2.0,-0.72,-6.76,1.4
normal,2025-03-13,2025-03-13,1,36790.03,36790.03,0.0,-2.43,-2.43,-6.77,1.38
downtrend,2025-03-14,2025-03-19,4,37053.1,37751.88,1.89,0.45,2.86,-5.65,1.01
normal,2025-03-21,2025-03-21,1,37677.06,37677.06,0.0,2.41,2.41,-2.84,0.95
stable,2025-03-24,2025-03-28,5,37608.49,37120.33,-1.3,-1.48,1.5,-3.01,0.64
crash,2025-03-31,2025-04-11,10,35617.56,33585.58,-5.7,-12.58,-0.37,-18.12,2.76
capitulation_end,2025-04-14,2025-04-14,1,33982.36,33982.36,0.0,9.14,9.14,-10.64,4.95
crash,2025-04-15,2025-04-15,1,34267.54,34267.54,0.0,3.8,3.8,-9.89,4.96
capitulation_end,2025-04-16,2025-04-16,1,33920.4,33920.4,0.0,6.96,6.96,-10.8,4.96
crash,2025-04-17,2025-04-22,4,34377.6,34220.6,-0.46,-0.67,3.41,-10.01,4.31
high_vol,2025-04-23,2025-04-24,2,34868.63,35039.15,0.49,1.92,2.8,-7.75,2.36
settling,2025-04-25,2025-04-25,1,35705.74,35705.74,0.0,2.81,2.81,-0.06,1.12
normal,2025-04-28,2025-05-19,13,35839.99,37498.63,4.63,-0.39,5.33,-1.79,0.84
uptrend,2025-05-20,2025-05-30,9,37529.49,37965.1,1.16,-2.17,3.91,-3.14,0.8
normal,2025-06-02,2025-06-11,8,37470.67,38421.19,2.54,-2.29,2.04,-2.57,1.0
stable,2025-06-12,2025-06-17,4,38173.09,38536.74,0.95,0.25,1.65,-1.56,0.76
uptrend,2025-06-18,2025-06-20,3,38885.15,38403.23,-1.24,0.83,1.5,-1.24,0.79
stable,2025-06-23,2025-06-24,2,38354.09,38790.56,1.14,0.11,0.66,-1.37,0.81
uptrend,2025-06-25,2025-06-25,1,38942.07,38942.07,0.0,0.15,0.15,0.0,0.84
stable,2025-06-26,2025-06-26,1,39584.58,39584.58,0.0,2.85,2.85,0.0,0.91
uptrend,2025-06-27,2025-07-01,3,40150.79,39986.33,-0.41,3.08,5.56,-1.24,0.89
settling,2025-07-02,2025-07-02,1,39762.48,39762.48,0.0,2.11,2.11,-1.79,1.02
uptrend,2025-07-03,2025-07-11,7,39785.9,39569.68,-0.54,-2.22,0.51,-2.27,0.85
stable,2025-07-14,2025-07-16,3,39459.62,39663.4,0.52,-0.4,-0.03,-2.54,0.4
uptrend,2025-07-17,2025-07-23,4,39901.19,41171.32,3.18,0.63,3.76,-1.76,0.58
normal,2025-07-24,2025-07-28,3,41826.34,40998.27,-1.98,2.96,5.45,-1.98,1.28
high_vol,2025-07-29,2025-08-05,6,40674.55,40549.54,-0.31,-1.81,2.26,-3.67,1.44
settling,2025-08-06,2025-08-06,1,40794.86,40794.86,0.0,0.34,0.34,-2.47,0.99
uptrend,2025-08-07,2025-08-13,4,41059.15,43274.67,5.4,-0.03,6.72,-1.83,1.01
normal,2025-08-14,2025-08-14,1,42649.26,42649.26,0.0,4.55,4.55,-1.45,1.23
overheated_range,2025-08-15,2025-08-18,2,43378.31,43714.31,0.77,4.53,5.65,0.0,1.25
settling,2025-08-19,2025-08-19,1,43546.29,43546.29,0.0,1.94,1.94,-0.38,1.08
normal,2025-08-20,2025-08-25,4,42888.55,42807.82,-0.19,-2.07,-0.09,-2.53,1.32
settling,2025-08-26,2025-08-27,2,42394.4,42520.27,0.3,-2.65,-0.86,-3.02,1.07
uptrend,2025-08-28,2025-09-08,8,42828.79,43643.81,1.9,-1.45,3.45,-4.06,0.83
stable,2025-09-09,2025-09-09,1,43459.29,43459.29,0.0,2.72,2.72,-0.58,0.95
normal,2025-09-10,2025-09-10,1,43837.67,43837.67,0.0,4.53,4.53,0.0,0.97
uptrend,2025-09-11,2025-09-12,2,44372.5,44768.12,0.89,4.07,4.21,0.0,1.0
stable,2025-09-16,2025-09-17,2,44902.27,44790.38,-0.25,2.88,3.06,-0.25,0.82
uptrend,2025-09-18,2025-10-03,11,45303.43,45769.5,1.03,-2.37,3.34,-2.63,0.73
surge,2025-10-06,2025-10-10,5,47944.76,48088.8,0.3,5.07,8.11,-1.01,1.74
high_vol,2025-10-14,2025-10-20,5,46847.32,49185.5,4.99,-2.29,2.28,-3.57,2.09
surge,2025-10-21,2025-10-21,1,49316.06,49316.06,0.0,5.27,5.27,0.0,1.78
high_vol,2025-10-22,2025-10-24,3,49307.79,49299.65,-0.02,0.75,3.61,-1.37,1.81
surge,2025-10-27,2025-11-04,6,50512.32,51497.2,1.95,1.83,6.31,-1.74,1.63
high_vol,2025-11-05,2025-11-14,8,50212.27,50376.53,0.33,-2.86,1.69,-4.2,1.67
normal,2025-11-17,2025-11-17,1,50323.91,50323.91,0.0,-1.15,-1.15,-3.98,1.33
high_vol,2025-11-18,2025-12-02,10,48702.98,49303.45,1.23,-4.95,3.36,-7.39,1.73
normal,2025-12-03,2025-12-17,11,49864.68,49512.28,-0.71,-2.51,2.74,-3.22,1.33
stable,2025-12-18,2025-12-18,1,49001.5,49001.5,0.0,-2.29,-2.29,-3.97,0.92
normal,2025-12-19,2025-12-29,7,49507.21,50526.92,2.06,-2.61,2.87,-2.98,1.1
stable,2025-12-30,2025-12-30,1,50339.48,50339.48,0.0,-0.15,-0.15,-1.35,0.81
normal,2026-01-05,2026-01-15,8,51832.8,54110.5,4.39,1.17,4.19,-2.67,1.38
surge,2026-01-16,2026-01-16,1,53936.17,53936.17,0.0,5.51,5.51,-0.75,1.66
high_vol,2026-01-19,2026-01-22,4,53583.57,53688.89,0.2,-2.88,3.16,-2.88,1.56
normal,2026-01-23,2026-01-23,1,53846.87,53846.87,0.0,-0.17,-0.17,-0.91,1.36
high_vol,2026-01-26,2026-01-26,1,52885.25,52885.25,0.0,-1.3,-1.3,-2.68,1.48
settling,2026-01-27,2026-01-29,3,53333.54,53375.6,0.08,-0.58,1.11,-1.85,1.03
uptrend,2026-01-30,2026-02-02,2,53322.85,52655.18,-1.25,-0.97,-0.44,-3.1,1.01
normal,2026-02-03,2026-02-06,4,54720.66,54253.68,-0.85,0.83,2.6,-1.65,1.6
surge,2026-02-09,2026-02-13,4,56363.94,56941.97,1.03,5.35,7.04,-1.23,1.92
high_vol,2026-02-16,2026-02-24,6,56806.41,57321.09,0.91,-0.88,4.71,-1.88,1.71
normal,2026-02-25,2026-02-25,1,58583.12,58583.12,0.0,3.57,3.57,0.0,1.23
settling,2026-02-26,2026-02-27,2,58753.39,58850.27,0.16,2.41,2.82,0.0,1.03
uptrend,2026-03-02,2026-03-02,1,58057.24,58057.24,0.0,2.17,2.17,-1.35,1.05
high_vol,2026-03-03,2026-03-03,1,56279.05,56279.05,0.0,-1.82,-1.82,-4.37,1.48
crash,2026-03-04,2026-03-09,4,54245.54,52728.72,-2.8,-9.18,-5.49,-10.4,2.06
high_vol,2026-03-10,2026-03-12,3,54248.39,54452.96,0.38,-3.61,1.44,-7.82,2.65
crash,2026-03-13,2026-03-16,2,53819.61,53751.15,-0.13,-3.24,1.94,-8.66,2.6
