name,trend_r2_min,annual_min,quarter_min,pmr_min,persist_min,dd_max,avg_range_max,end_high_min,sector_min,per_max,sort_col,sort_asc,top_n,entry,tp,sl,final_capital,ret_pct,num_buys,num_sells,max_dd_pct,selected_count
sector_adjusted_per_score_top10,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,10,0.5,4,3,3639065.000000001,21.30216666666669,8,8,-3.9437102798846047,10
sector_adjusted_per_score_top10,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,10,0.5,3,3,3632665.000000001,21.088833333333355,8,8,-3.9518326945931603,10
sector_adjusted_per_score_top12,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,12,0.5,3,3,3627702.000000001,20.923400000000036,10,10,-3.2910794221202133,12
sector_adjusted_per_score_top12,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,12,0.5,4,3,3599402.000000001,19.980066666666694,10,10,-4.308980836869569,12
sector_adjusted_per_score_top12,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,12,0.5,5,4,3584102.000000001,19.470066666666707,10,10,-5.323812290549168,12
sector_adjusted_per_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,30,1.0,5,4,3580179.3333740234,19.33931111246745,15,15,-7.362988672078252,30
sector_adjusted_per_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,30,1.5,5,4,3500285.000000002,16.676166666666738,12,12,-7.053597115473076,30
sector_adjusted_per_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,30,1.0,3,3,3484813.670776367,16.160455692545582,15,15,-1.9339544697349442,30
overall_score_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,20,1.0,5,4,3413450.1647338863,13.781672157796198,12,12,-2.280233339175164,20
ocr_per_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,20,1.0,5,4,3411272.000061035,13.709066668701176,10,10,-3.7653226835541953,20
overall_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,30,1.0,5,4,3392049.831359863,13.068327711995419,16,16,-2.2950472479279505,30
ocr_per_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,30,0.5,3,3,3382105.9341735845,12.736864472452814,19,19,-4.983979720727117,30
ocr_per_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,20,0.5,5,4,3376711.829284669,12.557060976155633,12,12,-5.358050440797735,20
overall_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,30,0.5,4,3,3371387.495941162,12.379583198038734,19,19,-3.065077683168549,30
