signal_date,fill_date,symbol,prob,entry,shares,cost,exit_date,exit_value,ret
2025-09-18,2025-09-19,4917.T,0.6020750548661354,2136.15,200,427230.0,2025-09-22,448591.5,0.050000000000000044
2025-09-24,2025-09-25,3905.T,0.6096725409111204,2918.9,100,291890.0,2025-09-25,306484.5,0.050000000000000044
2025-09-26,2025-09-29,6920.T,0.6093821330527848,19927.3,100,1992730.0,2025-10-02,2092366.5,0.050000000000000044
2025-10-02,2025-10-03,3697.T,0.6429713215235977,1140.795,400,456318.0,2025-10-07,479133.9000000001,0.050000000000000266
2025-10-02,2025-10-03,4013.T,0.6119663718052557,1311.99,300,393597.0,2025-10-30,354237.3,-0.09999999999999998
2025-10-02,2025-10-03,7806.T,0.6069248207739808,4373.3,100,437330.0,2025-10-16,393597.0,-0.09999999999999998
2025-10-03,2025-10-06,3093.T,0.6113374045814183,1793.76,200,358752.0,2025-10-14,322876.8,-0.09999999999999998
2025-10-03,2025-10-06,6027.T,0.6108504550069219,3075.45,100,307545.0,2025-10-22,322922.25,0.050000000000000044
2025-10-03,2025-10-06,3479.T,0.6058935860505608,1814.97,200,362994.0,2025-10-16,326694.6,-0.10000000000000009
2025-10-09,2025-10-10,3563.T,0.6215233016532319,6938.7,100,693870.0,2025-10-22,728563.5,0.050000000000000044
2025-10-10,2025-10-14,4088.T,0.63444410247071,2097.265,200,419453.0,2025-10-14,440425.64999999997,0.04999999999999982
2025-10-14,2025-10-15,4431.T,0.6254899497344585,2725.9900000000002,100,272599.0,2025-10-20,286228.95,0.050000000000000044
2025-10-14,2025-10-15,3093.T,0.6173775185583392,1642.26,300,492678.0,2025-11-12,513000.0,0.04124803624273876
2025-10-14,2025-10-15,4493.T,0.6114709742566611,1774.57,200,354914.0,2025-10-15,372659.7,0.050000000000000044
2025-10-14,2025-10-15,4390.T,0.6021688445236796,3035.05,100,303505.0,2025-10-20,318680.25,0.050000000000000044
2025-10-16,2025-10-17,3479.T,0.6632830506729359,1645.29,300,493587.0,2025-10-22,518266.35,0.050000000000000044
2025-10-16,2025-10-17,3139.T,0.6448567782251308,3418.85,100,341885.0,2025-10-23,358979.25,0.050000000000000044
2025-10-17,2025-10-20,3696.T,0.6534680753263788,2260.38,200,452076.0,2025-10-31,406868.4,-0.09999999999999998
2025-10-17,2025-10-20,7806.T,0.6285397382842869,3918.8,100,391880.0,2025-10-20,411474.00000000006,0.050000000000000044
2025-10-20,2025-10-21,3064.T,0.6152517842790143,1987.68,200,397536.0,2025-10-31,417412.80000000005,0.050000000000000044
2025-10-20,2025-10-21,4088.T,0.6063408883733522,2291.69,200,458338.0,2025-11-18,428700.0,-0.06466406887493514
2025-10-23,2025-10-24,3479.T,0.6085931268298779,1810.93,200,362186.0,2025-11-21,346000.0,-0.044689745048124396
2025-10-28,2025-10-29,9252.T,0.6290303971074045,3499.65,100,349965.0,2025-11-27,360000.0,0.028674296001028665
2025-10-29,2025-10-30,3697.T,0.642763375820011,1050.4,400,420160.00000000006,2025-10-30,441168.0,0.04999999999999982
2025-10-29,2025-10-30,3498.T,0.6150308338973293,8484.0,100,848400.0,2025-11-28,812000.0,-0.04290429042904287
2025-10-31,2025-11-04,3697.T,0.6125476753788477,1076.66,400,430664.00000000006,2025-11-18,387597.60000000003,-0.10000000000000009
2025-11-04,2025-11-05,7419.T,0.6208405869480145,1137.26,400,454904.0,2025-11-27,477649.2,0.050000000000000044
2025-11-04,2025-11-05,4323.T,0.6094121085407153,2153.32,200,430664.00000000006,2025-11-13,452197.20000000007,0.050000000000000044
2025-11-04,2025-11-05,9467.T,0.6003459626775215,1477.63,300,443289.00000000006,2025-11-12,465453.45,0.04999999999999982
2025-11-12,2025-11-13,8136.T,0.6600990332245006,6043.84,100,604384.0,2025-11-17,543945.6,-0.10000000000000009
2025-11-14,2025-11-17,3993.T,0.6072091488338714,3646.1,100,364610.0,2025-11-19,328149.0,-0.09999999999999998
2025-11-17,2025-11-18,4180.T,0.6930008780390894,1027.17,400,410868.0,2025-11-20,431411.4,0.050000000000000044
2025-11-17,2025-11-18,8136.T,0.6922833111727053,5513.59,100,551359.0,2025-12-11,496223.1000000001,-0.09999999999999987
2025-11-18,2025-11-19,7717.T,0.6836591940825764,2853.25,100,285325.0,2025-11-28,299591.25,0.050000000000000044
2025-11-19,2025-11-20,3993.T,0.6514314803797179,3398.65,100,339865.0,2025-12-09,356858.25000000006,0.050000000000000266
2025-11-19,2025-11-20,7059.T,0.6244462635361322,926.17,500,463085.0,2025-12-18,470000.0,0.014932463802541651
2025-11-20,2025-11-21,4180.T,0.6717532535414805,1082.72,400,433088.0,2025-11-26,454742.4,0.050000000000000044
2025-11-21,2025-11-25,4751.T,0.6220080465681553,1398.85,300,419655.0,2025-12-22,395700.0,-0.05708260356721595
2025-12-05,2025-12-08,2413.T,0.6065299070895658,2251.29,200,450258.0,2025-12-16,405232.2,-0.09999999999999998
2025-12-05,2025-12-08,5032.T,0.6039850922704726,5767.1,100,576710.0,2025-12-11,519039.00000000006,-0.09999999999999987
2025-12-11,2025-12-12,5032.T,0.6708110036182944,4817.7,100,481770.0,2025-12-24,505858.5,0.050000000000000044
2025-12-12,2025-12-15,135A.T,0.6129976261373011,3267.35,100,326735.0,2025-12-15,343071.75,0.050000000000000044
2025-12-16,2025-12-17,4413.T,0.6367371419840097,2279.57,200,455914.00000000006,2026-01-06,478709.70000000007,0.050000000000000044
2025-12-16,2025-12-17,4776.T,0.6197419647865715,2817.9,100,281790.0,2025-12-19,295879.5,0.050000000000000044
2025-12-18,2025-12-19,135A.T,0.6366539719693803,3110.8,100,311080.0,2025-12-19,326634.0,0.050000000000000044
2025-12-22,2025-12-23,2982.T,0.6178275456160865,404.0,1200,484800.0,2025-12-24,509040.00000000006,0.050000000000000044
2025-12-24,2025-12-25,9245.T,0.6282832711789181,2262.4,200,452480.0,2026-01-27,456800.0,0.00954738330975946
2025-12-24,2025-12-25,2982.T,0.6180591236470019,431.27,1100,474397.0,2026-01-14,498116.85000000003,0.050000000000000044
2025-12-24,2025-12-25,135A.T,0.6007867224767196,3221.9,100,322190.0,2026-01-14,338299.50000000006,0.050000000000000266
