symbol,status,rows,path,error
189A.T,ok,426.0,data\prices\189A_T.csv,
1904.T,ok,6535.0,data\prices\1904_T.csv,
1905.T,ok,6534.0,data\prices\1905_T.csv,
1909.T,ok,3616.0,data\prices\1909_T.csv,
190A.T,ok,423.0,data\prices\190A_T.csv,
1911.T,skipped_exists,,data\prices\1911_T.csv,
1914.T,ok,6276.0,data\prices\1914_T.csv,
191A.T,ok,420.0,data\prices\191A_T.csv,
1921.T,ok,6276.0,data\prices\1921_T.csv,
1925.T,skipped_exists,,data\prices\1925_T.csv,
1926.T,ok,6276.0,data\prices\1926_T.csv,
1928.T,skipped_exists,,data\prices\1928_T.csv,
1929.T,ok,6276.0,data\prices\1929_T.csv,
192A.T,ok,421.0,data\prices\192A_T.csv,
1930.T,ok,6276.0,data\prices\1930_T.csv,
1934.T,ok,6276.0,data\prices\1934_T.csv,
1938.T,ok,6272.0,data\prices\1938_T.csv,
1939.T,ok,6276.0,data\prices\1939_T.csv,
1941.T,ok,6276.0,data\prices\1941_T.csv,
1942.T,ok,6276.0,data\prices\1942_T.csv,
1944.T,ok,6273.0,data\prices\1944_T.csv,
1945.T,skipped_exists,,data\prices\1945_T.csv,
1946.T,ok,6276.0,data\prices\1946_T.csv,
1948.T,ok,6273.0,data\prices\1948_T.csv,
1949.T,ok,6271.0,data\prices\1949_T.csv,
194A.T,ok,419.0,data\prices\194A_T.csv,
1950.T,ok,6276.0,data\prices\1950_T.csv,
1951.T,ok,6276.0,data\prices\1951_T.csv,
1952.T,ok,6276.0,data\prices\1952_T.csv,
1959.T,ok,6276.0,data\prices\1959_T.csv,
195A.T,ok,420.0,data\prices\195A_T.csv,
1960.T,ok,6273.0,data\prices\1960_T.csv,
1961.T,ok,6276.0,data\prices\1961_T.csv,
1963.T,skipped_exists,,data\prices\1963_T.csv,
1964.T,skipped_exists,,data\prices\1964_T.csv,
1965.T,ok,6276.0,data\prices\1965_T.csv,
