week,タイヤ・ゴム,損害保険,地方銀行,生命保険,非鉄金属,銀行,設備工事,ドラッグストア,電気ガス,ガス,空運業,ゴム製品,パルプ紙,大手銀行,家電・コンピュータ小売り,ガラス土石,電気・ガス業,水産農林,リース・消費者金融,ゴム,空運,非鉄金属・金属製品,不動産,鉱業,保険,大幅増額,石油石炭,小売,コンビニ・食品小売り,ガラス・土石製品,民生用エレクトロニクス,保険業,建設,増額,飲料,建設農業機械・産業車両,大幅減額,電子デバイス製造装置,証券先物,その他金融,総合スーパー,石油・石炭製品,不動産(住宅),不動産(非住宅),パッケージソフト,食品,建設関連製品・設備,前号並み,事務機器,水産・農林業,その他
11,100.0,0.0,54.54545454545454,50.0,22.22222222222222,50.0,12.903225806451612,33.33333333333333,50.0,14.285714285714285,0.0,20.0,25.0,50.0,11.11111111111111,33.33333333333333,0.0,50.0,50.0,100.0,0.0,50.0,23.52941176470588,50.0,28.57142857142857,50.0,100.0,27.11864406779661,44.0,0.0,0.0,0.0,17.24137931034483,13.333333333333334,15.384615384615385,31.03448275862069,60.0,13.88888888888889,0.0,20.0,14.285714285714285,0.0,28.78787878787879,24.242424242424242,17.741935483870968,32.47863247863248,23.25581395348837,27.27272727272727,9.090909090909092,0.0,17.977893368010402
12,75.0,50.0,78.18181818181819,0.0,44.44444444444444,66.66666666666666,25.806451612903224,16.666666666666664,75.0,42.857142857142854,100.0,40.0,25.0,75.0,11.11111111111111,11.11111111111111,0.0,50.0,41.66666666666667,100.0,0.0,62.5,41.17647058823529,50.0,28.57142857142857,0.0,100.0,28.8135593220339,40.0,0.0,40.0,33.33333333333333,31.03448275862069,20.0,23.076923076923077,34.48275862068966,20.0,16.666666666666664,0.0,40.0,14.285714285714285,0.0,31.818181818181817,33.33333333333333,17.741935483870968,34.18803418803419,34.883720930232556,31.818181818181817,9.090909090909092,0.0,22.366710013003903
13,100.0,0.0,50.90909090909091,50.0,33.33333333333333,33.33333333333333,9.67741935483871,50.0,0.0,57.14285714285714,100.0,40.0,25.0,25.0,44.44444444444444,11.11111111111111,0.0,0.0,25.0,100.0,0.0,37.5,23.52941176470588,50.0,85.71428571428571,0.0,0.0,35.59322033898305,20.0,0.0,20.0,0.0,0.0,23.333333333333332,30.76923076923077,20.689655172413794,20.0,8.333333333333332,0.0,40.0,28.57142857142857,33.33333333333333,34.84848484848485,27.27272727272727,17.741935483870968,23.931623931623932,11.627906976744185,31.818181818181817,0.0,0.0,16.547464239271783
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,0.0,0.0,11.864406779661017,8.0,0.0,0.0,0.0,3.4482758620689653,6.666666666666667,7.6923076923076925,3.4482758620689653,0.0,2.7777777777777777,0.0,0.0,14.285714285714285,0.0,10.606060606060606,9.090909090909092,6.451612903225806,4.273504273504273,0.0,4.545454545454546,0.0,0.0,1.9830949284785435
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.647058823529413,0.0,0.0,0.0,0.0,22.033898305084744,28.000000000000004,0.0,0.0,0.0,6.896551724137931,3.3333333333333335,15.384615384615385,3.4482758620689653,0.0,0.0,0.0,0.0,42.857142857142854,0.0,13.636363636363635,12.121212121212121,11.29032258064516,14.529914529914532,2.3255813953488373,18.181818181818183,0.0,0.0,4.973992197659298
16,25.0,0.0,1.8181818181818181,0.0,0.0,0.0,9.67741935483871,50.0,0.0,28.57142857142857,0.0,0.0,25.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,8.333333333333332,41.17647058823529,0.0,0.0,0.0,0.0,28.8135593220339,28.000000000000004,0.0,20.0,0.0,10.344827586206897,13.333333333333334,23.076923076923077,3.4482758620689653,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,28.78787878787879,9.090909090909092,16.129032258064516,29.914529914529915,11.627906976744185,13.636363636363635,0.0,0.0,10.143042912873861
17,0.0,0.0,0.0,0.0,0.0,0.0,22.58064516129032,33.33333333333333,25.0,57.14285714285714,0.0,0.0,0.0,0.0,11.11111111111111,0.0,33.33333333333333,0.0,0.0,0.0,0.0,8.333333333333332,11.76470588235294,0.0,0.0,50.0,0.0,22.033898305084744,32.0,0.0,20.0,33.33333333333333,13.793103448275861,13.333333333333334,30.76923076923077,6.896551724137931,20.0,0.0,33.33333333333333,0.0,0.0,0.0,18.181818181818183,12.121212121212121,11.29032258064516,23.931623931623932,13.953488372093023,9.090909090909092,0.0,0.0,8.972691807542263
18,0.0,0.0,1.8181818181818181,0.0,0.0,0.0,19.35483870967742,16.666666666666664,25.0,28.57142857142857,0.0,0.0,0.0,0.0,22.22222222222222,11.11111111111111,0.0,0.0,8.333333333333332,0.0,0.0,4.166666666666666,17.647058823529413,0.0,0.0,0.0,0.0,8.47457627118644,12.0,0.0,0.0,0.0,17.24137931034483,0.0,15.384615384615385,10.344827586206897,20.0,0.0,0.0,0.0,0.0,0.0,12.121212121212121,12.121212121212121,6.451612903225806,9.401709401709402,13.953488372093023,13.636363636363635,0.0,0.0,5.461638491547465
19,50.0,100.0,23.636363636363637,0.0,0.0,11.11111111111111,32.25806451612903,50.0,25.0,14.285714285714285,100.0,0.0,25.0,0.0,33.33333333333333,11.11111111111111,0.0,0.0,41.66666666666667,0.0,0.0,4.166666666666666,35.294117647058826,0.0,14.285714285714285,0.0,0.0,18.64406779661017,16.0,0.0,20.0,0.0,31.03448275862069,23.333333333333332,38.46153846153847,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,25.757575757575758,15.151515151515152,17.741935483870968,14.529914529914532,20.930232558139537,36.36363636363637,18.181818181818183,0.0,12.906371911573473
20,50.0,0.0,7.2727272727272725,0.0,0.0,0.0,9.67741935483871,0.0,0.0,14.285714285714285,100.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,8.333333333333332,23.52941176470588,0.0,14.285714285714285,0.0,0.0,15.254237288135593,12.0,0.0,0.0,0.0,17.24137931034483,23.333333333333332,15.384615384615385,13.793103448275861,0.0,5.555555555555555,0.0,20.0,14.285714285714285,0.0,18.181818181818183,15.151515151515152,29.03225806451613,8.547008547008547,23.25581395348837,27.27272727272727,18.181818181818183,0.0,13.426527958387515
