threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
0.6,0.0,0.05,0.16,2771927.0,-228073.0,1097,157,0.1431175934366454
0.65,0.0,0.03,0.2,2715145.2002563477,-284854.79974365234,10190,194,0.01903827281648675
0.6,-0.01,0.05,0.16,2680409.550000002,-319590.44999999786,1097,152,0.13855970829535097
0.7,0.0,0.03,0.2,2676092.700256348,-323907.2997436519,1964,168,0.0855397148676171
0.55,-0.02,0.07,0.2,2664485.620000003,-335514.3799999971,395,82,0.20759493670886076
0.6,0.0,0.05,0.2,2652240.0,-347760.0,1097,153,0.13947128532360983
0.55,-0.01,0.05,0.2,2652222.100314333,-347777.8996856669,4780,164,0.03430962343096234
0.55,-0.03,0.07,0.08,2651015.9600000028,-348984.03999999724,395,106,0.2683544303797468
0.55,0.0,0.03,0.12,2646384.2002563477,-353615.79974365234,24684,217,0.0087911197536866
0.55,-0.02,0.07,0.12,2646334.040000002,-353665.9599999981,395,90,0.22784810126582278
0.65,0.0,0.03,0.08,2634205.7002563477,-365794.29974365234,10190,260,0.02551521099116781
0.6,0.0,0.03,0.08,2628355.7002563477,-371644.29974365234,18403,260,0.014128131282943
0.55,-0.02,0.07,0.16,2608221.2600000026,-391778.73999999743,395,86,0.21772151898734177
0.6,-0.01,0.05,0.2,2607600.200000003,-392399.799999997,1097,154,0.14038286235186873
0.55,0.0,0.03,0.08,2596492.2002563477,-403507.79974365234,24684,262,0.010614163020580132
0.6,-0.02,0.05,0.2,2594778.295117189,-405221.7048828108,1097,139,0.1267092069279854
0.55,-0.02,0.05,0.12,2592239.720435795,-407760.2795642051,4780,174,0.036401673640167366
0.65,-0.02,0.05,0.16,2591106.280000001,-408893.7199999988,322,78,0.2422360248447205
0.55,-0.03,0.07,0.2,2583265.1250000023,-416734.8749999977,395,82,0.20759493670886076
0.55,-0.02,0.07,0.08,2582295.650000002,-417704.34999999823,395,106,0.2683544303797468
0.6,-0.01,0.05,0.08,2558840.1850000033,-441159.8149999967,1097,190,0.1731996353691887
0.65,-0.03,0.05,0.08,2556800.3600000013,-443199.63999999873,322,95,0.2950310559006211
0.65,-0.01,0.03,0.2,2522211.2372589125,-477788.76274108747,10190,176,0.017271835132482826
0.65,-0.03,0.05,0.16,2514117.0500000007,-485882.94999999925,322,74,0.22981366459627328
0.55,-0.01,0.05,0.08,2512723.110431521,-487276.8895684788,4780,209,0.04372384937238494
0.65,0.0,0.03,0.12,2512016.7002563477,-487983.29974365234,10190,200,0.019627085377821395
0.65,-0.03,0.05,0.12,2509782.955,-490217.0449999999,322,80,0.2484472049689441
0.55,-0.03,0.07,0.16,2504968.450000002,-495031.54999999795,395,82,0.20759493670886076
0.7,0.0,0.03,0.16,2499547.2002563477,-500452.79974365234,1964,181,0.09215885947046844
0.55,-0.03,0.07,0.12,2494132.8350000028,-505867.16499999724,395,93,0.23544303797468355
0.55,0.0,0.03,0.2,2489285.7002563477,-510714.29974365234,24684,190,0.007697293793550478
0.6,0.0,0.03,0.2,2489285.7002563477,-510714.29974365234,18403,190,0.01032440362984296
0.7,-0.02,0.03,0.2,2459062.8142614765,-540937.1857385235,1964,167,0.08503054989816701
0.7,0.0,0.03,0.12,2444244.7002563477,-555755.2997436523,1964,180,0.09164969450101833
0.7,-0.02,0.03,0.12,2435933.1642614766,-564066.8357385234,1964,189,0.09623217922606925
0.7,-0.01,0.03,0.16,2433037.0572589114,-566962.9427410886,1964,176,0.08961303462321792
0.55,-0.02,0.03,0.2,2432316.9142614766,-567683.0857385234,24684,186,0.007535245503159942
0.6,-0.02,0.03,0.2,2432316.9142614766,-567683.0857385234,18403,186,0.01010704776395153
0.65,-0.02,0.03,0.2,2432316.9142614766,-567683.0857385234,10190,186,0.018253189401373895
0.6,-0.01,0.05,0.12,2419253.26511719,-580746.7348828102,1097,157,0.1431175934366454
0.7,-0.01,0.03,0.12,2418159.6772589125,-581840.3227410875,1964,182,0.09266802443991853
0.55,-0.01,0.03,0.16,2390182.537258913,-609817.4627410872,24684,177,0.007170636849781235
0.6,-0.01,0.03,0.16,2390182.537258913,-609817.4627410872,18403,177,0.009617997065695811
0.65,-0.02,0.03,0.12,2386411.464261477,-613588.5357385231,10190,187,0.018351324828263002
0.55,-0.02,0.05,0.08,2385105.890435795,-614894.1095642052,4780,225,0.04707112970711297
0.6,-0.02,0.05,0.08,2348948.8300000033,-651051.1699999967,1097,174,0.15861440291704648
0.6,0.0,0.03,0.12,2330872.7002563477,-669127.2997436523,18403,209,0.011356843992827256
0.65,0.0,0.03,0.16,2330037.2002563477,-669962.7997436523,10190,181,0.017762512266928362
0.55,-0.01,0.05,0.16,2308583.0704315198,-691416.9295684802,4780,164,0.03430962343096234
0.55,-0.01,0.03,0.2,2298817.152258912,-701182.8477410879,24684,170,0.006887052341597796
0.6,-0.01,0.03,0.2,2298817.152258912,-701182.8477410879,18403,170,0.009237624300385806
0.55,0.0,0.03,0.16,2289227.2002563477,-710772.7997436523,24684,185,0.007494733430562308
0.6,0.0,0.03,0.16,2289227.2002563477,-710772.7997436523,18403,185,0.010052708797478672
0.7,-0.01,0.03,0.2,2277365.5472589117,-722634.4527410883,1964,157,0.079938900203666
0.55,-0.02,0.03,0.12,2261780.0342614767,-738219.9657385233,24684,187,0.007575757575757576
0.7,-0.02,0.03,0.16,2257610.7193786637,-742389.2806213363,1964,173,0.08808553971486761
0.7,-0.01,0.03,0.08,2254922.777258914,-745077.222741086,1964,217,0.1104887983706721
0.7,-0.03,0.03,0.2,2245227.3862640397,-754772.6137359603,1964,132,0.06720977596741344
0.55,-0.01,0.03,0.12,2245121.132258913,-754878.867741087,24684,183,0.007413709285367039
0.6,-0.01,0.03,0.12,2245121.132258913,-754878.867741087,18403,183,0.009944030864532957
0.55,-0.02,0.05,0.2,2233204.690435793,-766795.3095642072,4780,148,0.03096234309623431
0.6,-0.03,0.05,0.2,2227652.315234377,-772347.684765623,1097,126,0.11485870556061988
0.65,-0.01,0.03,0.16,2195825.9172589127,-804174.0827410873,10190,180,0.017664376840039256
0.55,-0.02,0.03,0.16,2193116.4293786637,-806883.5706213363,24684,190,0.007697293793550478
0.6,-0.02,0.03,0.16,2193116.4293786637,-806883.5706213363,18403,190,0.01032440362984296
0.55,-0.02,0.05,0.16,2192139.8904357925,-807860.1095642075,4780,149,0.03117154811715481
0.6,-0.02,0.03,0.12,2163220.494261477,-836779.5057385229,18403,185,0.010052708797478672
0.6,-0.02,0.05,0.12,2162231.0600000015,-837768.9399999985,1097,149,0.1358249772105743
0.6,-0.02,0.05,0.16,2159638.120000002,-840361.879999998,1097,139,0.1267092069279854
0.55,-0.01,0.03,0.08,2155391.607258914,-844608.392741086,24684,225,0.009115216334467671
0.6,-0.01,0.03,0.08,2155391.607258914,-844608.392741086,18403,225,0.01222626745639298
0.7,-0.03,0.03,0.16,2139954.636264039,-860045.3637359608,1964,146,0.07433808553971487
0.7,-0.02,0.03,0.08,2089459.594261478,-910540.4057385221,1964,215,0.1094704684317719
0.55,-0.01,0.05,0.12,2078201.0004315204,-921798.9995684796,4780,164,0.03430962343096234
0.65,-0.01,0.03,0.12,2070842.3172589133,-929157.6827410867,10190,190,0.018645731108930325
0.6,-0.02,0.03,0.08,2056185.1842614776,-943814.8157385224,18403,217,0.011791555724610117
0.65,-0.02,0.03,0.16,2043010.2542614755,-956989.7457385245,10190,182,0.01786064769381747
0.65,-0.01,0.03,0.08,2038484.2822589132,-961515.7177410868,10190,229,0.022473012757605496
0.65,-0.03,0.03,0.2,2018754.5562640398,-981245.4437359602,10190,139,0.013640824337585868
0.65,-0.02,0.03,0.08,1947833.204261478,-1052166.795738522,10190,220,0.021589793915603533
0.55,-0.03,0.05,0.2,1943238.0250000018,-1056761.9749999982,4780,128,0.026778242677824266
0.6,-0.03,0.05,0.12,1912079.5100000016,-1087920.4899999984,1097,130,0.11850501367365543
0.65,-0.03,0.03,0.16,1893650.286381227,-1106349.713618773,10190,147,0.014425907752698724
0.55,-0.02,0.03,0.08,1878656.5342614779,-1121343.4657385221,24684,223,0.009034192189272403
0.55,-0.03,0.03,0.2,1876965.996264039,-1123034.003735961,24684,145,0.005874250526656944
0.6,-0.03,0.03,0.2,1876965.996264039,-1123034.003735961,18403,145,0.007879150138564365
0.6,-0.03,0.05,0.08,1850730.9550000038,-1149269.0449999962,1097,165,0.1504102096627165
0.65,-0.03,0.03,0.12,1832442.66626404,-1167557.33373596,10190,152,0.01491658488714426
0.55,-0.03,0.03,0.12,1773782.4212640394,-1226217.5787359606,24684,147,0.005955274671852212
0.6,-0.03,0.03,0.12,1773782.4212640394,-1226217.5787359606,18403,147,0.00798782807151008
0.55,-0.03,0.05,0.16,1767637.3550000007,-1232362.6449999993,4780,137,0.028661087866108787
0.55,-0.03,0.05,0.12,1759690.3750000019,-1240309.6249999981,4780,153,0.03200836820083682
0.55,-0.03,0.05,0.08,1731811.6950000026,-1268188.3049999974,4780,182,0.03807531380753138
0.55,-0.03,0.03,0.16,1711583.9863812267,-1288416.0136187733,24684,147,0.005955274671852212
0.7,-0.03,0.03,0.12,1684023.2562640407,-1315976.7437359593,1964,151,0.07688391038696538
0.6,-0.03,0.03,0.16,1645627.6963812266,-1354372.3036187734,18403,147,0.00798782807151008
0.6,-0.03,0.05,0.16,1619706.7051171882,-1380293.2948828118,1097,129,0.11759343664539654
0.7,-0.03,0.03,0.08,1612843.3612640405,-1387156.6387359595,1964,187,0.09521384928716904
0.65,-0.03,0.03,0.08,1601565.9612640408,-1398434.0387359592,10190,194,0.01903827281648675
0.6,-0.03,0.03,0.08,1389763.1462640413,-1610236.8537359587,18403,178,0.009672336032168669
0.55,-0.03,0.03,0.08,1346976.996264041,-1653023.003735959,24684,182,0.007373197212769405
