horizon,threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
30,0.65,-0.01,0.07,0.2,3234063.370000001,234063.37000000104,221,50,0.22624434389140272
15,0.6,0.0,0.05,0.08,3233262.0,233262.0,315,90,0.2857142857142857
30,0.65,-0.01,0.07,0.12,3232045.520000001,232045.52000000095,221,57,0.2579185520361991
20,0.55,-0.01,0.07,0.2,3227528.29,227528.29000000004,395,88,0.22278481012658227
10,0.55,0.0,0.05,0.16,3227185.0,227185.0,201,43,0.21393034825870647
15,0.65,-0.02,0.05,0.2,3224027.65,224027.6499999999,104,11,0.10576923076923077
15,0.6,-0.01,0.05,0.12,3217434.8100000015,217434.81000000145,315,90,0.2857142857142857
15,0.55,0.0,0.07,0.08,3216229.5,216229.5,135,18,0.13333333333333333
15,0.55,0.0,0.05,0.08,3213615.0,213615.0,941,193,0.2051009564293305
10,0.55,0.0,0.05,0.08,3210950.0,210950.0,201,48,0.23880597014925373
10,0.55,0.0,0.05,0.12,3210623.0,210623.0,201,47,0.23383084577114427
30,0.7,-0.02,0.05,0.2,3208905.1750000007,208905.17500000075,471,92,0.19532908704883228
20,0.7,-0.02,0.05,0.2,3207452.7,207452.7000000002,94,9,0.09574468085106383
15,0.55,0.0,0.07,0.12,3207210.5,207210.5,135,18,0.13333333333333333
15,0.55,-0.02,0.07,0.16,3206946.2400000007,206946.2400000007,135,18,0.13333333333333333
20,0.7,-0.03,0.05,0.2,3206810.8000000003,206810.80000000028,94,9,0.09574468085106383
20,0.65,-0.02,0.07,0.2,3206606.6100000003,206606.61000000034,76,6,0.07894736842105263
15,0.65,-0.01,0.05,0.16,3203671.325,203671.3250000002,104,10,0.09615384615384616
15,0.65,-0.01,0.05,0.2,3203671.325,203671.3250000002,104,10,0.09615384615384616
20,0.65,-0.01,0.05,0.12,3203284.3500000006,203284.35000000056,322,88,0.2732919254658385
30,0.65,-0.03,0.07,0.2,3200326.1100000013,200326.11000000127,221,54,0.24434389140271492
15,0.6,-0.03,0.07,0.08,3196687.4000000004,196687.40000000037,79,7,0.08860759493670886
15,0.6,-0.03,0.07,0.12,3196687.4000000004,196687.40000000037,79,7,0.08860759493670886
15,0.6,-0.03,0.07,0.16,3196687.4000000004,196687.40000000037,79,7,0.08860759493670886
15,0.6,-0.03,0.07,0.2,3196687.4000000004,196687.40000000037,79,7,0.08860759493670886
30,0.7,-0.03,0.07,0.2,3195686.6100000003,195686.61000000034,79,6,0.0759493670886076
20,0.65,-0.03,0.07,0.2,3195300.875,195300.875,76,6,0.07894736842105263
15,0.55,-0.03,0.07,0.16,3194892.0000000005,194892.00000000047,135,19,0.14074074074074075
15,0.65,0.0,0.05,0.16,3194272.5,194272.5,104,9,0.08653846153846154
15,0.65,0.0,0.05,0.2,3194272.5,194272.5,104,9,0.08653846153846154
30,0.65,-0.03,0.07,0.08,3194106.970000002,194106.97000000207,221,68,0.3076923076923077
30,0.7,-0.02,0.07,0.2,3193786.74,193786.74000000022,79,6,0.0759493670886076
20,0.7,0.0,0.05,0.16,3191655.0,191655.0,94,8,0.0851063829787234
20,0.7,0.0,0.05,0.2,3191655.0,191655.0,94,8,0.0851063829787234
15,0.6,0.0,0.05,0.16,3187071.0,187071.0,315,80,0.25396825396825395
20,0.7,-0.01,0.05,0.16,3183072.6000000006,183072.60000000056,94,8,0.0851063829787234
20,0.7,-0.01,0.05,0.2,3183072.6000000006,183072.60000000056,94,8,0.0851063829787234
20,0.55,0.0,0.07,0.2,3181179.000000001,181179.00000000093,395,82,0.20759493670886076
20,0.6,-0.01,0.07,0.08,3180385.4950000015,180385.4950000015,150,27,0.18
20,0.65,0.0,0.05,0.12,3176403.0,176403.0,322,83,0.2577639751552795
20,0.55,0.0,0.07,0.12,3175534.0000000005,175534.00000000047,395,86,0.21772151898734177
30,0.7,0.0,0.05,0.16,3174224.0,174224.0,471,81,0.17197452229299362
15,0.6,-0.01,0.05,0.16,3173865.7,173865.7000000002,315,85,0.2698412698412698
10,0.65,0.0,0.03,0.16,3166301.75,166301.75,275,72,0.26181818181818184
30,0.55,-0.01,0.07,0.2,3164915.1800000016,164915.18000000156,2798,119,0.04253037884203002
30,0.65,-0.02,0.07,0.16,3160850.160000002,160850.160000002,221,56,0.25339366515837103
30,0.7,-0.01,0.07,0.16,3160040.055,160040.05500000017,79,5,0.06329113924050633
30,0.7,-0.01,0.07,0.2,3160040.055,160040.05500000017,79,5,0.06329113924050633
10,0.55,-0.01,0.05,0.2,3157960.4,157960.3999999999,201,46,0.22885572139303484
15,0.6,0.0,0.05,0.2,3157955.0,157955.0,315,78,0.24761904761904763
15,0.55,-0.02,0.07,0.08,3151710.150000001,151710.15000000084,135,21,0.15555555555555556
20,0.55,0.0,0.07,0.16,3147095.0000000005,147095.00000000047,395,82,0.20759493670886076
10,0.55,-0.03,0.07,0.08,3146988.1100000003,146988.11000000034,79,6,0.0759493670886076
10,0.55,-0.03,0.07,0.12,3146988.1100000003,146988.11000000034,79,6,0.0759493670886076
10,0.55,-0.03,0.07,0.16,3146988.1100000003,146988.11000000034,79,6,0.0759493670886076
10,0.55,-0.03,0.07,0.2,3146988.1100000003,146988.11000000034,79,6,0.0759493670886076
10,0.65,0.0,0.03,0.2,3145856.0,145856.0,275,70,0.2545454545454545
15,0.65,-0.03,0.05,0.16,3145755.175,145755.1749999998,104,14,0.1346153846153846
10,0.6,-0.02,0.05,0.2,3144084.1500000004,144084.15000000037,92,7,0.07608695652173914
20,0.65,-0.01,0.07,0.16,3139501.705,139501.70500000007,76,4,0.05263157894736842
20,0.65,-0.01,0.07,0.2,3139501.705,139501.70500000007,76,4,0.05263157894736842
30,0.65,-0.02,0.07,0.12,3137440.0200000014,137440.02000000142,221,60,0.27149321266968324
10,0.6,-0.03,0.05,0.2,3136208.375,136208.375,92,9,0.09782608695652174
30,0.55,0.0,0.07,0.2,3135796.500000001,135796.50000000093,2798,142,0.05075053609721229
15,0.55,-0.03,0.07,0.12,3134621.265,134621.26500000013,135,22,0.16296296296296298
30,0.55,-0.02,0.07,0.2,3134465.410000003,134465.41000000294,2798,120,0.04288777698355969
20,0.55,0.0,0.07,0.08,3133138.0000000014,133138.0000000014,395,96,0.2430379746835443
15,0.55,-0.02,0.07,0.12,3132996.980000001,132996.9800000009,135,20,0.14814814814814814
15,0.6,-0.02,0.07,0.08,3131061.2700000005,131061.27000000048,79,4,0.05063291139240506
15,0.6,-0.02,0.07,0.12,3131061.2700000005,131061.27000000048,79,4,0.05063291139240506
15,0.6,-0.02,0.07,0.16,3131061.2700000005,131061.27000000048,79,4,0.05063291139240506
15,0.6,-0.02,0.07,0.2,3131061.2700000005,131061.27000000048,79,4,0.05063291139240506
15,0.65,-0.02,0.05,0.16,3130595.6500000004,130595.65000000037,104,12,0.11538461538461539
