week,タイヤ・ゴム,損害保険,地方銀行,生命保険,非鉄金属,設備工事,銀行,空運業,電気ガス,ドラッグストア,パルプ紙,水産農林,リース・消費者金融,ゴム製品,家電・コンピュータ小売り,ガラス土石,ゴム,大手銀行,ガス,鉱業,電気・ガス業,不動産,空運,ガラス・土石製品,証券先物,保険業,飲料,保険,大幅減額,電子デバイス製造装置,民生用エレクトロニクス,大幅増額,石油石炭,非鉄金属・金属製品,コンビニ・食品小売り,水産・農林業,建設,小売,パッケージソフト,電気機器,百貨店,総合スーパー,石油・石炭製品,増額,建設農業機械・産業車両,225,前号並み,その他金融,建設・土木,不動産(住宅),不動産(非住宅),食品,建設関連製品・設備,鉄道,減額,事務機器,その他金融業,倉庫運輸,その他
11,100.0,0.0,54.54545454545454,50.0,22.22222222222222,12.903225806451612,50.0,0.0,50.0,33.33333333333333,25.0,50.0,50.0,20.0,11.11111111111111,33.33333333333333,100.0,50.0,14.285714285714285,50.0,0.0,23.52941176470588,0.0,0.0,0.0,0.0,15.384615384615385,28.57142857142857,60.0,13.88888888888889,0.0,50.0,100.0,50.0,44.0,0.0,17.24137931034483,27.11864406779661,17.741935483870968,9.090909090909092,0.0,14.285714285714285,0.0,13.333333333333334,31.03448275862069,28.57142857142857,27.27272727272727,20.0,18.29268292682927,28.78787878787879,24.242424242424242,32.47863247863248,23.25581395348837,35.714285714285715,25.0,9.090909090909092,0.0,0.0,18.159552134359693
12,75.0,50.0,78.18181818181819,0.0,44.44444444444444,25.806451612903224,66.66666666666666,100.0,75.0,16.666666666666664,25.0,50.0,41.66666666666667,40.0,11.11111111111111,11.11111111111111,100.0,75.0,42.857142857142854,50.0,0.0,41.17647058823529,0.0,0.0,0.0,33.33333333333333,23.076923076923077,28.57142857142857,20.0,16.666666666666664,40.0,0.0,100.0,62.5,40.0,0.0,31.03448275862069,28.8135593220339,17.741935483870968,9.090909090909092,40.0,14.285714285714285,0.0,20.0,34.48275862068966,28.57142857142857,31.818181818181817,40.0,28.04878048780488,31.818181818181817,33.33333333333333,34.18803418803419,34.883720930232556,35.714285714285715,25.0,9.090909090909092,0.0,33.33333333333333,22.498250524842547
13,100.0,0.0,50.90909090909091,50.0,33.33333333333333,9.67741935483871,33.33333333333333,100.0,0.0,50.0,25.0,0.0,25.0,40.0,44.44444444444444,11.11111111111111,100.0,25.0,57.14285714285714,50.0,0.0,23.52941176470588,0.0,0.0,0.0,0.0,30.76923076923077,85.71428571428571,20.0,8.333333333333332,20.0,0.0,0.0,37.5,20.0,0.0,0.0,35.59322033898305,17.741935483870968,7.792207792207792,0.0,28.57142857142857,33.33333333333333,23.333333333333332,20.689655172413794,7.142857142857142,31.818181818181817,40.0,20.73170731707317,34.84848484848485,27.27272727272727,23.931623931623932,11.627906976744185,28.57142857142857,8.333333333333332,0.0,0.0,0.0,16.794961511546536
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,5.88235294117647,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,8.0,0.0,3.4482758620689653,11.864406779661017,6.451612903225806,1.2987012987012987,0.0,14.285714285714285,0.0,6.666666666666667,3.4482758620689653,7.142857142857142,4.545454545454546,0.0,1.2195121951219512,10.606060606060606,9.090909090909092,4.273504273504273,0.0,0.0,0.0,0.0,9.090909090909092,0.0,1.9944016794961512
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,17.647058823529413,0.0,0.0,0.0,0.0,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.000000000000004,0.0,6.896551724137931,22.033898305084744,11.29032258064516,0.0,0.0,42.857142857142854,0.0,3.3333333333333335,3.4482758620689653,0.0,18.181818181818183,0.0,1.2195121951219512,13.636363636363635,12.121212121212121,14.529914529914532,2.3255813953488373,14.285714285714285,0.0,0.0,9.090909090909092,0.0,5.213435969209238
16,25.0,0.0,1.8181818181818181,0.0,0.0,9.67741935483871,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,0.0,33.33333333333333,41.17647058823529,0.0,0.0,0.0,0.0,23.076923076923077,0.0,0.0,2.7777777777777777,20.0,0.0,0.0,8.333333333333332,28.000000000000004,0.0,10.344827586206897,28.8135593220339,16.129032258064516,1.2987012987012987,20.0,0.0,0.0,13.333333333333334,3.4482758620689653,21.428571428571427,13.636363636363635,0.0,8.536585365853659,28.78787878787879,9.090909090909092,29.914529914529915,11.627906976744185,21.428571428571427,0.0,0.0,9.090909090909092,0.0,10.356892932120363
17,0.0,0.0,0.0,0.0,0.0,22.58064516129032,0.0,0.0,25.0,33.33333333333333,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,57.14285714285714,0.0,33.33333333333333,11.76470588235294,0.0,0.0,33.33333333333333,33.33333333333333,30.76923076923077,0.0,20.0,0.0,20.0,50.0,0.0,8.333333333333332,32.0,0.0,13.793103448275861,22.033898305084744,11.29032258064516,3.896103896103896,20.0,0.0,0.0,13.333333333333334,6.896551724137931,35.714285714285715,9.090909090909092,0.0,18.29268292682927,18.181818181818183,12.121212121212121,23.931623931623932,13.953488372093023,21.428571428571427,0.0,0.0,9.090909090909092,0.0,8.67739678096571
18,0.0,0.0,1.8181818181818181,0.0,0.0,19.35483870967742,0.0,0.0,25.0,16.666666666666664,0.0,0.0,8.333333333333332,0.0,22.22222222222222,11.11111111111111,0.0,0.0,28.57142857142857,0.0,0.0,17.647058823529413,0.0,0.0,0.0,0.0,15.384615384615385,0.0,20.0,0.0,0.0,0.0,0.0,4.166666666666666,12.0,0.0,17.24137931034483,8.47457627118644,6.451612903225806,3.896103896103896,0.0,0.0,0.0,0.0,10.344827586206897,14.285714285714285,13.636363636363635,0.0,8.536585365853659,12.121212121212121,12.121212121212121,9.401709401709402,13.953488372093023,0.0,8.333333333333332,0.0,0.0,0.0,5.423372988103569
19,50.0,100.0,23.636363636363637,0.0,0.0,32.25806451612903,11.11111111111111,100.0,25.0,50.0,25.0,0.0,41.66666666666667,0.0,33.33333333333333,11.11111111111111,0.0,0.0,14.285714285714285,0.0,0.0,35.294117647058826,0.0,0.0,0.0,0.0,38.46153846153847,14.285714285714285,0.0,2.7777777777777777,20.0,0.0,0.0,4.166666666666666,16.0,0.0,31.03448275862069,18.64406779661017,17.741935483870968,15.584415584415584,0.0,0.0,0.0,23.333333333333332,0.0,28.57142857142857,36.36363636363637,0.0,23.170731707317074,25.757575757575758,15.151515151515152,14.529914529914532,20.930232558139537,7.142857142857142,25.0,18.181818181818183,0.0,0.0,12.526242127361792
20,50.0,0.0,7.2727272727272725,0.0,0.0,9.67741935483871,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,33.33333333333333,23.52941176470588,0.0,0.0,0.0,0.0,15.384615384615385,14.285714285714285,0.0,5.555555555555555,0.0,0.0,0.0,8.333333333333332,12.0,0.0,17.24137931034483,15.254237288135593,29.03225806451613,11.688311688311687,20.0,14.285714285714285,0.0,23.333333333333332,13.793103448275861,7.142857142857142,27.27272727272727,20.0,15.853658536585366,18.181818181818183,15.151515151515152,8.547008547008547,23.25581395348837,0.0,8.333333333333332,18.181818181818183,9.090909090909092,0.0,13.540937718684395
