"image_file","image_no","code","ticker","company_name","sector","resolved"
"117.png","117","1828","1828.T","田辺工業","建設業","True"
"118.png","118","","","","","False"
"119.png","119","1833","1833.T","奥村組","建設業","True"
"120.png","120","1835","1835.T","東鉄工業","建設業","True"
"121.png","121","1840","1840.T","土屋ホールディングス","建設業","True"
"122.png","122","1841","1841.T","サンユー建設","建設業","True"
"123.png","123","1844","1844.T","大盛工業","建設業","True"
"124.png","124","1847","1847.T","イチケン","建設業","True"
"125.png","125","1848","1848.T","富士ピー・エス","建設業","True"
"126.png","126","184A","184A.T","学びエイド","情報・通信業","True"
"127.png","127","184A","184A.T","学びエイド","情報・通信業","True"
"128.png","128","1850","1850.T","南海辰村建設","建設業","True"
"129.png","129","1852","1852.T","淺沼組","建設業","True"
"130.png","130","1853","1853.T","森組","建設業","True"
"131.png","131","1860","1860.T","戸田建設","建設業","True"
"132.png","132","1861","1861.T","熊谷組","建設業","True"
"133.png","133","1866","1866.T","北野建設","建設業","True"
"134.png","134","1867","1867.T","植木組","建設業","True"
"135.png","135","6200","6200.T","インソース","サービス業","True"
"136.png","136","186A","186A.T","アストロスケールホールディングス","サービス業","True"
"137.png","137","1870","1870.T","矢作建設工業","建設業","True"
"138.png","138","1871","1871.T","ピーエス・コンストラクション","建設業","True"
"139.png","139","1873","1873.T","日本ハウスホールディングス","建設業","True"
"140.png","140","1878","1878.T","大東建託","不動産業","True"
"141.png","141","1879","1879.T","新日本建設","建設業","True"
"142.png","142","1882","1882.T","東亜道路工業","建設業","True"
"143.png","143","","","","","False"
"144.png","144","1885","1885.T","東亜建設工業","建設業","True"
"145.png","145","1887","1887.T","日本国土開発","建設業","True"
"146.png","146","1888","1888.T","若築建設","建設業","True"
"147.png","147","1890","1890.T","東洋建設","建設業","True"
"148.png","148","","","","","False"
"149.png","149","1893","1893.T","五洋建設","建設業","True"
"150.png","150","1897","1897.T","金下建設","建設業","True"
"151.png","151","1898","1898.T","世紀東急工業","建設業","True"
"152.png","152","1899","1899.T","福田組","建設業","True"
"153.png","153","189A","189A.T","Ｄ＆Ｍカンパニー","サービス業","True"
"154.png","154","1904","1904.T","大成温調","建設業","True"
"155.png","155","1905","1905.T","テノックス","建設業","True"
"156.png","156","1909","1909.T","日本ドライケミカル","機械","True"
"157.png","157","190A","190A.T","Ｃｈｏｒｄｉａ Ｔｈｅｒａｐｅｕｔｉｃｓ","医薬品","True"
"158.png","158","1911","1911.T","住友林業","建設業","True"
"159.png","159","1914","1914.T","日本基礎技術","建設業","True"
"160.png","160","1921","1921.T","巴コーポレーション","建設業","True"
"161.png","161","1925","1925.T","大和ハウス工業","建設業","True"
"162.png","162","1926","1926.T","ライト工業","建設業","True"
"163.png","163","1928","1928.T","積水ハウス","建設業","True"
"164.png","164","1929","1929.T","日特建設","建設業","True"
"165.png","165","192A","192A.T","インテグループ","サービス業","True"
"166.png","166","1930","1930.T","北陸電気工事","建設業","True"
"167.png","167","1934","1934.T","ユアテック","建設業","True"
"168.png","168","1938","1938.T","日本リーテック","建設業","True"
"169.png","169","1939","1939.T","四電工","建設業","True"
"170.png","170","1941","1941.T","中電工","建設業","True"
"171.png","171","1942","1942.T","関電工","建設業","True"
"172.png","172","1944","1944.T","きんでん","建設業","True"
"173.png","173","1945","1945.T","東京エネシス","建設業","True"
"174.png","174","1946","1946.T","トーエネック","建設業","True"
"175.png","175","1948","1948.T","弘電社","建設業","True"
"176.png","176","1949","1949.T","住友電設","建設業","True"
"177.png","177","194A","194A.T","ＷＯＬＶＥＳ ＨＡＮＤ","サービス業","True"
"178.png","178","1950","1950.T","日本電設工業","建設業","True"
"179.png","179","1951","1951.T","エクシオグループ","建設業","True"
"180.png","180","1952","1952.T","新日本空調","建設業","True"
"181.png","181","1959","1959.T","クラフティア","建設業","True"
"182.png","182","195A","195A.T","ＭＵＳＣＡＴ ＧＲＯＵＰ","サービス業","True"
"183.png","183","1960","1960.T","サンテック","建設業","True"
"184.png","184","1961","1961.T","三機工業","建設業","True"
"185.png","185","1963","1963.T","日揮ホールディングス","建設業","True"
"186.png","186","1964","1964.T","中外炉工業","建設業","True"
"187.png","187","1965","1965.T","テクノ菱和","建設業","True"
"188.png","188","1966","1966.T","高田工業所","建設業","True"
"189.png","189","1967","1967.T","ヤマト","建設業","True"
"190.png","190","1968","1968.T","太平電業","建設業","True"
"191.png","191","1969","1969.T","高砂熱学工業","建設業","True"
"192.png","192","196A","196A.T","ＭＦＳ","その他金融業","True"
"193.png","193","1972","1972.T","三晃金属工業","建設業","True"
"194.png","194","1975","1975.T","朝日工業社","建設業","True"
"195.png","195","1976","1976.T","明星工業","建設業","True"
"196.png","196","1979","1979.T","大氣社","建設業","True"
"197.png","197","197A","197A.T","タウンズ","医薬品","True"
"198.png","198","1980","1980.T","ダイダン","建設業","True"
"199.png","199","1981","1981.T","協和日成","建設業","True"
"200.png","200","1982","1982.T","日比谷総合設備","建設業","True"
"201.png","201","198A","198A.T","ＰｏｓｔＰｒｉｍｅ","情報・通信業","True"
"202.png","202","1992","1992.T","神田通信機","建設業","True"
"203.png","203","1994","1994.T","高橋カーテンウォール工業","建設業","True"
"204.png","204","1997","1997.T","暁飯島工業","建設業","True"
"205.png","205","","","","","False"
"206.png","206","2001","2001.T","ニップン","食料品","True"
"207.png","207","2002","2002.T","日清製粉グループ本社","食料品","True"
"208.png","208","2003","2003.T","日東富士製粉","食料品","True"
"209.png","209","2004","2004.T","昭和産業","食料品","True"
"210.png","210","2009","2009.T","鳥越製粉","食料品","True"
"211.png","211","202A","202A.T","豆蔵","情報・通信業","True"
"212.png","212","2053","2053.T","中部飼料","食料品","True"
"213.png","213","2055","2055.T","日和産業","食料品","True"
"214.png","214","","","","","False"
"215.png","215","205A","205A.T","ロゴスホールディングス","建設業","True"
"216.png","216","2060","2060.T","フィード・ワン","食料品","True"
"217.png","217","206A","206A.T","ＰＲＩＳＭ ＢｉｏＬａｂ","医薬品","True"
"218.png","218","208A","208A.T","構造計画研究所ホールディングス","情報・通信業","True"
"219.png","219","2108","2108.T","日本甜菜製糖","食料品","True"
"220.png","220","2109","2109.T","ＤＭ三井製糖","食料品","True"
"221.png","221","2112","2112.T","塩水港精糖","食料品","True"
"222.png","222","2114","2114.T","フジ日本","食料品","True"
"223.png","223","2117","2117.T","ウェルネオシュガー","食料品","True"
"224.png","224","211A","211A.T","カドス・コーポレーション","建設業","True"
"225.png","225","2120","2120.T","ＬＩＦＵＬＬ","サービス業","True"
"226.png","226","2121","2121.T","ＭＩＸＩ","情報・通信業","True"
"227.png","227","2122","2122.T","インタースペース","サービス業","True"
"228.png","228","2124","2124.T","ジェイエイシーリクルートメント","サービス業","True"
"229.png","229","2127","2127.T","日本Ｍ＆Ａセンターホールディングス","サービス業","True"
"230.png","230","212A","212A.T","フィットイージー","サービス業","True"
"231.png","231","2130","2130.T","メンバーズ","サービス業","True"
"232.png","232","2134","2134.T","北浜キャピタルパートナーズ","サービス業","True"
"233.png","233","2136","2136.T","ヒップ","サービス業","True"
"234.png","234","7389","7389.T","あいちフィナンシャルグループ","銀行業","True"
"235.png","235","2138","2138.T","クルーズ","情報・通信業","True"
"236.png","236","2139","2139.T","中広","サービス業","True"
"237.png","237","2146","2146.T","ＵＴグループ","サービス業","True"
"238.png","238","2148","2148.T","アイティメディア","サービス業","True"
"239.png","239","2150","2150.T","ケアネット","サービス業","True"
"240.png","240","2152","2152.T","幼児活動研究会","サービス業","True"
"241.png","241","2153","2153.T","Ｅ・Ｊホールディングス","サービス業","True"
"242.png","242","2154","2154.T","オープンアップグループ","サービス業","True"
"243.png","243","2156","2156.T","セーラー広告","サービス業","True"
"244.png","244","2157","2157.T","コシダカホールディングス","サービス業","True"
"245.png","245","2158","2158.T","ＦＲＯＮＴＥＯ","サービス業","True"
"246.png","246","215A","215A.T","タイミー","サービス業","True"
"247.png","247","2160","2160.T","ジーエヌアイグループ","医薬品","True"
"249.png","249","2162","2162.T","ｎｍｓ ホールディングス","サービス業","True"
"250.png","250","2162","2162.T","ｎｍｓ ホールディングス","サービス業","True"
"251.png","251","2163","2163.T","アルトナー","サービス業","True"
"252.png","252","2164","2164.T","地域新聞社","サービス業","True"
"253.png","253","2168","2168.T","パソナグループ","サービス業","True"
"254.png","254","2169","2169.T","ＣＤＳ","サービス業","True"
"255.png","255","2170","2170.T","リンクアンドモチベーション","サービス業","True"
"256.png","256","","","","","False"
"257.png","257","2173","2173.T","博展","サービス業","True"
"258.png","258","2175","2175.T","エス・エム・エス","サービス業","True"
"259.png","259","2179","2179.T","成学社","サービス業","True"
"260.png","260","2180","2180.T","サニーサイドアップグループ","サービス業","True"
"261.png","261","2181","2181.T","パーソルホールディングス","サービス業","True"
"262.png","262","2183","2183.T","リニカル","サービス業","True"
"263.png","263","2185","2185.T","シイエム・シイ","サービス業","True"
"264.png","264","2186","2186.T","ソーバル","サービス業","True"
"265.png","265","218A","218A.T","Ｌｉｂｅｒａｗａｒｅ","精密機器","True"
"266.png","266","2193","2193.T","クックパッド","サービス業","True"
"267.png","267","2195","2195.T","アミタホールディングス","サービス業","True"
"268.png","268","2196","2196.T","エスクリ","サービス業","True"
"269.png","269","2198","2198.T","アイ・ケイ・ケイホールディングス","サービス業","True"
"270.png","270","219A","219A.T","Ｈｅａｒｔｓｅｅｄ","医薬品","True"
"271.png","271","2201","2201.T","森永製菓","食料品","True"
"272.png","272","2204","2204.T","中村屋","食料品","True"
"273.png","273","2206","2206.T","江崎グリコ","食料品","True"
"274.png","274","2207","2207.T","ｍｅｉｔｏ","食料品","True"
"275.png","275","2208","2208.T","ブルボン","食料品","True"
"276.png","276","2209","2209.T","井村屋グループ","食料品","True"
"277.png","277","220A","220A.T","Ｆａｂｅｒ Ｃｏｍｐａｎｙ","情報・通信業","True"
"278.png","278","2211","2211.T","不二家","食料品","True"
"279.png","279","2212","2212.T","山崎製パン","食料品","True"
"280.png","280","2215","2215.T","第一屋製パン","食料品","True"
"281.png","281","2216","2216.T","カンロ","食料品","True"
"282.png","282","2217","2217.T","モロゾフ","食料品","True"
"283.png","283","","","","","False"
"284.png","284","2220","2220.T","亀田製菓","食料品","True"
"285.png","285","2221","2221.T","岩塚製菓","食料品","True"
"286.png","286","2222","2222.T","寿スピリッツ","食料品","True"
"287.png","287","2224","2224.T","コモ","食料品","True"
"288.png","288","2226","2226.T","湖池屋","食料品","True"
"289.png","289","2229","2229.T","カルビー","食料品","True"
"290.png","290","2264","2264.T","森永乳業","食料品","True"
"291.png","291","2266","2266.T","六甲バター","食料品","True"
"292.png","292","2267","2267.T","ヤクルト本社","食料品","True"
"293.png","293","2268","2268.T","Ｂ－Ｒ サーティワン アイスクリーム","食料品","True"
"294.png","294","2269","2269.T","明治ホールディングス","食料品","True"
"295.png","295","2270","2270.T","雪印メグミルク","食料品","True"
"296.png","296","2281","2281.T","プリマハム","食料品","True"
"297.png","297","2282","2282.T","日本ハム","食料品","True"
"298.png","298","2286","2286.T","林兼産業","食料品","True"
"299.png","299","2288","2288.T","丸大食品","食料品","True"
"300.png","300","228A","228A.T","オプロ","情報・通信業","True"
"301.png","301","2291","2291.T","福留ハム","食料品","True"
"302.png","302","2292","2292.T","Ｓ Ｆｏｏｄｓ","食料品","True"
"303.png","303","2293","2293.T","滝沢ハム","食料品","True"
"304.png","304","2294","2294.T","柿安本店","食料品","True"
"305.png","305","2296","2296.T","伊藤ハム米久ホールディングス","食料品","True"
"306.png","306","2300","2300.T","きょくとう","サービス業","True"
"307.png","307","2301","2301.T","学情","サービス業","True"
"308.png","308","2303","2303.T","ドーン","情報・通信業","True"
"309.png","309","2304","2304.T","ＣＳＳホールディングス","サービス業","True"
"310.png","310","2305","2305.T","スタジオアリス","サービス業","True"
"311.png","311","2307","2307.T","クロスキャット","情報・通信業","True"
"312.png","312","2311","2311.T","エプコ","サービス業","True"
"313.png","313","2315","2315.T","ＣＡＩＣＡ ＤＩＧＩＴＡＬ","情報・通信業","True"
"314.png","314","2317","2317.T","システナ","情報・通信業","True"
"315.png","315","","","","","False"
"316.png","316","2321","2321.T","ソフトフロントホールディングス","情報・通信業","True"
"317.png","317","2323","2323.T","ｆｏｎｆｕｎ","情報・通信業","True"
"318.png","318","2325","2325.T","ＮＪＳ","サービス業","True"
"319.png","319","2326","2326.T","デジタルアーツ","情報・通信業","True"
"320.png","320","2327","2327.T","日鉄ソリューションズ","情報・通信業","True"
"321.png","321","2329","2329.T","東北新社","情報・通信業","True"
"322.png","322","2330","2330.T","フォーサイド","情報・通信業","True"
"323.png","323","2331","2331.T","ＡＬＳＯＫ","サービス業","True"
"324.png","324","2332","2332.T","クエスト","情報・通信業","True"
"325.png","325","2334","2334.T","イオレ","サービス業","True"
"326.png","326","2335","2335.T","キューブシステム","情報・通信業","True"
"327.png","327","2337","2337.T","いちご","不動産業","True"
"328.png","328","2338","2338.T","クオンタムソリューションズ","情報・通信業","True"
"329.png","329","2340","2340.T","極楽湯ホールディングス","サービス業","True"
"330.png","330","2341","2341.T","アルバイトタイムス","サービス業","True"
"331.png","331","2342","2342.T","トランスジェニックグループ","サービス業","True"
"332.png","332","2344","2344.T","平安レイサービス","サービス業","True"
"333.png","333","2345","2345.T","クシム","情報・通信業","True"
"334.png","334","2349","2349.T","エヌアイデイ","情報・通信業","True"
"335.png","335","2351","2351.T","ＡＳＪ","情報・通信業","True"
"336.png","336","2353","2353.T","日本駐車場開発","不動産業","True"
"337.png","337","2354","2354.T","ＹＥ ＤＩＧＩＴＡＬ","情報・通信業","True"
"338.png","338","2359","2359.T","コア","情報・通信業","True"
"339.png","339","2370","2370.T","メディネット","サービス業","True"
"340.png","340","2371","2371.T","カカクコム","サービス業","True"
"341.png","341","2373","2373.T","ケア２１","サービス業","True"
"342.png","342","2374","2374.T","セントケア・ホールディング","サービス業","True"
"343.png","343","2375","2375.T","ギグワークス","サービス業","True"
"344.png","344","2376","2376.T","サイネックス","サービス業","True"
"345.png","345","2378","2378.T","ルネサンス","サービス業","True"
"346.png","346","2379","2379.T","ディップ","サービス業","True"
"347.png","347","2384","2384.T","ＳＢＳホールディングス","陸運業","True"
"348.png","348","2385","2385.T","総医研ホールディングス","サービス業","True"
"349.png","349","2388","2388.T","ウェッジホールディングス","その他金融業","True"
"350.png","350","2389","2389.T","デジタルホールディングス","サービス業","True"
"351.png","351","2391","2391.T","プラネット","サービス業","True"
"352.png","352","2393","2393.T","日本ケアサプライ","サービス業","True"
"353.png","353","2395","2395.T","新日本科学","サービス業","True"
"354.png","354","2404","2404.T","鉄人化ホールディングス","サービス業","True"
"355.png","355","2408","2408.T","ＫＧ情報","サービス業","True"
"356.png","356","2410","2410.T","キャリアデザインセンター","サービス業","True"
"357.png","357","2411","2411.T","ゲンダイエージェンシー","情報・通信業","True"
"358.png","358","2413","2413.T","エムスリー","サービス業","True"
"359.png","359","2415","2415.T","ヒューマンホールディングス","サービス業","True"
"360.png","360","2418","2418.T","ツカダ・グローバルホールディング","サービス業","True"
"361.png","361","241A","241A.T","ＲＯＸＸ","情報・通信業","True"
"362.png","362","2424","2424.T","ブラス","サービス業","True"
"363.png","363","2425","2425.T","ケアサービス","サービス業","True"
"364.png","364","2428","2428.T","ウェルネット","サービス業","True"
"365.png","365","2429","2429.T","ワールドホールディングス","サービス業","True"
"366.png","366","","","","","False"
"367.png","367","2432","2432.T","ディー・エヌ・エー","情報・通信業","True"
"368.png","368","2433","2433.T","博報堂ＤＹホールディングス","サービス業","True"
"369.png","369","2435","2435.T","シダー","サービス業","True"
"370.png","370","2436","2436.T","共同ピーアール","サービス業","True"
"371.png","371","2437","2437.T","Ｓｈｉｎｗａ Ｗｉｓｅ Ｈｏｌｄｉｎｇｓ","サービス業","True"
"372.png","372","2438","2438.T","アスカネット","サービス業","True"
"373.png","373","2440","2440.T","ぐるなび","サービス業","True"
"374.png","374","2445","2445.T","タカミヤ","サービス業","True"
"375.png","375","2449","2449.T","プラップジャパン","サービス業","True"
"376.png","376","244A","244A.T","グロースエクスパートナーズ","情報・通信業","True"
"377.png","377","2454","2454.T","オールアバウト","サービス業","True"
"378.png","378","2459","2459.T","アウンコンサルティング","サービス業","True"
"379.png","379","245A","245A.T","ＩＮＧＳ","小売業","True"
"380.png","380","2461","2461.T","ファンコミュニケーションズ","サービス業","True"
"381.png","381","2462","2462.T","ライク","サービス業","True"
"382.png","382","2464","2464.T","Ａｏｂａ‐ＢＢＴ","サービス業","True"
"383.png","383","","","","","False"
"384.png","384","2469","2469.T","ヒビノ","サービス業","True"
"385.png","385","246A","246A.T","アスア","サービス業","True"
"386.png","386","2471","2471.T","エスプール","サービス業","True"
"387.png","387","2475","2475.T","ＷＤＢホールディングス","サービス業","True"
"388.png","388","2477","2477.T","手間いらず","情報・通信業","True"
"389.png","389","2479","2479.T","ジェイテック","サービス業","True"
"390.png","390","247A","247A.T","Ａｉロボティクス","化学","True"
"391.png","391","2480","2480.T","システム・ロケーション","情報・通信業","True"
"392.png","392","2481","2481.T","タウンニュース社","サービス業","True"
"393.png","393","2483","2483.T","翻訳センター","サービス業","True"
"394.png","394","2484","2484.T","出前館","情報・通信業","True"
"395.png","395","2485","2485.T","ティア","サービス業","True"
"396.png","396","2488","2488.T","ＪＴＰ","サービス業","True"
"397.png","397","2489","2489.T","アドウェイズ","サービス業","True"
"398.png","398","248A","248A.T","キッズスター","情報・通信業","True"
"399.png","399","2491","2491.T","バリューコマース","サービス業","True"
"400.png","400","2492","2492.T","インフォマート","サービス業","True"
"401.png","401","2493","2493.T","イーサポートリンク","サービス業","True"
"402.png","402","2497","2497.T","ユナイテッド","サービス業","True"
"403.png","403","2498","2498.T","オリエンタルコンサルタンツホールディングス","サービス業","True"
"404.png","404","2499","2499.T","日本和装ホールディングス","サービス業","True"
"405.png","405","2501","2501.T","サッポロホールディングス","食料品","True"
"406.png","406","2502","2502.T","アサヒグループホールディングス","食料品","True"
"407.png","407","2503","2503.T","キリンホールディングス","食料品","True"
"408.png","408","250A","250A.T","シマダヤ","食料品","True"
"409.png","409","2531","2531.T","宝ホールディングス","食料品","True"
"410.png","410","2533","2533.T","オエノンホールディングス","食料品","True"
"411.png","411","253A","253A.T","ＥＴＳグループ","建設業","True"
"412.png","412","2540","2540.T","養命酒製造","食料品","True"
"413.png","413","254A","254A.T","ＡＩフュージョンキャピタルグループ","証券、商品先物取引業","True"
"414.png","414","3655","3655.T","ブレインパッド","情報・通信業","True"
"416.png","416","256A","256A.T","飛島ホールディングス","建設業","True"
"417.png","417","2573","2573.T","北海道コカ・コーラボトリング","食料品","True"
"418.png","418","2579","2579.T","コカ・コーラ ボトラーズジャパンホールディングス","食料品","True"
"419.png","419","2585","2585.T","ライフドリンク カンパニー","食料品","True"
"420.png","420","2586","2586.T","フルッタフルッタ","食料品","True"
"421.png","421","2587","2587.T","サントリー食品インターナショナル","食料品","True"
"422.png","422","2588","2588.T","プレミアムウォーターホールディングス","食料品","True"
"423.png","423","2590","2590.T","ダイドーグループホールディングス","食料品","True"
"424.png","424","2593","2593.T","伊藤園","食料品","True"
"425.png","425","2594","2594.T","キーコーヒー","食料品","True"
"426.png","426","2597","2597.T","ユニカフェ","食料品","True"
"427.png","427","","","","","False"
"428.png","428","2602","2602.T","日清オイリオグループ","食料品","True"
"429.png","429","2607","2607.T","不二製油","食料品","True"
"430.png","430","2612","2612.T","かどや製油","食料品","True"
"431.png","431","2613","2613.T","Ｊ－オイルミルズ","食料品","True"
"432.png","432","261A","261A.T","日水コン","サービス業","True"
"433.png","433","262A","262A.T","インターメスティック","小売業","True"
"434.png","434","264A","264A.T","Ｓｃｈｏｏ","サービス業","True"
"435.png","435","2652","2652.T","まんだらけ","小売業","True"
"436.png","436","2653","2653.T","イオン九州","小売業","True"
"437.png","437","2654","2654.T","アスモ","小売業","True"
"438.png","438","2656","2656.T","ベクターホールディングス","小売業","True"
"439.png","439","2659","2659.T","サンエー","小売業","True"
"440.png","440","265A","265A.T","Ｈｍｃｏｍｍ","情報・通信業","True"
"441.png","441","2664","2664.T","カワチ薬品","小売業","True"
"442.png","442","2666","2666.T","オートウェーブ","小売業","True"
"443.png","443","2667","2667.T","イメージ ワン","卸売業","True"
"444.png","444","2668","2668.T","タビオ","卸売業","True"
"445.png","445","2669","2669.T","カネ美食品","小売業","True"
"446.png","446","2670","2670.T","エービーシー・マート","小売業","True"
"447.png","447","2673","2673.T","夢みつけ隊","小売業","True"
