ticker,company_name,sector,score,fail_total,failed
303A.T,ｖｉｓｕｍｏ,情報・通信業,0.1806053040830997,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
8897.T,ＭＩＲＡＲＴＨホールディングス,不動産業,0.1806557209347046,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
4442.T,バルテス・ホールディングス,情報・通信業,0.1812277277590634,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
7201.T,日産自動車,輸送用機器,0.1821525658985536,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
7205.T,日野自動車,輸送用機器,0.1827221242717534,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
9450.T,ファイバーゲート,情報・通信業,0.1828687909682338,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
186A.T,アストロスケールホールディングス,サービス業,0.1830353750881834,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
5142.T,アキレス,化学,0.1837748883942297,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
5269.T,日本コンクリート工業,ガラス・土石製品,0.184137714756558,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
1435.T,ｒｏｂｏｔ ｈｏｍｅ,不動産業,0.1844665031757194,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
6849.T,日本光電工業,電気機器,0.1868865763385705,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
288A.T,ラクサス・テクノロジーズ,サービス業,0.187580893919456,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
4344.T,ソースネクスト,情報・通信業,0.1877940712823511,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
9812.T,テーオーホールディングス,卸売業,0.1880198067400605,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
5408.T,中山製鋼所,鉄鋼,0.1887481063634016,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
