date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,reason
2026-01-28,9405.T,大幅増額/情報通信,情報・通信業,BUY,813.0,1100,2100.0,0.36257491875438974,buy_signal
2026-01-29,9405.T,大幅増額/情報通信,情報・通信業,SELL,816.0,1100,899700.0,0.3553572349424774,sell_signal
2026-01-30,3352.T,小売/他消費財小売り,小売業,BUY,1625.0,100,737200.0,0.4148972146349676,buy_signal
2026-01-30,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3130.0,100,424200.0,0.39953278231423134,buy_signal
2026-01-30,9405.T,大幅増額/情報通信,情報・通信業,BUY,830.0,500,9200.0,0.36608068921167747,buy_signal
2026-02-02,9405.T,大幅増額/情報通信,情報・通信業,SELL,839.0,500,428700.0,0.3824841034984429,sell_signal
2026-02-02,9791.T,大幅強気/増額,サービス業,BUY,1400.0,300,8700.0,0.4333849037033157,buy_signal
2026-02-03,8515.T,その他金融/リース・消費者金融,その他金融業,SELL,543.0,200,117300.0,0.46585739891848704,sell_signal
2026-02-04,7184.T,銀行/地方銀行,銀行業,SELL,2417.0,200,600700.0,0.7837235720815908,sell_signal
2026-02-04,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1061.0,500,70200.0,0.3651726030277763,buy_signal
2026-02-05,9791.T,大幅強気/増額,サービス業,SELL,1398.0,300,489600.0,0.4233148802190094,sell_signal
2026-02-06,6357.T,機械/外食・娯楽サービス,機械,BUY,2545.0,100,235100.0,0.43873308825645585,buy_signal
2026-02-09,6357.T,機械/外食・娯楽サービス,機械,SELL,2490.0,100,484100.0,0.4167409294670387,sell_signal
2026-02-10,1768.T,建設/建設・土木,建設業,BUY,1634.0,200,157300.0,0.7244132145758443,buy_signal
2026-02-12,8346.T,銀行/地方銀行,銀行業,SELL,763.0,100,233600.0,0.8176082947636338,sell_signal
2026-02-20,7971.T,増額/化学,化学,BUY,770.0,100,156600.0,0.4440921658411411,buy_signal
2026-02-20,9791.T,大幅強気/増額,サービス業,BUY,1447.0,100,11900.0,0.4383384411066488,buy_signal
2026-02-24,7971.T,増額/化学,化学,SELL,770.0,100,88900.0,0.44221856583978647,sell_signal
2026-03-03,1768.T,建設/建設・土木,建設業,SELL,1567.0,200,402300.0,0.4977658615710419,sell_signal
2026-03-03,9791.T,大幅強気/増額,サービス業,SELL,1406.0,100,542900.0,0.414314838683444,sell_signal
2026-03-04,5697.T,鉄鋼/鉄鋼,鉄鋼,SELL,746.0,500,915900.0,0.3765703408931699,sell_signal
2026-03-04,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3295.0,100,1245400.0,0.4072823750461715,sell_signal
2026-03-04,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1053.0,500,1771900.0,0.3695756906413822,sell_signal
2026-03-04,7456.T,卸売/非鉄金属・金属製品,卸売業,BUY,7660.0,100,1005900.0,0.7940609878159284,buy_signal
2026-03-04,8393.T,銀行/地方銀行,銀行業,BUY,8470.0,100,158900.0,0.7711566745272712,buy_signal
2026-03-05,7456.T,卸売/非鉄金属・金属製品,卸売業,SELL,7950.0,100,953900.0,0.8315124848957791,sell_signal
2026-03-05,8393.T,銀行/地方銀行,銀行業,SELL,9240.0,100,1877900.0,0.8517500651472737,sell_signal
2026-03-05,1946.T,建設/設備工事,建設業,BUY,2198.0,100,1658100.0,0.5927819955118623,buy_signal
2026-03-05,6743.T,電気機器/設備機器・部品,電気機器,BUY,834.0,300,1407900.0,0.47635069946954733,buy_signal
2026-03-05,1808.T,225/建設,建設業,BUY,3201.0,100,1087800.0,0.47150480206346496,buy_signal
2026-03-05,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3415.0,100,746300.0,0.4375359521101173,buy_signal
2026-03-05,8154.T,卸売/電子部品・産業用電子機器,卸売業,BUY,4150.0,100,331300.0,0.4310745581013406,buy_signal
2026-03-06,1768.T,建設/建設・土木,建設業,BUY,1534.0,100,177900.0,0.4675204333639541,buy_signal
2026-03-09,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,855.0,300,434400.0,0.3795733937664172,sell_signal
2026-03-09,1946.T,建設/設備工事,建設業,SELL,1990.0,100,633400.0,0.5337106658089619,sell_signal
2026-03-09,6743.T,電気機器/設備機器・部品,電気機器,SELL,802.0,300,874000.0,0.4314281868513685,sell_signal
2026-03-09,1808.T,225/建設,建設業,SELL,3093.0,100,1183300.0,0.44041927821658855,sell_signal
2026-03-09,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3225.0,100,1505800.0,0.40399546424025634,sell_signal
2026-03-09,8154.T,卸売/電子部品・産業用電子機器,卸売業,SELL,3920.0,100,1897800.0,0.40873378810336863,sell_signal
2026-03-09,8393.T,銀行/地方銀行,銀行業,BUY,8580.0,100,1039800.0,0.7795615672468316,buy_signal
2026-03-09,5714.T,225/非鉄金属,非鉄金属,BUY,9511.0,100,88700.0,0.7109863971740973,buy_signal
2026-03-10,1768.T,建設/建設・土木,建設業,SELL,1504.0,100,239100.0,0.44205810738566353,sell_signal
2026-03-10,5714.T,225/非鉄金属,非鉄金属,SELL,10055.0,100,1244600.0,0.7344377869668633,sell_signal
2026-03-10,1946.T,建設/設備工事,建設業,BUY,2059.0,200,832800.0,0.5445753812325819,buy_signal
2026-03-10,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,3805.0,100,452300.0,0.46476788143002334,buy_signal
2026-03-10,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3335.0,100,118800.0,0.4124711169490045,buy_signal
2026-03-10,6343.T,機械/住宅建設,機械,SELL_END,179.0,500,208300.0,,end_of_backtest
2026-03-10,4977.T,化学/食品,化学,SELL_END,1364.0,100,344700.0,,end_of_backtest
2026-03-10,9531.T,225/電気ガス,電気・ガス業,SELL_END,7447.0,100,1089400.0,,end_of_backtest
2026-03-10,3352.T,小売/他消費財小売り,小売業,SELL_END,1709.0,100,1260300.0,,end_of_backtest
2026-03-10,8393.T,銀行/地方銀行,銀行業,SELL_END,9170.0,100,2177300.0,,end_of_backtest
2026-03-10,1946.T,建設/設備工事,建設業,SELL_END,2059.0,200,2589100.0,,end_of_backtest
2026-03-10,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL_END,3805.0,100,2969600.0,,end_of_backtest
2026-03-10,7231.T,輸送用機器/自動車部品,輸送用機器,SELL_END,3335.0,100,3303100.0,,end_of_backtest
