fast,slow,train_sharpe_mean,train_sharpe_med,train_return_mean,test_sharpe_mean,test_sharpe_med,test_return_mean,n_sectors_train,n_sectors_test
40,100,-0.016704335724131967,0.06840433418159003,3.7874836375908907,0.22022264202804356,0.35509299078372164,31.2521026697251,33,33
40,110,-0.014002117165103207,0.05083818808233966,-8.589825563409224,0.21441008305361442,0.29004321036266656,30.48863974670664,33,33
40,120,-0.018060373091609017,0.030131008305361518,-11.377139310312165,0.2098497084189116,0.39384507178943956,30.436222047807288,33,33
40,130,-0.023880420054420905,0.05497862359175179,-11.679879701118711,0.27182949940796974,0.4648706756193688,38.79337902616626,33,33
40,140,-0.024196524589189812,0.04761166060519578,0.0023548956465036367,0.2716444607473685,0.40164542051106233,37.09976459486859,33,33
40,150,-0.023110561069616637,0.04699212032664763,-4.0220341772814745,0.22575629762713667,0.40433137544997333,38.48715445565202,33,32
40,160,-0.023176854296269478,0.02150258473557002,5.49924292780489,0.22126089530309445,0.24459231175452262,38.83521639515232,33,31
40,170,-0.018009276245656416,0.03790963448964415,25.51660392309982,0.1788247690892513,0.30789096100760754,33.90658352469922,33,30
40,180,-0.009006570908987616,0.05124355644210732,43.411309298277246,0.2064144692939628,0.42205680665334044,38.41177331136656,33,29
40,190,-0.03330305728280941,0.0006226737218910491,27.94383541005932,0.17729773185079623,0.39763727711901076,38.01170239042912,33,29
40,200,-0.022500811620823825,0.038671364578107624,7.588857354483673,0.14139657969879868,0.3530850627696175,35.22375536635248,33,28
45,60,-0.041138983088457134,0.0074129406295170425,1.0797295404698468,0.07735603023008833,0.1930676602954931,12.464328498555219,33,33
45,70,-0.031245520879207424,0.00026639569531912384,1.8003650109443634,0.2514931265232828,0.2807840909593005,21.611104234534537,33,33
45,80,-0.016731692547899208,0.029259991879499528,5.792162102737522,0.2628627630210905,0.3572307374540396,30.080757023290438,33,33
45,90,-0.008568346482158465,0.05278346124650553,13.523859614268396,0.25816663525644346,0.38557521078983686,33.2620623373837,33,33
45,100,-0.021869274123004833,0.046346411489989685,17.52265693520465,0.24710766278670315,0.3224760684398052,32.583765980892736,33,33
45,110,-0.03420842339321537,0.0020557975255491292,-16.147017497354987,0.2443507055466954,0.363741889721707,35.03739067544632,33,33
45,120,-0.020784366879976278,0.018701100551481914,1.0576577918705434,0.27666145226869543,0.42996976990087293,36.601023210321216,33,33
45,130,-0.015354549182990873,0.03379104055159027,-1.8524664394544765,0.27407795316036143,0.4563740056487014,37.10758652236013,33,33
