condition_name,final_capital,total_return_pct,win_rate_pct,avg_roundtrip_return_pct,num_roundtrips,max_drawdown_pct,promising_score_min,trend_r2_min,sector_per_score_min,entry_limit_pct,entry_mode,take_profit_pct,stop_loss_pct,run_dir
return_refined_0115,3170326.25,5.6775416666666745,53.57142857142857,2.5974417273081607,28,-9.96933159839266,0.66,0.55,0.45,1.25,breakout_up,12.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0115
return_refined_0010,3169807.5,5.660249999999989,51.85185185185185,2.0994240785795926,27,-9.783117844492883,0.66,0.5,0.45,1.25,breakout_up,15.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0010
return_refined_0046,3169807.5,5.660249999999989,51.85185185185185,2.0994240785795926,27,-9.783117844492883,0.66,0.5,0.5,1.25,breakout_up,15.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0046
return_refined_0118,3169807.5,5.660249999999989,51.85185185185185,2.0994240785795926,27,-9.783117844492883,0.66,0.55,0.45,1.25,breakout_up,15.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0118
return_refined_0008,3167963.75,5.598791666666658,55.55555555555556,2.7995034909504812,27,-10.03839305322154,0.66,0.5,0.45,1.25,breakout_up,12.0,6.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0008
return_refined_0044,3167963.75,5.598791666666658,55.55555555555556,2.7995034909504812,27,-10.03839305322154,0.66,0.5,0.5,1.25,breakout_up,12.0,6.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0044
return_refined_0116,3167963.75,5.598791666666658,55.55555555555556,2.7995034909504812,27,-10.03839305322154,0.66,0.55,0.45,1.25,breakout_up,12.0,6.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0116
return_refined_0079,3167670.0,5.5889999999999995,55.55555555555556,2.7081165876629183,27,-9.946230961745773,0.66,0.5,0.55,1.25,breakout_up,12.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0079
return_refined_0005,3166600.0,5.5533333333333434,58.620689655172406,2.4167211035742713,29,-11.040645843987884,0.66,0.5,0.45,1.25,breakout_up,10.0,6.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0005
return_refined_0041,3166600.0,5.5533333333333434,58.620689655172406,2.4167211035742713,29,-11.040645843987884,0.66,0.5,0.5,1.25,breakout_up,10.0,6.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0041
return_refined_0113,3166600.0,5.5533333333333434,58.620689655172406,2.4167211035742713,29,-11.040645843987884,0.66,0.55,0.45,1.25,breakout_up,10.0,6.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0113
return_refined_0006,3162336.25,5.411208333333328,50.0,1.6507141716635627,30,-9.578233366470979,0.66,0.5,0.45,1.25,breakout_up,12.0,4.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0006
return_refined_0042,3162336.25,5.411208333333328,50.0,1.6507141716635627,30,-9.578233366470979,0.66,0.5,0.5,1.25,breakout_up,12.0,4.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0042
return_refined_0114,3162336.25,5.411208333333328,50.0,1.6507141716635627,30,-9.578233366470979,0.66,0.55,0.45,1.25,breakout_up,12.0,4.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0114
return_refined_0076,3161401.25,5.380041666666657,56.666666666666664,2.2408895370873125,30,-11.01571446449795,0.66,0.5,0.55,1.25,breakout_up,10.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0076
return_refined_0073,3153975.0,5.1325000000000065,58.06451612903226,1.8118552888711432,31,-12.566713561952902,0.66,0.5,0.55,1.25,breakout_up,8.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0073
return_refined_0034,3145171.75,4.839058333333335,44.0,2.4848887997739175,25,-8.354753314379915,0.66,0.5,0.45,1.75,breakout_up,15.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0034
