ticker,company_name,market,simple_sector,sector,feature_summary,segment_summary,flags,headline_positive_count,headline_negative_count,headline_score_raw,shikiho_score_overall,score_growth,score_profitability,score_safety,score_undervalued,score_momentum,forecast_per,actual_pbr,forecast_yield,ytd_return_text_pct,ma200_gap_pct,equity_ratio_pct,sales_growth_pct,op_growth_pct,np_growth_pct,eps_growth_pct,div_growth_pct,annual_return_pct,trailing_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,persistence_20d_pct,end_to_trailing_high_pct,quarter_end_close,price_rows,sector_33,sector_adjusted_per_score,fundamental_score,price_score,valuation_score,promising_score,selected,selection_reason
3929.T,ソーシャルワイヤー,東証グロース,前号並み/情報通信,前号並み/情報通信,,,信用 / 最新の四季報作成後に通期業績予想の変更はありません。,4,0,4,3.0,1.0,2.0,4.0,3.0,4.0,9.87,2.16,0.0,,,,21.739130434782616,95.1219512195122,72.72727272727273,72.8723404255319,,30.672268907563026,34.051724137931025,15.18518518518519,10.365924245691687,22.878228782287824,0.6770166692922104,31.1787072243346,69.23076923076923,95.0,93.3933933933934,311.0,2514,情報・通信業,0.9177489177489178,0.581874588222788,0.6873886883273165,0.579375701816252,0.6288561559885186,False,score=0.629 | annual=30.7 | quarter=15.2 | trend_r2=0.677 | per_score=0.918
5819.T,カナレ電気,東証スタンダード,前号並み/非鉄金属,前号並み/非鉄金属,,,信用 / 最新の四季報作成後に通期業績予想の変更はありません。,1,1,0,4.0,4.0,5.0,5.0,4.0,4.0,11.48,0.69,3.42,,,,,,,,,25.692695214105797,32.3607427055703,6.453333333333333,9.745436409441805,18.021978021978025,0.8734554152332438,14.481897627965045,53.84615384615385,75.0,92.92364990689012,1996.0,4717,非鉄金属,0.6666666666666666,0.49268683171389094,0.6955836341756919,0.7164219069374663,0.6287374078664165,False,score=0.629 | annual=25.7 | quarter=6.5 | trend_r2=0.873 | per_score=0.667
6626.T,SEMITEC,東証スタンダード,会社比強気/前号並み,会社比強気/前号並み,,,信用 / 最新の四季報作成後に通期業績予想の変更はありません。,1,0,1,4.0,4.0,5.0,4.0,4.0,4.0,12.9,1.12,1.79,,,,1.6000000000000014,-2.857142857142858,-11.111111111111116,-11.115095016134802,,56.699889258028804,53.887982599238725,22.936576889661154,13.1117822120366,28.914628914628903,0.6791372745505075,28.548123980424144,69.23076923076923,100.0,94.17637271214643,2830.0,3616,電気機器,0.5408163265306123,0.5278572721379253,0.7593140794223826,0.5114038299503207,0.6287221469784102,False,score=0.629 | annual=56.7 | quarter=22.9 | trend_r2=0.679 | per_score=0.541
5707.T,東邦亜鉛,東証プライム,大幅増額/非鉄金属,大幅増額/非鉄金属,,,貸借 / 最新の四季報作成後に通期業績予想の変更はありません。 / 【QAあり】東邦亜鉛、EBITDA黒字化で業績は回復傾向、収益改善施策が進展 市況高騰や残務費用軽減を追い風に下期は反転攻勢へ / 【QAあり】東邦亜鉛、EBITDA黒字化で業績は回復傾向、収益改善施策が進展 市況高騰や残務費用軽減を追い風に下期は反転攻勢へ2025/11/21 19:00 ログミーファイナンス,2,1,1,3.0,4.0,3.0,1.0,5.0,5.0,3.87,,0.0,,,,-2.4390243902439046,56.25,66.66666666666667,66.58986175115207,,120.60606060606061,125.38699690402476,32.48407643312101,62.24733169751507,159.8343685300207,0.5906690517318804,36.30544124371284,61.53846153846154,25.0,58.00796812749004,1456.0,6535,非鉄金属,1.0,0.5979832747055578,0.6835138387484958,0.5577387344601049,0.6284231204757893,False,score=0.628 | annual=120.6 | quarter=32.5 | trend_r2=0.591 | per_score=1.0
8713.T,フィデアホールディングス,東証プライム,前号並み/銀行,前号並み/銀行,,,優待あり / 貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,4,0,4,3.0,1.0,4.0,,5.0,4.0,9.51,0.4,3.86,,,,0.18867924528302993,43.333333333333336,2.777777777777768,2.8098344204716463,,24.25373134328359,30.50293925538863,5.826271186440679,11.089566815904595,17.14285714285715,0.7530961991775509,21.019900497512435,61.53846153846154,60.0,87.02090592334496,1998.0,4934,銀行業,0.8048780487804879,0.5169246953305013,0.6170156438026475,0.8486839658659862,0.6283174762500641,False,score=0.628 | annual=24.3 | quarter=5.8 | trend_r2=0.753 | per_score=0.805
6925.T,ウシオ電機,東証プライム,前号並み/電気機器,前号並み/電気機器,,,貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,0,0,0,4.0,5.0,4.0,4.0,2.0,4.0,26.44,1.17,2.45,,,,22.352941176470598,30.000000000000004,28.57142857142858,28.521939953810627,0.0,41.096901131333,34.04205607476636,13.379446640316207,14.153224481789263,19.67395331604298,0.7731145531718999,27.2196261682243,69.23076923076923,75.0,88.80804953560371,2868.5,6276,電気機器,0.18840579710144928,0.6782683570497101,0.7139169675090253,0.3478821112830263,0.6282329826030653,False,score=0.628 | annual=41.1 | quarter=13.4 | trend_r2=0.773 | per_score=0.188
6894.T,パルステック工業,東証スタンダード,前号並み/電気機器,前号並み/電気機器,,,信用 / 最新の四季報作成後に通期業績予想の変更はありません。,5,0,5,3.0,3.0,5.0,4.0,4.0,3.0,11.09,0.77,3.65,,,,1.8867924528301883,2.857142857142847,1.85185185185186,1.823708206686936,0.0,21.368948247078468,21.166666666666668,3.708987161198296,11.448182941327612,22.55924170616115,0.8632083793371423,13.944444444444448,69.23076923076923,55.00000000000001,84.33874709976799,2181.0,6272,電気機器,0.7391304347826086,0.512638814673218,0.662797833935018,0.7522690372868386,0.6281364178637521,False,score=0.628 | annual=21.4 | quarter=3.7 | trend_r2=0.863 | per_score=0.739
8802.T,三菱地所,東証プライム,前号並み/225,前号並み/225,,,貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,1,0,1,4.0,4.0,5.0,2.0,3.0,5.0,27.43,2.26,0.97,,,,11.351351351351347,5.757575757575761,-4.545454545454541,-4.565456545654567,10006.521739130434,90.83317148960963,118.74443455031165,27.115135834411387,16.53015027923741,37.93367346938776,0.9376746028269483,13.767836482838414,84.61538461538461,90.0,90.86369520991308,4913.0,6535,不動産業,0.2,0.48000802968303613,0.922208182912154,0.22531969315068728,0.6280604313296694,False,score=0.628 | annual=90.8 | quarter=27.1 | trend_r2=0.938 | per_score=0.2
8515.T,アイフル,東証プライム,前号並み/その他金融,前号並み/その他金融,,,貸借 / 無担保ローン50、有担保ローン2、事業者ローン5、信用購入あっせん収益16、信用保証収益11、他16 <25.3> / 最新の四季報作成後に通期業績予想の変更はありません。,2,0,2,4.0,5.0,5.0,,5.0,4.0,8.22,0.94,2.55,,,,10.070257611241207,26.93498452012384,6.884057971014501,6.944444444444442,10016.666666666668,29.268292682926834,36.28571428571428,-14.973262032085566,10.36878186680162,15.789473684210531,0.8482053042597618,21.176470588235297,69.23076923076923,0.0,80.16806722689076,477.0,6276,その他金融業,0.9375,0.7000630544708707,0.5040312876052949,0.781105643025145,0.6280572770922165,False,score=0.628 | annual=29.3 | quarter=-15.0 | trend_r2=0.848 | per_score=0.938
5105.T,TOYO TIRE,東証プライム,会社比強気/前号並み,会社比強気/前号並み,,,貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,2,2,0,5.0,5.0,5.0,4.0,5.0,4.0,8.63,1.08,3.65,,,,,,,,,37.924897668624304,51.84169278996866,-10.549399815327797,14.782416584170738,27.671232876712338,0.8957662745630468,21.918375802776048,76.92307692307693,70.0,79.81462409886714,3875.0,6276,ゴム製品,0.8724489795918368,0.5538805910165158,0.6188688327316487,0.7780390927160877,0.6279570001282401,False,score=0.628 | annual=37.9 | quarter=-10.5 | trend_r2=0.896 | per_score=0.872
