ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
1938.T,建設/設備工事,建設業,2026-02-02,2026-02-04,100,2328.0,2368.45,4044.999999999982,1.7375429553264432,early_take_profit_top
7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,2026-02-03,2026-02-04,200,3950.0,4080.4,26080.00000000002,3.3012658227848046,early_take_profit_top
7231.T,輸送用機器/自動車部品,輸送用機器,2026-02-02,2026-02-05,100,3176.95,3265.0,8805.000000000018,2.7715261492941456,early_take_profit_top
7722.T,精密機器/自動車部品,精密機器,2026-02-04,2026-02-05,500,1011.9549999999999,1058.0,23022.500000000036,4.550103512507975,early_take_profit_top
8387.T,銀行/地方銀行,銀行業,2026-02-04,2026-02-05,200,2146.725,2231.0,16855.00000000002,3.9257473593497183,early_take_profit_top
3289.T,225/不動産,不動産業,2026-02-04,2026-02-05,300,1477.84,1509.5,9498.000000000025,2.1423158122665598,early_take_profit_top
7241.T,輸送用機器/自動車部品,輸送用機器,2026-02-05,2026-02-09,2700,1084.0,1116.0,86400.0,2.9520295202952074,early_take_profit_top
1718.T,建設/建設・土木,建設業,2026-02-10,2026-02-12,300,9581.599999999999,9797.0,64620.00000000044,2.2480587793270557,early_take_profit_top
1768.T,建設/建設・土木,建設業,2026-02-12,2026-02-17,1800,1658.5099999999998,1703.8700000000001,81648.00000000064,2.7349850166716205,early_take_profit_top
7456.T,卸売/非鉄金属・金属製品,卸売業,2026-02-17,2026-02-18,100,7104.999999999999,7190.0,8500.000000000091,1.196340605207613,sell_signal
5714.T,225/非鉄金属,非鉄金属,2026-02-17,2026-02-19,100,9623.214999999998,9733.37,11015.500000000247,1.144679818543004,early_take_profit_top
7887.T,その他製品/住宅設備・機器,その他製品,2026-02-18,2026-02-20,100,12460.0,12132.4,-32760.000000000036,-2.6292134831460756,early_stop_top
5901.T,金属製品/飲料,金属製品,2026-02-19,2026-02-20,100,4057.97,3962.14,-9582.999999999993,-2.361525590381397,early_stop_top
9063.T,陸運/陸運,陸運業,2026-02-19,2026-02-20,100,4506.599999999999,4762.15,25555.00000000002,5.670572049882394,early_take_profit_top
6379.T,建設/燃料・資源,建設業,2026-02-19,2026-02-27,200,2576.0699999999997,2610.85,6956.00000000004,1.3501185914979175,early_take_profit_top
8387.T,銀行/地方銀行,銀行業,2026-02-26,2026-02-27,200,2338.0,2376.53,7706.00000000004,1.64798973481608,early_take_profit_top
4619.T,化学/タイヤ・ゴム,化学,2026-02-27,2026-03-03,500,2487.765,2420.6,-33582.499999999985,-2.699812884255548,early_stop_top
1879.T,建設/建設・土木,建設業,2026-02-27,2026-03-03,600,2175.145,2093.2799999999997,-49119.000000000146,-3.7636571355013193,early_stop_top
8344.T,銀行/地方銀行,銀行業,2026-02-26,2026-03-04,200,2657.2699999999995,2525.0,-26453.999999999905,-4.977665047210089,early_stop_top
7456.T,卸売/非鉄金属・金属製品,卸売業,2026-03-05,2026-03-06,100,8110.0,7791.0,-31900.0,-3.9334155363748513,early_stop_top
8393.T,銀行/地方銀行,銀行業,2026-03-05,2026-03-06,200,9220.0,9270.0,10000.0,0.5422993492407713,sell_signal
8393.T,銀行/地方銀行,銀行業,2026-03-10,2026-03-10,100,8880.0,9170.0,29000.0,3.26576576576576,end_of_backtest
5714.T,225/非鉄金属,非鉄金属,2026-03-10,2026-03-10,200,9811.0,10055.0,48800.0,2.4870043828356003,end_of_backtest
