date,phase_name,post_major_crash_mode,post_major_phase,post_major_active,sector_mode,sector_top_share,sector_hhi,sector_count,price_top3_share,positive_count,chosen_etf,etf_scores_json
2025-08-27,settling,False,settling,False,dispersed,0.14122137404580154,0.07047957578229702,30,0.10649916694000287,138,,{}
2025-08-28,settling,False,settling,False,dispersed,0.12794612794612795,0.0703896427802152,30,0.06507952852234235,173,,{}
2025-08-29,settling,False,uptrend,False,dispersed,0.12794612794612795,0.0703896427802152,30,0.09580942895167083,172,,{}
2025-09-01,settling,False,uptrend,False,dispersed,0.12794612794612795,0.0703896427802152,30,0.1330074704704721,143,,{}
2025-09-02,settling,False,uptrend,False,dispersed,0.12794612794612795,0.0703896427802152,30,0.16856382137325607,129,,{}
2025-09-03,uptrend,False,uptrend,False,dispersed,0.12794612794612795,0.0703896427802152,30,0.12572629098431118,175,,{}
2025-09-04,uptrend,False,uptrend,False,dispersed,0.12794612794612795,0.0703896427802152,30,0.1833249678569139,151,,{}
2025-09-05,uptrend,False,uptrend,False,dispersed,0.12794612794612795,0.0703896427802152,30,0.20754112240177666,161,,{}
2025-09-08,uptrend,False,uptrend,False,dispersed,0.12794612794612795,0.0703896427802152,30,0.15751345349476847,188,,{}
2025-09-09,uptrend,False,uptrend,False,dispersed,0.12794612794612795,0.0703896427802152,30,0.09826537945475534,229,,{}
2025-09-10,stable,False,stable,False,dispersed,0.12794612794612795,0.0703896427802152,30,0.12136392686103303,193,,{}
2025-09-11,normal,False,normal,False,dispersed,0.10975609756097561,0.06705458060678168,30,0.04626639733238744,265,,{}
2025-09-12,uptrend,False,uptrend,False,dispersed,0.10975609756097561,0.06705458060678168,30,0.06634677895096684,223,,{}
2025-09-16,uptrend,False,uptrend,False,dispersed,0.10975609756097561,0.06705458060678168,30,0.08325104590579414,189,,{}
2025-09-17,stable,False,stable,False,dispersed,0.10975609756097561,0.06705458060678168,30,0.11443885759581941,170,,{}
2025-09-18,stable,False,stable,False,dispersed,0.10975609756097561,0.06705458060678168,30,0.135821628455551,122,,{}
2025-09-19,uptrend,False,uptrend,False,dispersed,0.10975609756097561,0.06705458060678168,30,0.1362678459734044,115,,{}
2025-09-22,uptrend,False,uptrend,False,dispersed,0.10975609756097561,0.06705458060678168,30,0.12097490086022149,131,,{}
2025-09-24,uptrend,False,uptrend,False,dispersed,0.10975609756097561,0.06705458060678168,30,0.13997335776210248,137,,{}
2025-09-25,uptrend,False,uptrend,False,dispersed,0.10975609756097561,0.06705458060678168,30,0.12387958057402072,117,,{}
2025-09-26,uptrend,False,uptrend,False,dispersed,0.10975609756097561,0.06705458060678168,30,0.09386692319723972,193,,{}
2025-09-29,uptrend,False,uptrend,False,dispersed,0.10840108401084012,0.06473953628425172,30,0.06126100611827887,273,,{}
2025-09-30,uptrend,False,uptrend,False,dispersed,0.10057471264367816,0.06361474435196195,30,0.07663595118020518,213,,{}
