step,cum_log_rl,cum_log_bnh,action
113,0.5379688792093656,0.014015486,1
114,0.5369688792093656,0.008755131,2
115,0.5369688792093656,-0.02667548,2
116,0.5650502647920511,0.002405906,1
117,0.5870982650383375,0.024453906,1
118,0.5943408389291726,0.03169648,1
119,0.6277955402336083,0.065151185,1
120,0.6337597700483165,0.07111541,1
121,0.6485165492347441,0.08587219,1
122,0.6475165492347441,0.08195825,2
123,0.6475165492347441,0.071115404,2
124,0.6475165492347441,0.053115107,2
125,0.6743790123811922,0.080977574,1
126,0.6743790123811922,0.080977574,1
127,0.6733790123811922,0.07802893,2
128,0.6821736788130365,0.0878236,1
129,0.6811736788130365,0.08587219,2
130,0.6801736788130365,0.08587219,1
131,0.6840722402795217,0.08977075,1
132,0.7004740303619764,0.10617254,1
133,0.7147262729941867,0.120424785,1
134,0.7147262729941867,0.120424785,1
135,0.7250500014289282,0.13074851,1
136,0.72691574695101,0.13261425,1
137,0.72591574695101,0.12419119,2
138,0.7352010862692259,0.13447653,1
139,0.7379877847875468,0.13726322,1
140,0.7407668497203849,0.14004229,1
141,0.7397668497203849,0.13726322,2
142,0.7507540050237439,0.14925037,1
143,0.7589696922614239,0.15746605,1
144,0.7579696922614239,0.14004228,2
145,0.7743934691711328,0.15746605,1
146,0.7798331892876885,0.16290577,1
147,0.7788331892876885,0.15108193,2
148,0.7788331892876885,0.1446568,2
149,0.7788331892876885,0.13911685,2
150,0.7916265040948055,0.15291017,1
151,0.7906265040948055,0.12887938,2
152,0.7906265040948055,0.12042478,2
153,0.7906265040948055,0.1052151,2
154,0.7906265040948055,0.096557155,2
155,0.8059183738990686,0.11284903,1
156,0.8049183738990686,0.0878236,2
157,0.8078093497431836,0.091714576,1
158,0.8232237153104506,0.10712894,1
159,0.8289438026375137,0.11284903,1
160,0.85211096763378,0.13601619,1
161,0.870078381744679,0.15398361,1
162,0.8682022469700313,0.15210748,1
163,0.8691409223945811,0.15304615,1
164,0.8784780887188389,0.16238332,1
165,0.8849625166738405,0.16886775,1
