quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date
2020Q1_PRE,2020,4578.T,大塚ホールディングス,医薬品,0.4096090889469496,8.318544809228046,16.930076628352488,10.93535006576544,14.830508474576277,0.020630426737497376,34.995348837209306,50.0,90.35899333826795,90.0,4883.0,3744,-9.153488372093022,2019-12-31,2019-12-31
2020Q1_PRE,2021,7513.T,コジマ,小売業,0.40959871828920325,9.355509355509351,5.622489959839361,15.81430317575562,18.676122931442073,0.40199923939806226,37.38872403560831,50.0,76.45348837209302,75.0,526.0,6276,-1.6822429906542036,2019-12-31,2019-12-31
2020Q1_PRE,2022,7538.T,大水,卸売業,0.4091428813414174,5.833333333333335,10.917030567685583,7.120387314202148,9.871244635193133,0.010415440424009437,25.92592592592593,50.0,92.7007299270073,95.0,254.0,6470,-5.925925925925924,2019-12-31,2019-12-31
2020Q1_PRE,2023,3065.T,ライフフーズ,小売業,0.409099140492171,4.196978175713495,9.144196951934358,4.453305159777443,6.242774566473996,0.0028578310546764074,14.308681672025724,58.333333333333336,83.91167192429022,70.0,1862.0,4723,-0.2143622722400873,2019-12-31,2019-12-31
2020Q1_PRE,2024,7718.T,スター精密,機械,0.4090296133717422,11.543909348441916,0.7033248081841359,12.47158801717793,16.150740242261108,0.011045835609294286,31.06588109266203,75.0,83.2012678288431,0.0,1575.0,6273,2.3391812865497075,2019-12-31,2019-12-31
2020Q1_PRE,2025,6658.T,シライ電子工業,電気機器,0.4090057612357663,17.25490196078432,3.460207612456756,18.589096242052005,27.177700348432055,0.04427875400033132,36.66666666666667,75.0,66.8903803131991,55.00000000000001,299.0,4921,-3.548387096774197,2019-12-31,2019-12-31
2020Q1_PRE,2026,3202.T,ダイトウボウ,繊維製品,0.4089826665497205,11.842105263157897,4.938271604938271,5.694444444444446,8.749999999999991,0.22383045334838925,21.111111111111114,41.66666666666667,92.3913043478261,25.0,85.0,6276,-5.555555555555558,2019-12-31,2019-12-31
2020Q1_PRE,2027,5943.T,ノーリツ,金属製品,0.408693004130269,-5.0032488628979905,14.040561622464898,12.174203609890172,15.79720793534165,0.2862781225475145,38.882681564245814,58.333333333333336,81.13207547169812,75.0,1462.0,6276,-4.193971166448229,2019-12-31,2019-12-31
2020Q1_PRE,2028,6803.T,ティアック,電気機器,0.40868759458114295,18.88888888888889,10.309278350515472,17.77983790321614,30.456852791878177,0.048991758152041154,28.510638297872337,58.333333333333336,83.26848249027238,20.0,214.0,6276,-8.936170212765958,2019-12-31,2019-12-31
2020Q1_PRE,2029,3042.T,セキュアヴェイル,情報・通信業,0.4084517054541011,18.08219178082191,7.0807453416149135,10.763481855585539,12.049861495844883,0.19148818872666007,32.07720588235294,50.0,74.69670710571924,85.0,431.0,4846,-5.06607929515418,2019-12-31,2019-12-31
2020Q1_PRE,2030,2323.T,ｆｏｎｆｕｎ,情報・通信業,0.40822738345422227,17.19197782902222,0.0,26.477202638485053,46.25323391699976,0.049473366208906855,33.45454360835804,66.66666666666666,65.96773785086015,25.0,68.16666412353516,5827,7.631577092854891,2019-12-31,2019-12-31
2020Q1_PRE,2031,6419.T,マースグループホールディングス,機械,0.4079728840461919,-8.750000000000002,5.797101449275366,6.337715944015161,8.818897637795287,0.4903825435806197,19.461606354810236,58.333333333333336,85.52301255230125,60.0,2044.0,6276,-6.879271070615034,2019-12-31,2019-12-31
2020Q1_PRE,2032,8399.T,琉球銀行,銀行業,0.40768127336000554,6.189213085764811,6.189213085764811,8.539368522127148,11.45454545454545,0.017634097758321476,18.74497184231697,41.66666666666667,94.71608832807571,55.00000000000001,1201.0,6276,3.0017152658662116,2019-12-31,2019-12-31
2020Q1_PRE,2033,9007.T,小田急電鉄,陸運業,0.40758808817659287,4.335378323108374,-1.085692128732063,7.6329553429180645,8.546671918077987,0.14712668634941262,13.14348302300109,58.333333333333336,91.20486235252055,0.0,2551.0,6535,2.080832332933169,2019-12-31,2019-12-31
2020Q1_PRE,2034,9076.T,セイノーホールディングス,陸運業,0.4075120454794041,2.4271844660194164,6.41210374639769,8.373024977368072,12.958963282937376,0.11889209893188724,19.698870765370135,58.333333333333336,91.79614667495338,10.0,1477.0,6276,-5.138086062941549,2019-12-31,2019-12-31
2020Q1_PRE,2035,9878.T,セキド,小売業,0.40748005923559916,51.93621867881548,-13.263979193758125,32.003332262378564,38.67403314917126,0.05696750834688913,65.91760299625469,50.0,33.400100150225335,0.0,667.0,6267,28.26923076923078,2019-12-31,2019-12-31
2020Q1_PRE,2036,9353.T,櫻島埠頭,倉庫・運輸関連業,0.4069499290738582,18.541345659989727,-2.203389830508473,12.174684020563342,22.787610619469035,0.5152615465521915,22.691182615963225,50.0,83.17117117117118,0.0,2308.0,6470,-3.5520267446719545,2019-12-31,2019-12-31
