sector,sector_signal_date,first_stock,stock_signal_date,lag_bdays,stock_entry_price,price_at_sector_signal,pct_change_by_sector_signal
パルプ・紙,2017-07-28,3950,2017-01-10,143,922.0,1196.67,29.79
パルプ・紙,2018-06-14,3896,2017-12-15,129,739.0,638.0,-13.67
パルプ・紙,2019-04-01,3880,2018-09-13,142,1660.0,1338.0,-19.4
パルプ・紙,2019-08-02,3863,2019-01-18,140,2158.0,1905.0,-11.72
パルプ・紙,2019-10-04,3944,2019-03-19,143,2530.0,2505.0,-0.99
パルプ・紙,2020-06-09,3951,2019-11-27,139,1057.0,900.0,-14.85
パルプ・紙,2020-10-02,3941,2020-04-21,118,795.0,793.0,-0.25
パルプ・紙,2022-08-23,3863,2022-02-17,133,1153.0,898.0,-22.12
パルプ・紙,2022-12-13,3948,2022-06-13,131,499.0,1021.0,104.61
パルプ・紙,2023-02-16,3950,2022-08-04,140,782.0,945.0,20.84
パルプ・紙,2023-11-23,3946,2023-05-10,141,1905.0,2169.0,13.86
パルプ・紙,2025-02-14,3953,2024-07-30,143,786.0,858.0,9.16
パルプ・紙,2025-05-15,3947,2024-10-28,143,1788.0,1883.0,5.31
化学,2001-07-05,4063,2000-12-19,142,850.0,844.0,-0.71
化学,2001-12-26,4078,2001-06-21,134,3375.0,1850.0,-45.19
化学,2002-05-24,4116,2001-11-06,143,1850.0,1790.0,-3.24
化学,2002-08-06,3553,2002-01-21,141,505.0,481.0,-4.75
化学,2003-05-09,4613,2002-10-21,144,280.0,352.0,25.71
化学,2004-03-26,4917,2003-09-08,144,1110.0,1180.0,6.31
化学,2005-01-14,4956,2004-06-28,144,253.0,251.5,-0.59
化学,2006-12-29,4222,2006-06-16,140,2190.0,1800.0,-17.81
化学,2007-02-28,7988,2006-08-14,142,1282.5,1520.0,18.52
化学,2008-01-07,4613,2007-06-21,142,1113.0,746.0,-32.97
化学,2008-06-30,7917,2007-12-13,142,280.0,367.0,31.07
化学,2008-12-11,3407,2008-05-26,143,611.0,392.0,-35.84
化学,2009-04-03,4102,2008-09-16,143,1385.0,525.0,-62.09
