ticker,company_name,sector,best_variant,theme_text_regenerated
1663.T,Ｋ＆Ｏエナジーグループ,鉱業,theme_wide,"東 14 、 14. ー 島 安 24 ー 幻 24 3 4 【 株 式 】 , 俐 【 株 ド , 名 く な 貶 今 資 48 工 ア ・ ウ ォ ー タ ー 4 務 ) く 2 〉 市 ネ 葉 資 本 例 7 日 - マ ス タ 日 一 鴪 き 比 事 S バ リ 、 一 ・ リ ア ラ イ そ ョ ン ・ マ ス タ ー F ー 0 チ ェ ー ス リ ン ド ン ) 尢 ー 【 指 標 等 】 く ー わ ア カ ウ ン ト な ー リ 駐 ー 託 銀 行 ROE ROA 脇"
2607.T,不二製油,食料品,theme_bodyleft,"ー 5 : 0.1 80. 4 .11 東 P 6 ト 2 柄 訓 2 ー 7 6.4 5 7 生 3 〉 而 日 マ ス タ ー ぐ 日 0 7 Ⅱ 己 資 本 農 業 睫 幻 7 24 ー 3 響 「 ー : 伊 藤 忠 商 114 ロ 4 【 指 標 等 】 く 4 ・ 3 〉 日 本 斐 角 保 険 Ⅱ 0 6 ROA 1 議 ー 予 脇 く 月 1 ・ 9 、 勳 橆 最 高 ( .3 ) 16 , 5 戸 年 、 ( 0 年 満 、 、 ) 一 当 ト ・ 41 灘 t) 氿 幹 大 、 い ! ,"
1948.T,弘電社,建設業,theme_bodyleft,"17.1 幻 ・ 4 分 1 → 1 ー 0 → 1 90 62 安 比 簽 躡 銀 行 Ⅱ 己 資 本 , ー ネ 第 ロ ス 電 に 4 幻 自 リ ( 自 己 ・ 「 1 ) 2 ロ 1 生 3 〉 而 二 菱 地 , , ⅲ 、 持 株 会 , 。 【 株 式 】 & 70 【 株 ド 1 ′ 名 く 幻 コ 〉 庸 一 和 1 響 「 16 , 田 中 憲 一 1 0.9 【 指 標 等 】 く 4 ・ 3 〉 木 野 光 1 ( の な 肥 1 ⅸ 益 ( 円 3 1 1 【 役 員 こ 川 裕 司 全 沢 正 2 ー ー 1 四 1 1 調 ー 株 益"
3611.T,マツオカコーポレーション,繊維製品,theme_wide,"2. 8 加 . 8 東 毅 S 24 ー 島 安 24 3 ー ー 【 株 式 】 俐 【 株 ド ー 名 く ① 合 崩 会 社 マ ツ オ カ カ こ 務 ) く 2 〉 市 松 第 典 之 本 広 島 銀 行 , 87 リ 本 マ ス タ ヨ 既 日 本 比 事 一 割 ジ = イ ・ ウ イ ル ・ イ こ 14 日 本 カ ス ト デ ィ ー 龜 ー 胼 38 日 本 牛 命 保 ROA ROE 7 予 7 ク ラ ホ ウ 【 指 標 等 】 〉 神 汽"
2932.T,ＳＴＩフードホールディングス,食料品,theme_bodyleft,"ー 7 【 株 式 】 & 5 , 9 % 【 株 主 1 物 10 , 5 名 く な 肥 〉 庸 21.1 21.1 2 料 ー 5 25 川 ) 74 カ (OA) 1 阪 十 1 72 ー ム ー , 7 セ プ ン 一 イ レ 7 ン & 4 本 比 事 4 ラ . ー ナ シ ョ ナ ル 15 1 川 8 日 本 カ ス ト デ ィ : ー 2 物 「 ン 山 MUF 期 5 一 3 【 指 標 等 】 く 肥 〉 G 証 券 高 安 呂 ・ ・ ROE 肥 生 モ ル ガ ン 誕 券 旦 0 惑 2 4 新 石 47 国 人 国 44 調 ー 株 益 . 川 ン M ・ ILMFE 4 ( 03 韻 益 ( な 肥 ) 1 , 2 く 外 国 > 7. く 浮 動 株 〉 な 6 、 ・ 1 , 0 予 ・ ・ く 0 2 、 ド ・ ) 72"
3091.T,ブロンコビリー,小売業,theme_bodyleft,"ー 7 .9 14. ー ↓ 1 15. 値 0 ( 44 円 ) OA) 2 【 株 式 】 & 02 【 株 1 物 , 名 く な 肥 〉 庸 7 1 ] 国 ス ト 凵 ン グ ウ イ ル 4 ⅱ .2 07 、 ー 9 2 1 引 1 【 指 標 等 】 く 肥 〉 知 銀 行 2 訂 2 石 ・ 、 年 双 5 年 満 2 印 .7 資 1 予 2 , 引 加 1 最 純 益 ( 幻 」 2 月 , 83 ) 1 調 ー 株 益 67."
2915.T,ケンコーマヨネーズ,食料品,theme_wide,"象 6 (OA . 2 24 ー 120 【 株 式 】 ー 476 俐 【 株 ド 名 コ マ ス タ ヨ 日 一 引 ー イ ー ア ン ド エ ー ー - 生 命 保 険 石 資 本 , 9 ル デ ィ ン グ ス ー れ ⅱ 3 有 4 ー キ , 0 ー マ ン 40 龕 安 統 日 ・ ROE 24 3 ROA 4 脇 ー く 外 0 く 瀞"
3271.T,ＴＨＥグローバル社,不動産業,theme_bodyleft,"& 3 ー 7 に 5 24D △ -9 △ 冊 7 12. .1 東 S 2 ・ い ( 5 年 満 1 、 ) 【 株 式 】 & , 【 株 ) 7 加 名 く な 肥 〉 庸 1 匯 ] SBIIILD 臨 470 引 .9 Ⅱ 己 資 本 6 , 日 本 証 券 全 融 4 本 マ ス タ ヨ 4 ロ 気 4 リ イ エ ム エ ス ア イ ー 和 一 2 , 2 3 Ⅱ ・ ト ラ ス ト 4 ー ー f- 1 を , JP モ ル ガ ン 装 券 0.9 1 【 指 標 等 】 く を 6 〉 ト 川 八 木 短 資 幻 ( ) ROE ・ 予 BNY メ ロ ン GCM ク ラ イ ア ン ROA 予 ー ト M ・ ILMFE 21 ( の 調 株 益 を 【 役 員 3 永 鴆 秀 和 供 田 451 4 1 4 3 1 高 統 安 日 ・ 44 1 ( 3 141 高 安 *1470h"
1939.T,四電工,建設業,theme_bodyleft,"ー 23 第 : 0.1 .11 加 → 1 17.1 幻 .1 4.9 33 ー 7 3 【 株 式 】 & ー 飛 【 株 ド 名 く コ 〉 庸 52 0 響 「 10 ' 例 9 日 本 生 器 保 険 f,() 1 7 1 【 指 標 等 】 く '4.3 〉 宮 地 電 機 17 ( ー ① 高 安 呂 ・ ROE 7 ー 予 7. DFA1n ロ ス モ ー ル キ ッ 2 4300 91 ROA 事 予 事 バ リ ュ P 408 3S90 調 株 益 社 。 、 ( 。 鞴 、 , 、 ) 柵 } 猥 い 矗 物 じ 山"
2404.T,鉄人化ホールディングス,サービス業,theme_bodyleft,"3 △ 193 ー 7 97 1 【 株 式 】 & ム %. 6 ム 3 一 7 【 株 主 1 名 , 974 名 く 幻 の [ 衄 ] ノ ア ー ス ト ・ パ シ ン イ ッ ク ・ 東 S キ ャ ビ タ 8 6 ム 3 57 ー 生 而 工 ク シ ン グ Ⅱ 己 資 本 目 社 ( 自 、 「 1 ) 高 安 ま 比 、 横 浜 行 18 ー コ 16 1 ユ 子 【 指 標 等 】 く 8 〉 楽 証 券 高 安 日 ・ ROE 2 刊 4 一 / ッ ド ス マ イ ル カ ン パ ニ 2 3 1 ROA 脇 予 8 ( ) 調 株 益 戸 年 、 ( 0 年 前 0 、 ) 0 、 チ ・ ・ 岳 越 1 櫻 来 術 也 野"
2916.T,仙波糖化工業,食料品,theme_bodyleft,".11 ー 7 【 株 式 】 & 乢 48 飛 【 株 ド 第 船 カ ー 1 阪 東 洋 水 名 く コ 〉 庸 075 ) ( 7 り 1 新 UMTEI) F ド イ ン ー , い 一 生 3 〉 而 ナ シ , ナ ル 側 12 一 Ⅱ 己 資 本 乢 足 利 銀 行 4.9 調 株 益 ROA 2 予 ー 賀 通 運 14 2 ROE ー 琿 研 ビ タ ミ ン 15 ー ・ 、 年 い ( 5 年 満 O.4S)"
1882.T,東亜道路工業,建設業,theme_bodyleft,"17.1 幻 . 4 東 P ー 37 6 お .6 f0-6 【 株 式 】 & 51 , ー 【 株 1 朝 , 9 名 く 幻 コ 〉 庸 1 匯 既 自 l( 自 己 株 ロ ) 1 9 第 0 → 1 5 6 ⅱ 新 日 - マ ス タ ヨ 氈 日 側 一 生 3 〉 イ ン タ : ト ラ ス ト T ( ケ イ マ ン ) シ Ⅱ 己 資 本 6 横 銀 行 47 4 爲 島 安 比 、 、 一 -0 ~ ー 7 1 Ⅱ 74 【 指 標 等 】 く 4 ・ 3 〉 日 本 国 開 発 2 ROA 4 脇 秘 く 円 月 、 く 霧 勳 橆 儀 2 ー 1 四 1 Ⅱ 74 韻 益 ( 2 ロ ) 4 , 27 資 0 , 0 凡 ・ 1 t) 森 下 協 ・ 村 直 甼 精 、 雅 ・"
3553.T,共和レザー,化学,theme_bodyleft,"ー 7 町 .1 東 S 6 ト 値 3 細 : 1 9 囿 り 7 引 0 師 4.8 幻 【 株 式 】 & 24 , 【 株 2 名 く 幻 ① 庸 1 匯 既 ト ヨ タ 自 車 & く 品 〉 侃 第 レ ン 一 ン , 側 , 3 ス 阜 1 例 42 Ⅱ 己 資 本 1 り そ な 銀 行 35 76 ー 1 0 日 衾 ー ス タ : ( ~ [ ロ 4 0 響 「 ' 自 社 ( 自 こ 株 舌 」 ー 8 4 1 【 指 標 等 】 く 4 ・ 3 〉 自 社 高 安 日 ・ ROE ー 予 一 株 会 2 7 1 ROA 予 2 く 円 > は 一 勳 橆 7 、 8 7G3 14 調 ー 株 益 7 72 韻 益 ( 5 , 7"
1959.T,クラフティア,建設業,theme_wide,"0 【 株 式 】 70 , 俐 【 株 ド ー 名 く ① . 5 九 州 電 ノ 4 日 - マ ス タ •-l ' 託 日 7 . 5 8. 5 ー ー 73 ー 務 ) く 2 3 〉 市 日 ・ カ ス ト デ ィ ・ ー 剛 体 シ テ ィ 当 ー 例 → い 資 本 , 臂 銀 行 3 、 株 会 一 ⅱ 3 龕 統 一 安 統 日 ・ ROE 、 一 く 外 、 0 24 3 ー ROA ー く 投 信 ()3"
1811.T,錢高組,建設業,theme_bodyleft,"ー 7 0 【 株 式 】 & & 5 7 , 3 【 株 主 1 物 い 名 く 幻 ① 庸 8. 7 ↓ 11 17.1 東 S 6 ト 2 1 国 3 5 当 ( 長 し 。 一 覊 Ⅱ 己 資 本 , 9 三 ) 日 ド 友 銀 行 2GIO(1 響 「 1 日 本 マ ス タ イ 氈 日 14 9 47 4 【 指 標 等 】 く 4 ・ 3 〉 工 ン ジ ニ ャ リ ン グ Ⅱ ( ) 最 高 0 鼠 3 ) 14 , ー 47 ・ 40 4 冊 21 調 整 ー 株 益 高 安 呂 ・ ROE 予 2 く 円 > ー : 勳 橆 ム"
1976.T,明星工業,建設業,theme_bodyleft,&. 4 東 P 7 ト 2 料 3 : 0.1 住 1 1 : 仇 1 9.5 ー 7 冊 7 Ⅱ 己 資 本 d38G 公 益 財 団 法 人 富 本 奨 3 高 値 安 14 10 1 【 指 標 等 】 く 4 ・ 3 〉 日 本 生 命 保 険 1 高 安 呂 ・ ROE 予 & 引 ・ 持 会 1 1211 保 1 4 ROA 7 議 ー - 1 Ⅱ 1 調 ー 株 益 、 、 年 0 ・ 年 0 0 ・ チ ・ ・ 【 役 員 t) 栁 瀬 徹 次 ド 、
2676.T,高千穂交易,卸売業,theme_bodyleft,"例 .11 東 P 2 1 4.0 分 1 → 1 分 1 → 1 講 45 カ ( 1 住 D 高 ー 7 07 0 ま 5 【 株 式 】 & 10 ー 飛 【 株 1 引 閉 コ 〉 庸 匯 阪 ー ス 丿 ル ー カ 7 ・ 9 一 齠 〉 日 本 マ ス タ ヨ 読 日 49 4 Ⅱ 己 資 本 乢 み す ほ 銀 行 ム 9 安 比 0 了 ー ← ー 0 ー 2 911 21 ー 響 「 13 , 9 明 滸 汝 田 生 命 保 険 幻 幻 1 4 高 安 呂 ・ ROE & 予 & ノ ー 2 4 0 1 新 70 1 石 戸 年 、 0 ( 0 年 高 00 、 ) 、 チ ・ ・ ( 役 員 出 等 信 平 ! 0"
1911.T,住友林業,建設業,theme_wide,"幻 . 8 . 4 東 7 24 ー OA 島 & 0 安 27 颶 7 24 3 49 4 9.3 【 株 式 】 , 俐 【 株 ド 畑 7 ( ー ー 新 金 属 凵 ⅱ 務 ) く 2 3 〉 市 日 本 カ ス ト プ イ 信 託 ー 本 ' 8 乢 伊 銀 行 【 指 標 等 】 く ー わ ス テ ー ト ス ト リ ー ト ロ ン ド : ROE 胼 一 ポ ス ト ー ROA & 一 自 社 グ ル ー プ は"
3395.T,サンマルクホールディングス,小売業,theme_bodyleft,"ー 7 【 株 式 】 & 7 行 【 株 1 , G35 名 閉 コ 〉 庸 い 1 匯 晉 ] 片 山 智 恵 、 42 ー & 5 ・ ロ ) 4 ー 3 1 ー 生 3 > 日 マ ス タ 誕 日 1 7.4 Ⅱ 己 資 本 ロ 1 中 国 銀 行 21 ー ー 響 「 金 ? 公 益 財 団 法 人 サ ン マ ル ク 財 加 引 4 【 指 標 等 】 く 4 ・ 3 〉 高 安 呂 ・ ROE 予 7 ル ガ ン 券 ( の 2 幻 幻 ROA 2 予 BrSe ・ 21 ( の 株 益 当 = 門 , 、 に 鑷 21 ま 4 資 1 【 役 i)l 社 璧 瞿 ー 發 波 ・ 、 年 5 年 満 幻 ) → 5 異 -1 4"
2540.T,養命酒製造,食料品,theme_wide,"72. 8 : ① .4 東 翦 24 3 一 期 ー 24 ー ー , 4 安 き 比 事 ト ー ア 冉 保 ー 日 本 カ ス ト デ ィ ー 龜 ー 0 キ ッ コ ー マ ン 第 リ 友 銀 行 % ROA く 投 信 〉 0 【 指 標 等 】 く 〉 藤 玄 雄"
3179.T,シュッピン,小売業,theme_bodyleft,"ー 5 躡 出 ー 7 2 ー 幻 .3 行 7 2 れ 2 1 1 匯 晉 ] 日 本 マ ス - 託 Ⅱ 自 。 ( 自 翆 国 司 肥 生 3 〉 日 本 カ ス ト プ イ 日 1 5 Ⅱ 己 資 本 8 : ー ン ト リ ー テ ィ ー 1 幻 ( ) 肥 制 7 ( 4 響 「 4 : 間 3 力 イ ス パ ン ク ・ ク イ ン テ ッ ト ( ル 14 1 【 指 標 等 】 く ド 紹 〉 ク ス C 灯 石 ( よ 2 Ⅱ 礙 44 ROA 145 ー 予 1 ラ ス ト ー 認 ー 1427 47 4 ⅸ 益 ( 幻 3 2 , 友 ↑ 命 保 険 四"
3608.T,ＴＳＩホールディングス,繊維製品,theme_bodyleft,"を 9 ー 2 1 & 1 2 事 1 東 P ー 7 Ⅱ 己 資 本 ー み ほ 銀 行 2 4 」 1 ー 生 2 〉 A Ⅵ ・ ジ ャ , ン ・ オ ポ チ 、 = テ 日 マ ス タ ー 日 9 ー 5 ・ 日 第 ー ム 4 高 安 ま 比 0 0 0 咫 ー 4 0 響 「 9 : 2 CEPLUX イ ン デ イ ベ ン デ ン 6 3 【 指 標 等 】 く 4 ・ 2 〉 ト U ロ 爲 ・ 肥 3 ( ) 高 統 安 日 ・ ・ ROE 5 脇 A Ⅵ グ ロ ー パ ル ト ラ ス ト 2 81 6 認 ROA 6 ー 予 ー 29 9 % 7 調 株 益 一 円 住 友 不 動 産 ム 5 四 9 83 訂 韻 益 ( 幻 2 ) 4 9 く 外 国 月 9. く 浮 動 株 〉"
