date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason
2026-03-03,7184.T,銀行/地方銀行,銀行業,BUY,2578.0,100,327497.50000000023,0.7954476834462848,2026-03-02,buy_signal_limit
2026-03-04,1768.T,建設/建設・土木,建設業,SELL,1457.0,400,910297.5000000002,0.4977658615710419,2026-03-03,stop_loss
2026-03-04,5901.T,金属製品/飲料,金属製品,SELL,3764.0,100,1286697.5000000002,0.47927900211036106,2026-03-03,stop_loss
2026-03-04,9791.T,大幅強気/増額,サービス業,SELL,1328.0,300,1685097.5000000002,0.414314838683444,2026-03-03,stop_loss
2026-03-04,9034.T,前号並み/陸運,陸運業,SELL,1617.0,700,2816997.5,0.4669196622850692,2026-03-03,stop_loss
2026-03-04,7184.T,銀行/地方銀行,銀行業,SELL,2268.0,100,3043797.5,0.7188169352704625,2026-03-03,stop_loss
2026-03-06,1814.T,大幅増額/建設,建設業,BUY,4070.0,100,2636797.5,0.5948015012257184,2026-03-05,buy_signal_limit
2026-03-06,1946.T,建設/設備工事,建設業,BUY,2148.0,200,2207197.5,0.5927819955118623,2026-03-05,buy_signal_limit
2026-03-06,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,3890.0,100,1818197.5,0.5068851908585353,2026-03-05,buy_signal_limit
2026-03-06,6743.T,電気機器/設備機器・部品,電気機器,BUY,824.0,500,1406197.5,0.47635069946954733,2026-03-05,buy_signal_limit
2026-03-06,1808.T,225/建設,建設業,BUY,3176.0,100,1088597.5,0.47150480206346496,2026-03-05,buy_signal_limit
2026-03-06,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3345.0,100,754097.5,0.4375359521101173,2026-03-05,buy_signal_limit
2026-03-06,8154.T,卸売/電子部品・産業用電子機器,卸売業,BUY,4105.0,100,343597.5,0.4310745581013406,2026-03-05,buy_signal_limit
2026-03-09,1814.T,大幅増額/建設,建設業,SELL,3810.0,100,724597.5,0.5764504301874367,2026-03-06,stop_loss
2026-03-09,1946.T,建設/設備工事,建設業,SELL,1990.0,200,1122597.5,0.5854122232443872,2026-03-06,stop_loss
2026-03-09,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,3685.0,100,1491097.5,0.48743543833309355,2026-03-06,stop_loss
2026-03-09,1768.T,建設/建設・土木,建設業,BUY,1434.0,500,774097.5,0.4675204333639541,2026-03-06,buy_signal_limit
2026-03-09,9063.T,陸運/陸運,陸運業,BUY,4385.0,100,335597.5,0.4562530388926084,2026-03-06,buy_signal_limit
2026-03-10,6743.T,電気機器/設備機器・部品,電気機器,SELL,817.0,500,744097.5,0.4314281868513685,2026-03-09,sell_signal
2026-03-10,1808.T,225/建設,建設業,SELL,3121.0,100,1056197.5,0.44041927821658855,2026-03-09,sell_signal
2026-03-10,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3335.0,100,1389697.5,0.40399546424025634,2026-03-09,sell_signal
2026-03-10,8154.T,卸売/電子部品・産業用電子機器,卸売業,SELL,4045.0,100,1794197.5,0.40873378810336863,2026-03-09,sell_signal
2026-03-10,9063.T,陸運/陸運,陸運業,SELL,4485.0,100,2242697.5,0.4279973424480128,2026-03-09,sell_signal
2026-03-10,1768.T,建設/建設・土木,建設業,SELL_END,1504.0,500,2994697.5,,,end_of_backtest
